subscription_id,customer_id,plan_name,monthly_fee_USD,subscription_start,subscription_end,tenure_months,total_revenue_USD,subscription_status,cancellation_reason,payment_method
SUB-0019,CUST-0017,Business,199,2021-05-29,2023-04-17,22.6,"$4,497.40",Cancelled,No longer needed,Crypto
SUB-0020,CUST-0018,Enterprise,499,2023-05-05,2024-01-17,8.4,4191.6,Cancelled,Switched to competitor,Bank Transfer
SUB-0021,CUST-0019,Professional,79,"November 10, 2023",2024-05-13,6.1,481.9,Cancelled,Switched to competitor,PayPal
SUB-0022,CUST-0019,Starter,29,2021-08-10,2023-05-18,21.2,614.8,Cancelled,Found alternative,Credit Card
SUB-0023,CUST-0020,Enterprise,499,2021-05-02,04/21/2026,59.6,29740.4,Active,,Credit Card
SUB-0024,CUST-0021,Business,199,2019-05-13,2025-01-25,68.5,13631.5,Active,,Crypto
SUB-0025,CUST-0022,Enterprise,499,2023-11-16,2024-05-22,6.2,3093.8,Cancelled,Budget cuts,Credit Card
SUB-0026,CUST-0023,Starter,29,2022-12-27,2023-08-02,7.2,$208.80,Cancelled,No longer needed,Credit Card
SUB-0027,CUST-0024,Business,199,2020-08-17,2022-01-25,17.3,3442.7,Cancelled,Found alternative,Bank Transfer
SUB-0028,CUST-0025,Starter,29,2022-12-24,"December 19, 2025",35.8,"$1,038.20",Active,,Bank Transfer
SUB-0029,CUST-0026,Professional,79,2022-04-27,2022-10-21,5.8,458.2,Cancelled,No longer needed,Credit Card
SUB-0030,CUST-0027,Business,199,2023-05-12,2024-01-08,7.9,1572.1,Cancelled,Switched to competitor,Credit Card
SUB-0031,CUST-0028,Business,$199.00,31/01/2020,2026-05-24,75.7,15064.3,Active,,Credit Card
SUB-0032,CUST-0029,PROFESSIONAL,79,2020-06-07,2024-10-11,52.1,4115.9,Active,,Crypto
SUB-0033,CUST-0030,ENTERPRISE,499,2020-03-14,2022-08-09,28.8,14371.2,Cancelled,Company closure,PayPal
SUB-0034,CUST-0031,Enterprise,499,2022-06-11,2022-08-01,1.7,848.3,Cancelled,Found alternative,Bank Transfer
SUB-0035,CUST-0032,Professional,79,2021-06-08,2022-04-12,,797.9,Cancelled,Found alternative,Crypto
SUB-0036,CUST-0033,Starter,29,2022-02-21,2026-05-24,51,"$1,479.00",Active,,Bank Transfer
SUB-0037,CUST-0034,Business,$199.00,2023-09-27,8 February 2024,4.4,875.6,Cancelled,Budget cuts,PayPal
SUB-0038,CUST-0035,Professional,79,2019-02-23,30 July 2024,65.2,5150.8,Active,,Credit Card
SUB-0039,CUST-0036,BUSINESS,199,17 May 2021,2023-11-08,29.7,5910.3,Cancelled,Found alternative,Crypto
SUB-0040,CUST-0037,Starter,29,2021-06-13,2023-05-06,22.7,658.3,Cancelled,Missing features,Credit Card
SUB-0041,CUST-0038,business,199,2022-07-26,27 December 2024,29.1,5790.9,Active,,Credit Card
SUB-0042,CUST-0039,Business,199,03/26/2021,2025-01-01,,"$8,994.80",Active,,Crypto
SUB-0043,CUST-0040,Starter,29,2020-04-02,2026-01-04,,2003.9,Active,,PayPal
SUB-0044,CUST-0041,Enterprise,499,2023-09-19,2025-01-13,15.8,7884.2,Active,,PayPal
SUB-0045,CUST-0042,Enterprise,499,2021-08-17,2023-09-14,24.9,12425.1,Cancelled,Company closure,Crypto
SUB-0046,CUST-0043,enterprise,499,21/10/2021,06/09/2023,19.6,9780.4,Cancelled,Budget cuts,Bank Transfer
SUB-0047,CUST-0044,Starter,$29.00,"March 10, 2019",2021-03-06,23.9,$693.10,Cancelled,No longer needed,Bank Transfer
SUB-0048,CUST-0045,Professional,79,05/11/2019,2023-12-20,55.3,4368.7,CANCELLED,Too expensive,Crypto
SUB-0049,CUST-0046,starter,29,2021-01-04,2022-01-19,,362.5,Cancelled,Too expensive,Bank Transfer
SUB-0050,CUST-0047,Enterprise,499,2020-03-11,07/07/2023,39.8,19860.2,Cancelled,Company closure,PayPal
SUB-0051,CUST-0048,Business,199,2020-09-29,2023-02-18,28.6,5691.4,Cancelled,Company closure,Bank Transfer
SUB-0052,CUST-0049,Professional,79,2022-02-28,2023-04-29,14,1106,Cancelled,Missing features,Crypto
SUB-0053,CUST-0049,Starter,29,2019-08-02,2021-06-15,22.4,649.6,Cancelled,No longer needed,Credit Card
SUB-0054,CUST-0050,ENTERPRISE,499,2019-04-20,25/04/2020,12.2,6087.8,Cancelled,Budget cuts,Credit Card
SUB-0055,CUST-0051,Starter,$29.00,6 December 2023,2024-06-22,6.5,188.5,Active,,Bank Transfer
SUB-0056,CUST-0052,Starter,29,2021-06-19,"August 22, 2023",26.1,756.9,Cancelled,Budget cuts,Bank Transfer
SUB-0057,CUST-0053,Business,199,20/12/2020,2021-03-28,3.2,636.8,Cancelled,Found alternative,Bank Transfer
SUB-0058,CUST-0054,Enterprise,499,2022-12-11,2024-01-24,13.4,6686.6,Cancelled,Company closure,Crypto
SUB-0059,CUST-0055,ENTERPRISE,499,2022-01-10,2024-03-14,26.1,13023.9,Cancelled,Missing features,PayPal
SUB-0060,CUST-0056,Professional,79,2020-05-31,12/08/2022,26.4,2085.6,Cancelled,Poor support,Bank Transfer
SUB-0061,CUST-0057,Starter,29,08/06/2023,"December 31, 2023",6.8,197.2,Cancelled,Budget cuts,PayPal
SUB-0062,CUST-0058,Enterprise,499,2022-02-20,2022-06-29,4.2,2095.8,Cancelled,Poor support,Credit Card
SUB-0063,CUST-0059,Enterprise,499,2019-12-25,2023-02-10,37.5,18712.5,Cancelled,Poor support,Crypto
SUB-0064,CUST-0060,Starter,29,2023-11-04,2024-05-21,6.5,188.5,CANCELLED,Company closure,Crypto
SUB-0065,CUST-0061,ENTERPRISE,499,2022-06-11,2023-05-04,10.7,5339.3,Cancelled,Too expensive,Credit Card
SUB-0066,CUST-0062,Business,199,2020-08-26,2021-06-21,9.8,1950.2,Cancelled,Too expensive,Bank Transfer
SUB-0067,CUST-0063,Enterprise,$499.00,2020-11-16,"September 18, 2022",22,10978,Cancelled,Company closure,Credit Card
SUB-0068,CUST-0064,Enterprise,499,2023-11-23,2024-04-20,4.9,2445.1,Cancelled,Found alternative,Credit Card
SUB-0069,CUST-0065,Professional,$79.00,2023-07-31,2025-02-14,18.5,1461.5,active,,Bank Transfer
SUB-0070,CUST-0066,Enterprise,$499.00,2023-09-23,2024-02-27,5.2,2594.8,Cancelled,Missing features,PayPal
SUB-0071,CUST-0067,Professional,79,2021-03-31,2025-04-25,48.8,3855.2,Active,,Crypto
SUB-0072,CUST-0068,Professional,79,2023-05-21,2023-12-07,6.6,521.4,Cancelled,Poor support,Crypto
SUB-0073,CUST-0069,Enterprise,499,2023-11-10,2024-08-01,8.7,4341.3,Active,,Credit Card
SUB-0074,CUST-0070,PROFESSIONAL,79,2021-02-19,11/09/2023,32.6,2575.4,Cancelled,No longer needed,Credit Card
SUB-0075,CUST-0071,Business,199,2021-06-23,2024-04-12,33.6,6686.4,Cancelled,Budget cuts,Bank Transfer
SUB-0076,CUST-0072,Professional,79,2021-04-10,2024-05-15,37.2,2938.8,Cancelled,Company closure,Credit Card
SUB-0077,CUST-0073,Starter,29,2022-05-21,2023-07-19,13.9,403.1,Cancelled,Switched to competitor,PayPal
SUB-0078,CUST-0074,Business,199,2021-04-03,2023-06-20,26.5,5273.5,Cancelled,Missing features,Crypto
SUB-0079,CUST-0075,Starter,$29.00,2022-11-20,2024-04-05,16.5,478.5,Cancelled,No longer needed,Bank Transfer
SUB-0080,CUST-0076,Business,199,2021-10-16,2022-05-25,,1452.7,cancelled,Found alternative,Crypto
SUB-0081,CUST-0077,Enterprise,499,2019-12-13,2022-08-05,31.7,15818.3,Cancelled,Poor support,Credit Card
SUB-0082,CUST-0078,Business,199,2022-06-06,2024-05-10,23.1,4596.9,Cancelled,No longer needed,Bank Transfer
SUB-0083,CUST-0079,Enterprise,499,8 January 2022,2023-04-21,15.4,7684.6,Cancelled,Found alternative,Crypto
SUB-0084,CUST-0080,Enterprise,$499.00,2019-12-22,2022-12-29,36.2,"$18,063.80",CANCELLED,Found alternative,PayPal
SUB-0085,CUST-0081,Enterprise,499,2020-08-10,2022-02-18,18.3,"$9,131.70",Cancelled,Missing features,Credit Card
SUB-0086,CUST-0082,Professional,$79.00,2022-09-22,2023-03-15,,450.3,Cancelled,Budget cuts,Credit Card
SUB-0087,CUST-0082,Professional,79,2022-01-04,2022-08-10,7.2,568.8,Cancelled,Poor support,Crypto
SUB-0088,CUST-0083,ENTERPRISE,499,2022-07-12,2023-03-26,,4191.6,Cancelled,Found alternative,Crypto
SUB-0089,CUST-0084,Starter,29,2019-12-10,2020-07-18,7.3,211.7,Cancelled,Company closure,Credit Card
SUB-0090,CUST-0085,Starter,29,11/07/2021,2023-07-16,24.1,698.9,Cancelled,Company closure,Crypto
SUB-0091,CUST-0086,Enterprise,499,2022-02-04,2024-03-08,25.1,12524.9,Cancelled,Poor support,Bank Transfer
SUB-0092,CUST-0087,Enterprise,499,2020-01-01,2024-04-09,51.2,25548.8,Cancelled,Found alternative,Credit Card
SUB-0093,CUST-0088,Business,$199.00,2020-06-20,2021-01-29,7.3,1452.7,Cancelled,Found alternative,Credit Card
SUB-0094,CUST-0089,Business,199,2020-01-15,2022-04-29,27.4,5452.6,Cancelled,Switched to competitor,Bank Transfer
SUB-0095,CUST-0090,Professional,$79.00,2020-08-25,2024-09-03,48.3,3815.7,Active,,PayPal
SUB-0096,CUST-0091,Starter,29,2023-02-10,2024-05-28,15.5,449.5,Cancelled,Found alternative,Credit Card
SUB-0097,CUST-0092,Business,$199.00,2022-06-12,2023-08-11,14,2786,Cancelled,Missing features,PayPal
SUB-0098,CUST-0092,Professional,79,2019-10-15,2021-02-12,16,1264,Cancelled,Company closure,PayPal
SUB-0099,CUST-0093,Professional,$79.00,2021-03-30,2024-12-24,44.8,3539.2,Active,,PayPal
SUB-0100,CUST-0094,Enterprise,499,2019-02-20,2021-03-13,24.7,12325.3,Cancelled,No longer needed,PayPal
SUB-0101,CUST-0095,Enterprise,499,2021-06-06,2024-02-24,32.6,"$16,267.40",Cancelled,Poor support,Bank Transfer
SUB-0102,CUST-0096,Enterprise,499,2021-09-23,2021-11-08,1.5,748.5,Cancelled,Poor support,Crypto
SUB-0103,CUST-0097,starter,29,2019-12-04,2021-02-03,14,406,Cancelled,Poor support,Credit Card
SUB-0104,CUST-0098,Business,199,2020-03-10,08/01/2023,40.7,8099.3,Cancelled,Found alternative,PayPal
SUB-0105,CUST-0099,Enterprise,499,2021-02-22,2024-07-27,41.1,20508.9,Active,,Credit Card
SUB-0106,CUST-0100,Business,199,2019-08-26,25 July 2025,71,14129,Active,,Bank Transfer
SUB-0107,CUST-0101,Enterprise,499,2022-11-16,2023-07-20,8.1,4041.9,Cancelled,Missing features,Bank Transfer
SUB-0108,CUST-0102,Business,199,2022-08-15,2025-04-13,,6348.1,Active,,Bank Transfer
SUB-0109,CUST-0103,Enterprise,$499.00,"November 1, 2020",2023-12-08,37.2,18562.8,CANCELLED,Company closure,Credit Card
SUB-0110,CUST-0104,Business,199,2019-04-14,2022-10-27,42.4,8437.6,cancelled,Too expensive,Crypto
SUB-0111,CUST-0105,Business,199,"February 24, 2023",2024-01-11,10.5,2089.5,Cancelled,Found alternative,PayPal
SUB-0112,CUST-0106,BUSINESS,199,2023-01-10,2023-07-12,6,1194,Cancelled,Poor support,Credit Card
SUB-0113,CUST-0107,Professional,79,04/06/2019,2024-02-13,58.3,4605.7,Cancelled,Switched to competitor,Crypto
SUB-0114,CUST-0107,Professional,79,2019-07-26,"December 22, 2020",16.9,1335.1,Cancelled,Found alternative,PayPal
SUB-0115,CUST-0108,starter,29,2020-06-09,2021-10-22,16.4,475.6,Cancelled,Too expensive,Credit Card
SUB-0116,CUST-0109,Business,199,21 June 2022,"January 31, 2024",19.3,3840.7,Cancelled,Switched to competitor,Crypto
SUB-0117,CUST-0110,Enterprise,499,2020-09-28,2021-12-01,,7035.9,Cancelled,Company closure,PayPal
SUB-0118,CUST-0111,Business,199,2019-07-02,2020-12-27,17.9,"$3,562.10",Cancelled,Found alternative,PayPal
SUB-0119,CUST-0112,Enterprise,499,2022-10-30,2023-04-23,5.7,2844.3,Cancelled,Found alternative,Credit Card
SUB-0120,CUST-0113,STARTER,29,2023-08-06,2023-09-16,1.3,37.7,Cancelled,No longer needed,Crypto
SUB-0121,CUST-0114,Enterprise,$499.00,15 August 2021,26/10/2023,26.3,13123.7,Cancelled,Missing features,Credit Card
SUB-0122,CUST-0115,Business,199,2022-08-14,2022-10-13,2,$398.00,Cancelled,Missing features,Bank Transfer
SUB-0123,CUST-0116,Starter,29,2022-06-18,2023-10-30,16.4,475.6,Cancelled,Company closure,PayPal
SUB-0124,CUST-0117,Professional,79,2023-10-16,2024-06-07,7.7,608.3,Cancelled,Poor support,Crypto
SUB-0125,CUST-0118,Business,199,20 January 2019,2020-12-31,23.4,4656.6,Cancelled,Found alternative,Crypto
SUB-0126,CUST-0119,Enterprise,499,2021-05-06,11/18/2023,30.4,15169.6,cancelled,Company closure,PayPal
SUB-0127,CUST-0120,Enterprise,499,2023-02-13,2023-06-26,4.4,2195.6,Cancelled,Poor support,Crypto
SUB-0128,CUST-0121,Starter,29,2019-09-08,2022-04-14,31.2,904.8,Cancelled,Budget cuts,PayPal
SUB-0129,CUST-0122,Enterprise,499,2021-10-03,2023-11-17,25.5,12724.5,Cancelled,Budget cuts,Credit Card
SUB-0130,CUST-0123,BUSINESS,199,2019-03-16,"August 8, 2019",4.8,955.2,Cancelled,Poor support,Bank Transfer
SUB-0131,CUST-0124,Business,199,2021-09-07,2022-12-09,15,2985,Cancelled,Poor support,Crypto
SUB-0132,CUST-0125,Starter,29,2021-01-18,2024-01-07,35.6,"$1,032.40",Cancelled,Company closure,PayPal
SUB-0133,CUST-0125,Enterprise,499,2019-07-21,2020-03-30,8.3,4141.7,Cancelled,Switched to competitor,Credit Card
SUB-0134,CUST-0126,Business,$199.00,2023-06-18,"June 17, 2024",12,2388,Cancelled,Missing features,PayPal
SUB-0135,CUST-0127,Enterprise,499,2019-02-02,2022-07-18,41.5,20708.5,Cancelled,Too expensive,Crypto
SUB-0136,CUST-0128,business,199,2023-05-23,2023-08-22,3,597,Cancelled,Poor support,PayPal
SUB-0137,CUST-0129,Starter,29,2023-08-18,2023-11-17,3,87,Cancelled,Budget cuts,Credit Card
SUB-0138,CUST-0130,Enterprise,499,"May 10, 2020",31/03/2024,46.7,23303.3,Cancelled,No longer needed,Crypto
SUB-0139,CUST-0131,STARTER,29,2021-11-05,2024-01-30,,777.2,Cancelled,Poor support,Crypto
SUB-0140,CUST-0132,Professional,79,21/04/2021,2022-09-29,17.3,1366.7,CANCELLED,Poor support,Credit Card
SUB-0141,CUST-0133,starter,29,22/06/2022,2022-10-21,4,116,Cancelled,Found alternative,Credit Card
SUB-0142,CUST-0134,Business,199,2020-12-25,2024-10-29,46.1,9173.9,Active,,PayPal
SUB-0143,CUST-0135,STARTER,29,2022-03-27,2024-04-18,24.7,$716.30,Cancelled,Company closure,Bank Transfer
SUB-0144,CUST-0136,Business,$199.00,23/07/2020,2025-04-07,56.5,11243.5,Active,,Bank Transfer
SUB-0145,CUST-0137,Business,199,2019-11-20,2021-05-10,17.6,"$3,502.40",Cancelled,Poor support,Crypto
SUB-0146,CUST-0138,Business,$199.00,2019-10-03,9 March 2022,29.2,5810.8,Cancelled,Missing features,Bank Transfer
SUB-0147,CUST-0139,professional,79,2023-11-06,2024-02-04,3,$237.00,Cancelled,Switched to competitor,Bank Transfer
SUB-0148,CUST-0140,Professional,$79.00,02/16/2019,"January 26, 2025",71.3,"$5,632.70",Active,,PayPal
SUB-0149,CUST-0141,Enterprise,499,2020-03-09,2023-04-07,36.9,18413.1,Cancelled,Missing features,Bank Transfer
SUB-0150,CUST-0142,Enterprise,499,2022-06-02,2022-07-08,1.2,598.8,Cancelled,Budget cuts,Bank Transfer
SUB-0151,CUST-0143,PROFESSIONAL,79,2021-02-22,2021-04-01,1.2,94.8,Cancelled,Missing features,Credit Card
SUB-0152,CUST-0144,Enterprise,499,2019-04-23,2024-10-05,65.4,32634.6,Active,,Crypto
SUB-0153,CUST-0145,professional,79,12/23/2021,2024-02-17,25.8,2038.2,Cancelled,Company closure,Credit Card
SUB-0154,CUST-0146,Starter,29,2020-02-21,"December 10, 2022",,974.4,Cancelled,Budget cuts,Bank Transfer
SUB-0155,CUST-0147,professional,79,2019-10-31,01/08/2020,9,711,Cancelled,Poor support,Credit Card
SUB-0156,CUST-0148,Enterprise,499,2022-03-10,2026-05-25,50.5,25199.5,Active,,Crypto
SUB-0157,CUST-0149,Enterprise,499,2020-06-10,11/19/2021,17.3,8632.7,Cancelled,Poor support,PayPal
SUB-0158,CUST-0150,Enterprise,499,27 March 2023,2023-07-11,3.5,1746.5,CANCELLED,Switched to competitor,PayPal
SUB-0159,CUST-0151,Starter,$29.00,2020-10-29,2023-11-02,36.1,"$1,046.90",Cancelled,Budget cuts,PayPal
SUB-0160,CUST-0152,Professional,79,2020-02-25,2024-06-27,52,4108,Active,,Bank Transfer
SUB-0161,CUST-0153,Enterprise,499,15/06/2021,2023-08-18,26.1,13023.9,Cancelled,Switched to competitor,Bank Transfer
SUB-0162,CUST-0154,Enterprise,499,2019-08-11,2024-06-06,57.9,28892.1,Cancelled,Missing features,Credit Card
SUB-0163,CUST-0155,Starter,29,"May 27, 2021",2022-02-04,8.3,240.7,Cancelled,Missing features,Crypto
SUB-0164,CUST-0156,Professional,79,2022-09-11,2023-07-15,10.1,$797.90,Cancelled,Company closure,PayPal
SUB-0165,CUST-0157,Professional,79,03/22/2019,2019-06-21,3,237,Cancelled,Poor support,Bank Transfer
SUB-0166,CUST-0158,Professional,79,2022-04-07,2023-08-20,16.4,1295.6,Cancelled,No longer needed,Crypto
SUB-0167,CUST-0159,Enterprise,499,2022-10-09,2022-11-18,1.3,648.7,Cancelled,Found alternative,Crypto
SUB-0168,CUST-0160,Professional,79,2020-04-21,2020-10-21,6,474,Cancelled,Missing features,Credit Card
SUB-0169,CUST-0161,starter,29,2021-02-27,2021-05-26,2.9,84.1,Cancelled,Poor support,Bank Transfer
SUB-0170,CUST-0162,Professional,79,2023-03-04,2023-05-09,2.2,173.8,Cancelled,Switched to competitor,Crypto
SUB-0171,CUST-0163,Starter,$29.00,2019-05-31,12/07/2022,37.4,1084.6,Cancelled,Budget cuts,Bank Transfer
SUB-0172,CUST-0164,Professional,79,2023-02-06,2023-04-17,,181.7,Cancelled,Poor support,Crypto
SUB-0173,CUST-0165,Business,$199.00,2020-04-02,2022-03-30,23.9,4756.1,Cancelled,Switched to competitor,Credit Card
SUB-0174,CUST-0166,Starter,29,2023-07-28,06/04/2024,10.2,295.8,Cancelled,Company closure,Crypto
SUB-0175,CUST-0167,Enterprise,499,2023-06-02,7 February 2024,8.2,4091.8,Cancelled,Too expensive,Credit Card
SUB-0176,CUST-0168,Business,199,2020-07-18,2024-06-12,46.8,9313.2,Active,,Crypto
SUB-0177,CUST-0169,Business,$199.00,2021-07-08,2022-07-11,,2407.9,Cancelled,Too expensive,Bank Transfer
SUB-0178,CUST-0170,Business,$199.00,"April 1, 2019",04/07/2021,27.1,5392.9,Cancelled,Switched to competitor,Crypto
SUB-0179,CUST-0171,Starter,29,2023-09-03,2024-06-16,9.4,272.6,Active,,Bank Transfer
SUB-0180,CUST-0172,Enterprise,499,2023-03-23,2024-01-28,10.2,5089.8,Cancelled,Missing features,PayPal
SUB-0181,CUST-0173,Professional,79,2020-08-22,2022-06-20,21.9,1730.1,Cancelled,Too expensive,PayPal
SUB-0182,CUST-0174,Enterprise,499,"June 6, 2019",2019-12-24,6.6,"$3,293.40",cancelled,Budget cuts,Crypto
SUB-0183,CUST-0174,Starter,29,2023-11-11,2024-02-10,3,$87.00,Cancelled,Too expensive,PayPal
SUB-0184,CUST-0175,BUSINESS,199,2020-10-24,16 December 2023,37.7,7502.3,Cancelled,No longer needed,Bank Transfer
SUB-0185,CUST-0176,Professional,79,2022-10-23,05/03/2023,6.3,497.7,Cancelled,Too expensive,Credit Card
SUB-0186,CUST-0177,ENTERPRISE,499,30/07/2023,2024-01-29,6,2994,cancelled,No longer needed,Bank Transfer
SUB-0187,CUST-0178,Starter,29,2019-08-06,2020-11-13,15.3,443.7,Cancelled,Poor support,Crypto
SUB-0188,CUST-0179,Starter,29,2023-11-25,2025-04-13,16.6,481.4,Active,,Crypto
SUB-0189,CUST-0180,Professional,79,2020-03-27,05/18/2024,49.7,3926.3,Cancelled,Company closure,PayPal
SUB-0190,CUST-0181,Professional,79,2022-03-18,2024-06-04,26.6,2101.4,Active,,Credit Card
SUB-0191,CUST-0182,Enterprise,499,5 May 2019,2022-06-29,,18862.2,Cancelled,Missing features,Bank Transfer
SUB-0192,CUST-0183,Professional,79,2022-01-16,2024-08-18,31,2449,Active,,PayPal
SUB-0193,CUST-0184,Professional,79,2020-04-10,13 November 2024,55.1,4352.9,Active,,Bank Transfer
SUB-0194,CUST-0185,Professional,79,2023-07-09,2023-08-20,1.4,110.6,Cancelled,Missing features,Credit Card
SUB-0195,CUST-0186,Enterprise,499,2022-03-26,2023-06-21,14.8,"$7,385.20",CANCELLED,Company closure,PayPal
SUB-0196,CUST-0187,Business,199,01/24/2020,2025-01-22,60,11940,Active,,Crypto
SUB-0197,CUST-0188,Professional,79,2022-04-18,2026-10-29,54.4,4297.6,Active,,Credit Card
SUB-0198,CUST-0189,Enterprise,499,"February 15, 2021",2025-03-18,49,24451,Active,,Crypto
SUB-0199,CUST-0190,Professional,$79.00,2019-05-08,2021-01-03,19.9,1572.1,Cancelled,Budget cuts,Crypto
SUB-0200,CUST-0191,Enterprise,499,2019-05-01,01/11/2023,54,26946,Cancelled,No longer needed,Crypto
SUB-0201,CUST-0192,Enterprise,499,07/06/2023,"October 30, 2023",3.8,1896.2,Cancelled,Found alternative,Credit Card
SUB-0202,CUST-0193,Enterprise,499,2 July 2022,2023-02-17,7.6,"$3,792.40",Cancelled,Found alternative,PayPal
SUB-0203,CUST-0194,Enterprise,499,2021-06-02,2023-01-07,19.2,9580.8,Cancelled,Found alternative,Bank Transfer
SUB-0204,CUST-0195,Enterprise,499,2022-11-24,2023-10-20,10.8,5389.2,Cancelled,Poor support,PayPal
SUB-0205,CUST-0196,Business,199,2023-09-24,2024-06-05,8.4,1671.6,Cancelled,Switched to competitor,Credit Card
SUB-0206,CUST-0197,Business,199,2022-05-27,2025-06-23,36.9,7343.1,Active,,Crypto
SUB-0207,CUST-0198,Professional,79,2021-10-21,23 July 2022,9,$711.00,CANCELLED,Switched to competitor,Bank Transfer
SUB-0208,CUST-0199,Business,199,2020-01-11,2024-01-18,48.2,"$9,591.80",CANCELLED,Company closure,Credit Card
SUB-0209,CUST-0200,Business,199,2020-12-27,2025-02-16,49.7,9890.3,Active,,Crypto
SUB-0210,CUST-0201,Starter,29,2019-12-11,04/09/2024,51.9,1505.1,Cancelled,Poor support,Bank Transfer
SUB-0211,CUST-0202,Starter,29,2023-05-12,10/09/2023,4,116,Cancelled,No longer needed,Bank Transfer
SUB-0212,CUST-0203,Professional,79,2023-08-28,"March 13, 2024",6.5,513.5,CANCELLED,Company closure,Bank Transfer
SUB-0213,CUST-0204,Enterprise,499,2023-12-13,2024-01-17,1.1,$548.90,Cancelled,Company closure,Credit Card
SUB-0214,CUST-0205,BUSINESS,199,2022-11-01,29/03/2023,4.9,975.1,CANCELLED,Missing features,Bank Transfer
SUB-0215,CUST-0206,Professional,79,2020-07-31,2024-01-01,41,3239,Cancelled,Poor support,Bank Transfer
SUB-0216,CUST-0207,Enterprise,499,09/24/2022,2025-01-17,,13872.2,Active,,Crypto
SUB-0217,CUST-0208,Starter,29,2021-04-27,2025-02-02,45.2,"$1,310.80",active,,Credit Card
SUB-0218,CUST-0209,Starter,29,2021-12-20,2024-01-13,24.8,719.2,Cancelled,Missing features,Bank Transfer
SUB-0219,CUST-0210,Business,199,2020-12-28,2025-12-23,59.8,11900.2,Active,,Crypto
SUB-0220,CUST-0211,PROFESSIONAL,79,2020-09-17,10/19/2023,37,2923,Cancelled,Poor support,Bank Transfer
SUB-0221,CUST-0212,Professional,79,2023-07-13,2023-11-07,,300.2,Cancelled,Missing features,Bank Transfer
SUB-0222,CUST-0213,ENTERPRISE,499,2020-03-01,2026-08-15,77.5,38672.5,Active,,Crypto
SUB-0223,CUST-0214,Enterprise,499,2020-05-05,2024-07-26,50.7,25299.3,Active,,Crypto
SUB-0224,CUST-0215,Enterprise,499,2023-02-22,2023-04-05,1.4,698.6,Cancelled,Found alternative,Bank Transfer
SUB-0225,CUST-0216,Enterprise,499,2022-11-28,"November 25, 2023",11.9,5938.1,Cancelled,No longer needed,Credit Card
SUB-0226,CUST-0217,Enterprise,499,2022-07-21,2024-04-13,20.8,10379.2,Cancelled,Company closure,Credit Card
SUB-0227,CUST-0218,Professional,79,29/11/2019,2022-04-08,28.3,2235.7,Cancelled,No longer needed,Credit Card
SUB-0228,CUST-0219,Business,199,"June 3, 2020",2022-11-15,29.4,5850.6,Cancelled,Found alternative,Crypto
SUB-0229,CUST-0220,Starter,29,2022-01-25,2023-03-18,13.7,397.3,Cancelled,No longer needed,PayPal
SUB-0230,CUST-0221,STARTER,29,2020-06-15,2023-11-14,41,1189,Cancelled,Missing features,Bank Transfer
SUB-0231,CUST-0222,Starter,29,2022-03-03,2023-01-16,10.5,304.5,Cancelled,Poor support,Crypto
