item_id,order_id,product_id,product_name,category,quantity,unit_price_USD,discount_pct,line_total_USD
ITEM-000020,ORD-00815,PROD-0063,Marketing Mastery,Books,6,"$2,080.85",0.08,"$11,486.29"
ITEM-000021,ORD-02996,PROD-0036,Cookware Set,Home & Garden,9,265.41,0.4,1433.21
ITEM-000022,ORD-02996,PROD-0003,Bluetooth Speaker,Electronics,3,117.98,0.35,230.06
ITEM-000023,ORD-02996,PROD-0013,Analytics Tool,Software,19,2148.49,0.3,28574.92
ITEM-000024,ORD-02996,PROD-0142,Cycling Helmet Pro,Sports,3,"$1,066.85",0.22,2496.43
ITEM-000025,ORD-02598,PROD-0070,AI Fundamentals,Books,14,$198.30,0.03,2692.91
ITEM-000026,ORD-02598,PROD-0094,Growth Hacking Pro,books,11,1026.12,0.33,7562.5
ITEM-000027,ORD-02598,PROD-0053,Hair Dryer,Beauty,15,1169.24,0.18,"$14,381.65"
ITEM-000028,ORD-02598,PROD-0161,Hot Sauce Bundle Pro,Food & Beverage ,2,1006.11,0.4,1207.33
ITEM-000029,ORD-03853,PROD-0165,Energy Drink Pack Pro,Food & Beverage,20,1670.16,0.16,28058.69
ITEM-000030,ORD-03853,PROD-0169,Portable Charger Pro,Electronics,18,$410.99,0.26,5474.39
ITEM-000031,ORD-03853,PROD-0047,Gym Bag,Sports,17,247.22,0.18,3446.25
ITEM-000032,ORD-04730,PROD-0051,Moisturiser SPF50,Beauty,19,1404.4,0.21,"$21,080.04"
ITEM-000033,ORD-04730,PROD-0195,Robot Vacuum Pro,home & garden,4,1006.15,0.19,3259.93
ITEM-000034,ORD-04704,PROD-0101,Yoga Mat Pro,Sports,14,1956.47,0.17,22734.18
ITEM-000035,ORD-04704,PROD-0060,Makeup Brush Set,Beauty,-1,2450.9,0.02,4803.76
ITEM-000036,ORD-04704,PROD-0167,Makeup Brush Set Pro,Beauty,8,"$2,625.63",0.04,20164.84
ITEM-000037,ORD-04704,PROD-0145,Premium Coffee Beans Pro,Food & Beverage,11,464.46,0.33,3423.07
ITEM-000038,ORD-03600,PROD-0078,Dark Chocolate Box,Food & Beverage,13,538.02,0.06,6574.6
ITEM-000039,ORD-03600,PROD-0182,Coffee Maker Pro,Home & Garden,20,1789.99,0.13,31145.83
ITEM-000040,ORD-03200,PROD-0036,Cookware Set,home & garden,18,265.41,0.07,4442.96
ITEM-000041,ORD-03200,PROD-0033,Robot Vacuum,Home & Garden,11,1014.56,0.16,"$9,374.53"
ITEM-000042,ORD-01409,PROD-0191,Garden Hose Pro,Home & Garden,3,338.86,0.06,955.59
ITEM-000043,ORD-01409,PROD-0003,Bluetooth Speaker,Electronics,15,117.98,0.16,1486.55
ITEM-000044,ORD-03057,PROD-0022,Casual T-Shirt,Apparel,17,263.25,0.03,4340.99
ITEM-000045,ORD-03057,PROD-0012,CRM Platform,Software,3,558.51,0.18,1373.93
ITEM-000046,ORD-03057,PROD-0150,Mechanical Keyboard Pro,Electronics,4,1592.88,0.11,5670.65
ITEM-000047,ORD-03057,PROD-0067,Design Thinking,Books,17,866.02,0.07,13691.78
ITEM-000048,ORD-03965,PROD-0098,Moisturiser SPF50 Pro,Beauty,19,1270.72,0.3,16900.58
ITEM-000049,ORD-03965,PROD-0060,Makeup Brush Set,Beauty,11,2450.9,0.16,22646.32
ITEM-000050,ORD-03965,PROD-0127,Desk Lamp Pro,Home and Garden,8,50.58,0.39,246.83
ITEM-000051,ORD-03965,PROD-0058,Nail Polish Set,Beauty,18,372.61,0.05,6371.63
ITEM-000052,ORD-02751,PROD-0028,Backpack,Apparrel,13,621.89,0.17,6710.19
ITEM-000053,ORD-02751,PROD-0058,Nail Polish Set,BEAUTY,20,372.61,0.09,6781.5
ITEM-000054,ORD-02751,PROD-0091,Wall Art Pro,Home & Garden,7,1457.61,0.21,8060.58
ITEM-000055,ORD-01940,PROD-0137,Air Purifier Pro,Home & Garden,2,2331.88,0.03,4523.85
ITEM-000056,ORD-01940,PROD-0119,Baseball Cap Pro,Apparel,18,1471.39,0.1,23836.52
ITEM-000057,ORD-01940,PROD-0084,SQL Deep Dive Pro,Books,2,3859.71,1.36,5249.21
ITEM-000058,ORD-01940,PROD-0163,Smart Thermostat Pro,Home & Garden,20,820.19,0.01,16239.76
ITEM-000059,ORD-00891,PROD-0179,Growth Hacking Pro,Books,19,1274.57,0.16,20342.14
ITEM-000060,ORD-00891,PROD-0191,Garden Hose Pro,Home & Garden,16,$338.86,0.35,3524.14
ITEM-000061,ORD-01084,PROD-0101,Yoga Mat Pro,Sports,15,1956.47,0.24,22303.76
ITEM-000062,ORD-00024,PROD-0048,Fitness Tracker,Sports,18,1613.68,0.09,26432.08
ITEM-000063,ORD-00024,PROD-0162,Mechanical Keyboard Pro,electronics,5,1226.74,0.14,5274.98
ITEM-000064,ORD-00024,PROD-0054,Electric Toothbrush,Beauty,17,1315.46,0.29,15877.6
ITEM-000065,ORD-04986,PROD-0040,Storage Ottoman,Home&Garden,13,2043.74,0.1,23911.76
ITEM-000066,ORD-04986,PROD-0039,Desk Lamp,Home & Garden,19,37.13,0.34,465.61
ITEM-000067,ORD-04986,PROD-0036,Cookware Set,Home & Garden,16,$265.41,0.39,2590.4
ITEM-000068,ORD-00786,PROD-0111,Product Management v2,Books,20,327.73,0.37,4129.4
ITEM-000069,ORD-00786,PROD-0150,Mechanical Keyboard Pro,Electronics,1,1592.88,1.15,1369.88
ITEM-000070,ORD-00786,PROD-0132,Business Jacket Pro,Apparel,12,1511.13,0.1,16320.2
ITEM-000071,ORD-02129,PROD-0131,Design Thinking Pro,Books,19,880.31,0.16,14049.75
ITEM-000072,ORD-02541,PROD-0081,Webcam HD Pro,Electronics,6,846.49,0.33,3402.89
ITEM-000073,ORD-02541,PROD-0119,Baseball Cap Pro,Apparel,15,1471.39,0.13,19201.64
ITEM-000074,ORD-00695,PROD-0093,Financial Freedom Pro,Books,6,1358.05,0.2,6518.64
ITEM-000075,ORD-00695,PROD-0129,Baseball Cap Pro,Apparel,3,1239.92,0.21,2938.61
ITEM-000076,ORD-04177,PROD-0027,Dress Shoes,Apparel,8,632.94,0.05,4810.34
ITEM-000077,ORD-03458,PROD-0025,Sports Leggings,Apparel,6,1270.62,0.09,6937.59
ITEM-000078,ORD-03458,PROD-0109,Financial Freedom Pro,Books,11,1601.89,0.34,11629.72
ITEM-000079,ORD-03458,PROD-0096,Robot Vacuum Pro,Home&Garden,20,1308.53,0.3,"$18,319.42"
ITEM-000080,ORD-03458,PROD-0175,Moisturiser SPF50 Pro,Beauty,20,1344.19,0.37,"$16,936.79"
ITEM-000081,ORD-02698,PROD-0032,Air Purifier,Home & Garden,7,2282.93,0.28,11505.97
ITEM-000082,ORD-02698,PROD-0072,Protein Bars 12pk,Food & Beverage,9,1658.51,0.22,11642.74
ITEM-000083,ORD-02698,PROD-0095,Bed Sheets Pro,Home & Garden,14,1260.77,0.22,13767.61
ITEM-000084,ORD-02698,PROD-0130,Storage Ottoman Pro,home & garden,18,1867.26,0.18,27560.76
ITEM-000085,ORD-02390,PROD-0174,Gym Bag Pro,Sports,-7,335.66,0.27,4900.64
ITEM-000086,ORD-04569,PROD-0145,Premium Coffee Beans Pro,Food & Beverage,11,464.46,0.19,4138.34
ITEM-000087,ORD-04569,PROD-0017,Design Software,Software,7,819.73,0.03,5565.97
ITEM-000088,ORD-03852,PROD-0003,Bluetooth Speaker,Electronics,13,117.98,0.2,1226.99
ITEM-000089,ORD-03852,PROD-0168,Security Suite Pro,Software,5,1329.27,0.03,6446.96
ITEM-000090,ORD-03852,PROD-0112,Nuts & Seeds Mix Pro,Food & Beverage,5,1330.62,0.07,6187.38
ITEM-000091,ORD-03852,PROD-0171,HR Management System Pro,Software,18,1930.86,0.24,26414.16
ITEM-000092,ORD-02248,PROD-0170,Vitamin C Serum Pro,Beauty,16,862.09,0.38,"$8,551.93"
ITEM-000093,ORD-02248,PROD-0091,Wall Art Pro,Home & Garden,16,1457.61,0.37,14692.71
ITEM-000094,ORD-02248,PROD-0169,Portable Charger Pro,Electronics,15,$410.99,0.25,4623.64
ITEM-000095,ORD-02248,PROD-0069,Growth Hacking,Books,11,910.45,0.07,9313.9
ITEM-000096,ORD-02015,PROD-0130,Storage Ottoman Pro,Home & Garden,9,"$1,867.26",0.19,13612.33
ITEM-000097,ORD-02015,PROD-0043,Protein Powder,Sports,6,345.71,0.4,1244.56
ITEM-000098,ORD-03416,PROD-0153,Analytics Tool Pro,Software,13,2914.31,0.05,35991.73
ITEM-000099,ORD-00732,PROD-0019,Security Suite,Software,3,1657.49,0.18,4077.43
ITEM-000100,ORD-01075,PROD-0199,Makeup Brush Set Pro,Beauty,20,3414.28,0.1,61457.04
ITEM-000101,ORD-00674,PROD-0101,Yoga Mat Pro,sports,7,1956.47,0.3,9586.7
ITEM-000102,ORD-00674,PROD-0051,Moisturiser SPF50,Beauty,13,1404.4,0.07,16979.2
ITEM-000103,ORD-00674,PROD-0142,Cycling Helmet Pro,Sports,13,1066.85,0.35,9014.88
ITEM-000104,ORD-04236,PROD-0107,Dress Shoes Pro,Apparel,18,$821.85,0.25,11094.98
ITEM-000105,ORD-00605,PROD-0150,Mechanical Keyboard Pro,Electronics,2,1592.88,0.26,2357.46
ITEM-000106,ORD-00605,PROD-0157,Analytics Tool Pro,Software,9,1897.69,0.31,11784.65
ITEM-000107,ORD-03953,PROD-0134,Nuts & Seeds Mix Pro,Food & Beverage,16,1261.6,0.03,"$19,580.03"
ITEM-000108,ORD-01212,PROD-0195,Robot Vacuum Pro,home & garden,10,1006.15,0.18,8250.43
ITEM-000109,ORD-01212,PROD-0018,Cloud Storage,Software,10,1471.32,0,14713.2
ITEM-000110,ORD-01212,PROD-0184,Smart Watch Pro,Electronics,7,984.86,0,6894.02
ITEM-000111,ORD-04543,PROD-0037,Bed Sheets,Home & Garden,2,1097.5,0.03,2129.15
ITEM-000112,ORD-04543,PROD-0037,Bed Sheets,Home & Garden,9,1097.5,0.3,6914.25
ITEM-000113,ORD-00178,PROD-0070,AI Fundamentals,Books,16,198.3,0.23,2443.06
ITEM-000114,ORD-00178,PROD-0198,Vitamin C Serum Pro,Beauty,3,826.67,0.02,2430.41
ITEM-000115,ORD-00178,PROD-0094,Growth Hacking Pro,BOOKS,8,1026.12,0.31,5664.18
ITEM-000116,ORD-00057,PROD-0017,Design Software,Software,1,819.73,0.01,811.53
ITEM-000117,ORD-00057,PROD-0042,Resistance Bands,Sports,18,1478.09,0.16,"$22,348.72"
ITEM-000118,ORD-00057,PROD-0048,Fitness Tracker,Sports,15,1613.68,0.13,21058.52
ITEM-000119,ORD-02391,PROD-0020,Video Conferencing,Software,20,1857.53,0.03,36036.08
ITEM-000120,ORD-03708,PROD-0061,Data Analytics Guide,Books,11,706.17,0.02,7612.51
ITEM-000121,ORD-03708,PROD-0109,Financial Freedom Pro,Books,3,1601.89,0.04,4613.44
ITEM-000122,ORD-03708,PROD-0118,Foam Roller Pro,Sports ,18,4306.63,0.19,62790.67
ITEM-000123,ORD-02891,PROD-0176,Video Conferencing Pro,Software,11,2262.72,1.09,17422.94
ITEM-000124,ORD-00312,PROD-0163,Smart Thermostat Pro,Home & Garden,8,820.19,0.2,"$5,249.22"
ITEM-000125,ORD-00312,PROD-0029,Baseball Cap,Apparel,2,1309.55,0.21,"$2,069.09"
ITEM-000126,ORD-00312,PROD-0038,Wall Art,Home & Garden,10,1162.29,0.3,8136.03
ITEM-000127,ORD-02451,PROD-0099,Premium Coffee Beans Pro,Food & Beverage,12,424.25,0.35,3309.15
ITEM-000128,ORD-02451,PROD-0015,Email Marketing Tool,Software,9,997.69,0.19,7273.16
ITEM-000129,ORD-02451,PROD-0078,Dark Chocolate Box,Food & Beverage,2,538.02,0.3,753.23
ITEM-000130,ORD-02451,PROD-0114,Moisturiser SPF50 Pro,Beauty,10,1899.07,0.2,15192.56
ITEM-000131,ORD-00323,PROD-0158,Wall Art Pro,Home & Garden,3,1235.81,0.05,3522.06
ITEM-000132,ORD-00323,PROD-0027,Dress Shoes,Apparel,20,632.94,0.25,9494.1
ITEM-000133,ORD-00323,PROD-0081,Webcam HD Pro,Electronics,6,$846.49,0.33,3402.89
ITEM-000134,ORD-00323,PROD-0167,Makeup Brush Set Pro,Beauty,2,"$2,625.63",0.25,3938.45
ITEM-000135,ORD-02704,PROD-0064,Leadership Principles,Books,18,806,0.08,13347.36
ITEM-000136,ORD-03511,PROD-0012,CRM Platform,Software,6,558.51,0.23,2580.32
ITEM-000137,ORD-02963,PROD-0024,Winter Coat,Apparel ,1,1531.64,0.34,1010.88
ITEM-000138,ORD-02963,PROD-0031,Coffee Maker,Home & Garden,11,1966.81,0.24,16442.53
ITEM-000139,ORD-02963,PROD-0098,Moisturiser SPF50 Pro,Beauty,5,1270.72,0.05,6035.92
ITEM-000140,ORD-00453,PROD-0064,Leadership Principles,Books,15,806,0.31,8342.1
ITEM-000141,ORD-00453,PROD-0097,Hot Sauce Bundle Pro,F&B,1,1311.29,0.19,1062.14
ITEM-000142,ORD-00453,PROD-0144,Protein Bars 12pk v2,Food & Beverage ,17,1597.6,0.11,24171.69
ITEM-000143,ORD-03847,PROD-0046,Water Bottle,Sports,13,1267.26,0.16,13838.48
ITEM-000144,ORD-03847,PROD-0081,Webcam HD Pro,Electronics,8,$846.49,0.17,"$5,620.69"
ITEM-000145,ORD-03847,PROD-0159,USB-C Hub Pro,Electronics,11,2734.41,0.33,20152.6
ITEM-000146,ORD-02099,PROD-0039,Desk Lamp,Home & Garden,5,37.13,0.36,118.82
ITEM-000147,ORD-02099,PROD-0187,SQL Deep Dive Pro,Books,2,3875.59,0.02,"$7,596.16"
ITEM-000148,ORD-01968,PROD-0051,Moisturiser SPF50,Beauty,15,1404.4,0.14,18116.76
ITEM-000149,ORD-01262,PROD-0060,Makeup Brush Set,Beauty,20,2450.9,0.02,48037.64
ITEM-000150,ORD-01815,PROD-0007,Gaming Mouse,Electronics,11,"$1,421.71",0.15,13292.99
ITEM-000151,ORD-02839,PROD-0049,Tennis Racket,Sports,14,64.18,0.35,584.04
ITEM-000152,ORD-02839,PROD-0159,USB-C Hub Pro,Electronics,11,2734.41,0.36,19250.25
ITEM-000153,ORD-01573,PROD-0032,Air Purifier,Home & Garden,13,"$2,282.93",0.12,26116.72
ITEM-000154,ORD-01573,PROD-0051,Moisturiser SPF50,Beauty,20,1404.4,1.25,23032.16
ITEM-000155,ORD-01573,PROD-0117,Running Shoes Pro,Apparel ,19,493.75,0,9381.25
ITEM-000156,ORD-01573,PROD-0141,Design Thinking Pro,Books,19,1078.56,0.39,12500.51
ITEM-000157,ORD-03377,PROD-0200,Data Analytics Guide Pro,Books,3,672.78,0.15,"$1,715.59"
ITEM-000158,ORD-03377,PROD-0191,Garden Hose Pro,Home & Garden,5,$338.86,0.15,1440.16
ITEM-000159,ORD-02567,PROD-0122,Video Conferencing Pro,Software,10,2447.65,0.04,23497.44
ITEM-000160,ORD-02567,PROD-0140,Bed Sheets Pro,Home&Garden,7,1071.89,0.26,"$5,552.39"
ITEM-000161,ORD-03012,PROD-0128,Leadership Principles Pro,books,19,934.4,0.05,16865.92
ITEM-000162,ORD-02296,PROD-0181,Cloud Storage Pro,Software,19,"$1,691.68",0.24,24427.86
ITEM-000163,ORD-02296,PROD-0112,Nuts & Seeds Mix Pro,Food & Beverage,8,1330.62,0.33,"$7,132.12"
ITEM-000164,ORD-02296,PROD-0175,Moisturiser SPF50 Pro,Beauty,2,1344.19,0.08,"$2,473.31"
ITEM-000165,ORD-00928,PROD-0143,Smoothie Mix Pro,Food & Beverage,1,841.22,0.1,757.1
ITEM-000166,ORD-01974,PROD-0140,Bed Sheets Pro,HOME & GARDEN,15,1071.89,0.23,12380.33
ITEM-000167,ORD-01105,PROD-0185,Green Tea Collection Pro,Food & Beverage,11,653.88,0.09,6545.34
ITEM-000168,ORD-01105,PROD-0200,Data Analytics Guide Pro,Books ,20,672.78,0.01,13321.04
ITEM-000169,ORD-01105,PROD-0061,Data Analytics Guide,Books,15,706.17,0.15,9003.67
ITEM-000170,ORD-04899,PROD-0088,Leadership Principles Pro,Books,14,805.36,0.01,11162.29
ITEM-000171,ORD-04899,PROD-0103,Analytics Tool Pro,Software,5,2266.75,0.39,6913.59
ITEM-000172,ORD-04899,PROD-0005,Webcam HD,Electronics,2,695.37,0.2,1112.59
ITEM-000173,ORD-00587,PROD-0166,Product Management v2,Books,16,557.83,0.02,8746.77
ITEM-000174,ORD-04492,PROD-0122,Video Conferencing Pro,Software,14,2447.65,0.39,20902.93
ITEM-000175,ORD-01153,PROD-0103,Analytics Tool Pro,Software,15,2266.75,0.07,31621.16
ITEM-000176,ORD-04422,PROD-0011,Project Management Suite,Software,17,947.94,0.3,11280.49
ITEM-000177,ORD-04360,PROD-0150,Mechanical Keyboard Pro,Electronics,15,1592.88,0.06,22459.61
ITEM-000178,ORD-04360,PROD-0157,Analytics Tool Pro,Software,6,1897.69,0.23,8767.33
ITEM-000179,ORD-04360,PROD-0080,Herbal Tea Set,Food & Beverage,11,1313.91,0.01,14308.48
ITEM-000180,ORD-02617,PROD-0173,Wireless Headphones Pro,Electronics,17,581.83,0.38,6132.49
ITEM-000181,ORD-02617,PROD-0186,Security Suite Pro,Software,10,2016.16,0.19,16330.9
ITEM-000182,ORD-03456,PROD-0055,Perfume 50ml,Beauty,16,1469.34,0.03,"$22,804.16"
ITEM-000183,ORD-03456,PROD-0169,Portable Charger Pro,Electronics,16,410.99,0.16,5523.71
ITEM-000184,ORD-03456,PROD-0020,Video Conferencing,Software,11,1857.53,0.12,17980.89
ITEM-000185,ORD-00585,PROD-0046,Water Bottle,Sports,13,1267.26,0.22,12850.02
ITEM-000186,ORD-00585,PROD-0180,Sunglasses Pro,Apparel,6,$683.34,0.15,3485.03
ITEM-000187,ORD-00585,PROD-0022,Casual T-Shirt,Apparel,10,263.25,0.31,1816.42
ITEM-000188,ORD-00124,PROD-0024,Winter Coat,Apparel,4,1531.64,0.26,4533.65
ITEM-000189,ORD-00124,PROD-0159,USB-C Hub Pro,Electronics,12,"$2,734.41",0.06,30844.14
ITEM-000190,ORD-01404,PROD-0158,Wall Art Pro,Home&Garden,18,1235.81,0.08,20465.01
ITEM-000191,ORD-01404,PROD-0099,Premium Coffee Beans Pro,Food & Beverage,4,$424.25,0.02,1663.06
ITEM-000192,ORD-01404,PROD-0061,Data Analytics Guide,Books,12,706.17,0.35,5508.13
ITEM-000193,ORD-03198,PROD-0178,Gym Bag Pro,Sports,5,229.12,0.38,710.27
ITEM-000194,ORD-00107,PROD-0051,Moisturiser SPF50,Beauty,11,1404.4,0.08,14212.53
ITEM-000195,ORD-00107,PROD-0190,Foam Roller Pro,Sports,15,2998.27,0.33,30132.61
ITEM-000196,ORD-00107,PROD-0109,Financial Freedom Pro,Books,1,1601.89,0.34,1057.25
ITEM-000197,ORD-00107,PROD-0055,Perfume 50ml,Beauty,11,1469.34,0.24,12283.68
ITEM-000198,ORD-01870,PROD-0154,Dress Shoes Pro,Apparel,11,559.43,0.04,5907.58
ITEM-000199,ORD-01870,PROD-0023,Business Jacket,Apparel,19,1140.19,0.19,17547.52
ITEM-000200,ORD-00332,PROD-0196,Jump Rope Pro,Sports,7,148.45,0.24,789.75
ITEM-000201,ORD-00332,PROD-0077,Nuts & Seeds Mix,Food & Beverage,7,1002.34,0.01,6946.22
ITEM-000202,ORD-00332,PROD-0043,Protein Powder,Sports,9,345.71,0.16,2613.57
ITEM-000203,ORD-00332,PROD-0154,Dress Shoes Pro,Apparel ,17,559.43,0.17,7893.56
ITEM-000204,ORD-00467,PROD-0036,Cookware Set,Home & Garden,18,265.41,0.31,3296.39
ITEM-000205,ORD-03520,PROD-0160,AI Fundamentals Pro,Books,5,225,0.05,1068.75
ITEM-000206,ORD-04979,PROD-0020,Video Conferencing,Software,5,1857.53,0.26,6872.86
ITEM-000207,ORD-02938,PROD-0057,Face Mask Kit,Beauty,14,1233.52,0.19,13988.12
ITEM-000208,ORD-04704,PROD-0037,Bed Sheets,Home & Garden,18,1097.5,0.04,18964.8
ITEM-000209,ORD-04704,PROD-0081,Webcam HD Pro,Electronics,3,846.49,0.32,1726.84
ITEM-000210,ORD-04704,PROD-0132,Business Jacket Pro,Apparel,6,1511.13,0.03,8794.78
ITEM-000211,ORD-01076,PROD-0021,Running Shoes,Apparel,8,467.63,0.09,3404.35
ITEM-000212,ORD-01076,PROD-0038,Wall Art,Home & Garden,16,1162.29,0.23,14319.41
ITEM-000213,ORD-01076,PROD-0067,Design Thinking,Books,-7,866.02,0.12,8383.07
ITEM-000214,ORD-01076,PROD-0131,Design Thinking Pro,Books,8,880.31,0.01,6972.06
ITEM-000215,ORD-03150,PROD-0200,Data Analytics Guide Pro,Books,7,672.78,0.27,"$3,437.91"
ITEM-000216,ORD-03150,PROD-0049,Tennis Racket,Sports,10,64.18,0.08,590.46
ITEM-000217,ORD-03150,PROD-0127,Desk Lamp Pro,Home & Garden,16,50.58,1.42,582.68
ITEM-000218,ORD-00060,PROD-0010,Portable Charger,Electronics,-6,$334.02,0.19,3517.23
ITEM-000219,ORD-00060,PROD-0017,Design Software,Software,7,819.73,0.12,5049.54
ITEM-000220,ORD-01229,PROD-0175,Moisturiser SPF50 Pro,Beauty,10,1344.19,0.1,12097.71
ITEM-000221,ORD-01229,PROD-0122,Video Conferencing Pro,Software,2,2447.65,0.18,4014.15
ITEM-000222,ORD-01229,PROD-0169,Portable Charger Pro,Electronics,16,410.99,0.27,4800.36
ITEM-000223,ORD-01804,PROD-0057,Face Mask Kit,Beauty,7,1233.52,0.09,7857.52
ITEM-000224,ORD-01044,PROD-0120,Foam Roller Pro,SPORTS,19,3490.02,0.36,42438.64
ITEM-000225,ORD-01044,PROD-0199,Makeup Brush Set Pro,Beauty,13,3414.28,0.17,36840.08
ITEM-000226,ORD-01044,PROD-0179,Growth Hacking Pro,Books,9,"$1,274.57",0.35,7456.23
ITEM-000227,ORD-01044,PROD-0142,Cycling Helmet Pro,Sports,19,"$1,066.85",0.06,19053.94
ITEM-000228,ORD-02447,PROD-0058,Nail Polish Set,Beauty,2,372.61,0.17,618.53
ITEM-000229,ORD-02447,PROD-0075,Hot Sauce Bundle,Food and Beverage,17,1052.52,0.1,"$16,103.56"
ITEM-000230,ORD-02447,PROD-0131,Design Thinking Pro,Books,4,880.31,0.25,2640.93
ITEM-000231,ORD-02447,PROD-0032,Air Purifier,Home & Garden,12,2282.93,0.02,26847.26
ITEM-000232,ORD-03382,PROD-0024,Winter Coat,Apparel,4,1531.64,0.27,4472.39
ITEM-000233,ORD-03382,PROD-0113,Protein Powder v2,Sports,16,447.28,0.37,4508.58
ITEM-000234,ORD-03382,PROD-0176,Video Conferencing Pro,Softwre,15,2262.72,0.26,25116.19
ITEM-000235,ORD-01850,PROD-0105,Sunglasses Pro,Apparel,16,$814.10,0.18,10680.99
ITEM-000236,ORD-03007,PROD-0182,Coffee Maker Pro,Home & Garden,17,1789.99,0,30429.83
ITEM-000237,ORD-03007,PROD-0097,Hot Sauce Bundle Pro,Food & Beverage,12,1311.29,0.1,14161.93
ITEM-000238,ORD-02345,PROD-0052,Vitamin C Serum,Beauty,8,726.02,0.11,5169.26
ITEM-000239,ORD-02345,PROD-0120,Foam Roller Pro,Sports,5,3490.02,1.09,14134.58
ITEM-000240,ORD-02345,PROD-0009,Laptop Stand,electronics,16,43.95,0.39,428.95
ITEM-000241,ORD-02345,PROD-0194,Robot Vacuum Pro,Home & Garden,7,"$1,067.17",0.36,4780.92
ITEM-000242,ORD-00401,PROD-0075,Hot Sauce Bundle,Food & Beverage ,20,1052.52,0.15,17892.84
ITEM-000243,ORD-00401,PROD-0117,Running Shoes Pro,APPAREL,9,493.75,0.07,4132.69
ITEM-000244,ORD-01588,PROD-0002,Smart Watch,Electronics,18,1070.87,0.4,11565.4
ITEM-000245,ORD-00342,PROD-0031,Coffee Maker,Home & Garden,9,1966.81,0.1,"$15,931.16"
ITEM-000246,ORD-00342,PROD-0191,Garden Hose Pro,home & garden,1,338.86,0.04,325.31
ITEM-000247,ORD-00342,PROD-0111,Product Management v2,Books,14,$327.73,0.22,3578.81
ITEM-000248,ORD-00342,PROD-0155,CRM Platform Pro,Software,8,509.71,0.12,"$3,588.36"
ITEM-000249,ORD-04904,PROD-0057,Face Mask Kit,Beauty,14,1233.52,0.33,11570.42
ITEM-000250,ORD-04904,PROD-0020,Video Conferencing,Software,20,1857.53,0.38,23033.37
ITEM-000251,ORD-02313,PROD-0072,Protein Bars 12pk,Food & Beverage,2,1658.51,0.4,1990.21
ITEM-000252,ORD-02313,PROD-0178,Gym Bag Pro,Sports,5,229.12,0.25,859.2
ITEM-000253,ORD-02313,PROD-0007,Gaming Mouse,Electronics,3,1421.71,0.15,3625.36
ITEM-000254,ORD-02094,PROD-0099,Premium Coffee Beans Pro,Food & Beverage,9,424.25,0.32,2596.41
ITEM-000255,ORD-02094,PROD-0146,Design Software Pro,Software,11,723.98,0,7963.78
ITEM-000256,ORD-02310,PROD-0017,Design Software,Software,17,819.73,0.39,8500.6
ITEM-000257,ORD-02310,PROD-0162,Mechanical Keyboard Pro,Electronics,13,1226.74,0.24,12120.19
ITEM-000258,ORD-03235,PROD-0071,Premium Coffee Beans,Food & Beverage,1,332.96,0.17,276.36
ITEM-000259,ORD-02253,PROD-0100,Dark Chocolate Box Pro,Food & Beverage,5,594.75,0.03,2884.54
ITEM-000260,ORD-02253,PROD-0073,Green Tea Collection,F&B,13,482.3,0.09,"$5,705.61"
ITEM-000261,ORD-02253,PROD-0142,Cycling Helmet Pro,SPORTS,8,1066.85,0.03,8278.76
