order_id,customer_id,order_date,order_status,sales_channel,shipping_cost_USD,discount_pct,region,country
ORD-00100,CUST-0475,06/16/2024,Pending,Website,20.53,0.07,North America,Mexico
ORD-00101,CUST-0274,2021-10-25,Completed,Partner Portal,7.42,0.13,North America,Canada
ORD-00102,CUST-0180,2020-06-23,Completed,Marketplace,12.26,0.33,North America,Mexico
ORD-00103,CUST-0136,2023-01-26,Pending,Mobile App,11.11,0.34,Europe,Sweden
ORD-00104,CUST-0165,2022-06-22,Refunded,In-Store,$20.23,0.24,Europe,Germany
ORD-00105,CUST-0102,2024-09-10,Completed,Partner Portal,41.52,0.1,Latin America,Chile
ORD-00106,CUST-0361,2024-06-17,Refunded,,37.4,0.23,Latin America,Brazil
ORD-00107,CUST-0169,2023-03-19,COMPLETED,Website,43.85,0.34,Asia Pacific,South Korea
ORD-00108,CUST-0244,"December 8, 2022",completed,Phone,30.14,0.14,North America,Mexico
ORD-00109,CUST-0455,2024-12-13,Completed,Partner Portal,0.63,0.22,Asia Pacific,Australia
ORD-00110,CUST-0034,2021-02-02,Pending,Marketplace,27.13,0.15,Middle East,UAE
ORD-00111,CUST-0163,2021-09-22,Cancelled,Website,8.28,0.04,Apac,Singapore
ORD-00112,CUST-0136,2022-12-13,Refunded,Phone,$36.56,0.16,Europe,Sweden
ORD-00113,CUST-0416,30/06/2023,Completed,Partner Portal,$24.71,0.23,Middle East,Saudi Arabia
ORD-00114,CUST-0275,2021-07-28,Refunded,In-Store,$20.68,0.17,Africa,South Africa
ORD-00115,CUST-0078,2023-08-10,refunded,Mobile App,4.58,0,Europe,United Kingdom
ORD-00116,CUST-0466,2023-04-11,Refunded,Phone,34.09,0.17,Europe,Spain
ORD-00117,CUST-0348,2024-09-08,Refunded,In-Store,18.53,0.09,Middle East,UAE
ORD-00118,CUST-0447,2023-07-09,Refunded,Partner Portal,29.24,0.15,Middle East,UAE
ORD-00119,CUST-0222,06/25/2024,Refunded,Marketplace,35.72,0.15,Asia Pacific,India
ORD-00120,CUST-0216,9 April 2021,Pending,Mobile App,1.65,0.12,Africa,Kenya
ORD-00121,CUST-0174,2024-03-21,Cancelled,In-Store,28.47,0.11,Europe,Spain
ORD-00122,CUST-0261,2021-01-21,Completed,Marketplace,32.19,1.39,Africa,Ghana
ORD-00123,CUST-0455,2023-12-09,Refunded,Website,3.59,0.04,Asia Pacific,Australia
ORD-00124,CUST-0405,2020-05-26,Completed,Website,28.52,0.08,Asia Pacific,Japan
ORD-00125,CUST-0019,04/13/2021,Pending,,$11.31,1.16,Asia Pacific,India
ORD-00126,CUST-0113,2020-11-08,Completed,Mobile App,16.23,0.27,North America,United States
ORD-00127,CUST-0224,2022-12-22,refunded,In-Store,25.63,0.28,Europe,Germany
ORD-00128,CUST-0480,2020-03-23,Cancelled,Marketplace,11.58,0.11,North America,Canada
ORD-00129,CUST-0239,2020-06-13,Pending,Partner Portal,40.66,0.33,Africa,Kenya
ORD-00130,CUST-0214,18/03/2022,Completed,Website,13.44,0.21,Middle East,UAE
ORD-00131,CUST-0204,"August 29, 2023",Pending,Marketplace,25.73,0.34,Africa,South Africa
ORD-00132,CUST-0050,2023-09-30,Pending,Mobile App,23.06,0.13,Latin America,Chile
ORD-00133,CUST-0263,2023-09-28,Cancelled,In-Store,5.84,1.49,Asia Pacific,Singapore
ORD-00134,CUST-0149,12/30/2024,Completed,Mobile App,0.83,0.08,Europe,Germany
ORD-00135,CUST-0293,2023-03-25,Refunded,Marketplace,39.72,1.26,Europe,Spain
ORD-00136,CUST-0341,"February 21, 2023",Pending,Mobile App,29.53,0.15,Middle East,UAE
ORD-00137,CUST-0379,2020-06-09,Refunded,In-Store,9.22,0.1,Europe,United Kingdom
ORD-00138,CUST-0450,10/03/2022,Completed,Website,43.21,0.1,Europe,France
ORD-00139,CUST-0162,"July 25, 2022",Completed,Partner Portal,25.27,0.25,Middle East,Qatar
ORD-00140,CUST-0038,2024-07-11,Pending,In-Store,$3.39,0.33,Africa,South Africa
ORD-00141,CUST-0420,2024-02-03,Completed,,17.02,0.17,Europe,France
ORD-00142,CUST-0174,2021-05-27,Completed,In-Store,11.2,0.12,europe,Spain
ORD-00143,CUST-0122,"May 10, 2022",Completed,Partner Portal,33.63,0.15,Africa,Nigeria
ORD-00144,CUST-0064,23 April 2020,Completed,Mobile App,23.87,0,North America,Mexico
ORD-00145,CUST-0393,2023-05-19,Cancelled,Partner Portal,$16.63,0.34,Middle East,UAE
ORD-00146,CUST-0211,2022-06-20,COMPLETED,Marketplace,37.31,0.17,Middle East,UAE
ORD-00147,CUST-0016,2024-02-02,Completed,Marketplace,3.07,0.08,North America,Mexico
ORD-00148,CUST-0124,2024-06-04,Completed,Phone,$28.11,0.22,Latin America,Argentina
ORD-00149,CUST-0373,2023-01-18,Completed,In-Store,28.09,0.2,Europe,France
ORD-00150,CUST-0416,2024-07-08,Completed,Partner Portal,19.57,0.34,Middle East,Saudi Arabia
ORD-00151,CUST-0255,2022-05-09,Refunded,Partner Portal,25.88,0.16,African Region,Nigeria
ORD-00152,CUST-0075,"June 17, 2020",Completed,Mobile App,18.84,0.19,Africa,South Africa
ORD-00153,CUST-0480,2021-10-30,Cancelled,Phone,21.83,0.1,North America,Canada
ORD-00154,CUST-0067,2020-08-30,Completed,Partner Portal,13.69,0.15,Africa,Ghana
ORD-00155,CUST-0199,2022-11-17,Completed,Mobile App,15.1,0.08,Europe,United Kingdom
ORD-00156,CUST-0132,2024-12-06,Completed,Website,$4.04,0.33,Africa,South Africa
ORD-00157,CUST-0058,2020-07-11,Completed,Marketplace,15.31,0.31,Asia Pacific,South Korea
ORD-00158,CUST-0479,"February 29, 2020",Completed,Website,9.08,0.04,LATAM,Argentina
ORD-00159,CUST-0259,2022-03-25,Completed,Marketplace,12.13,0.13,North America,Mexico
ORD-00160,CUST-0218,2024-04-12,Pending,In-Store,0.74,0.11,Africa,South Africa
ORD-00161,CUST-0230,2024-11-29,Completed,In-Store,30.28,0.28,Latam,Colombia
ORD-00162,CUST-0446,2023-10-17,Refunded,Partner Portal,6.11,0.06,North America,Mexico
ORD-00163,CUST-0454,2024-04-30,Cancelled,Partner Portal,$39.84,0.32,Europe,Germany
ORD-00164,CUST-0265,2022-09-13,Completed,In-Store,31.26,0.34,North America,United States
ORD-00165,CUST-0037,2024-11-01,Completed,Website,29.25,1.27,North America,Mexico
ORD-00166,CUST-0012,2023-03-13,Refunded,Mobile App,24.24,0.13,Europe,Netherlands
ORD-00167,CUST-0004,2024-12-29,Refunded,Phone,10.45,0.06,Latin America,Colombia
ORD-00168,CUST-0153,2022-06-30,Completed,Marketplace,$21.80,0.09,NA Region,United States
ORD-00169,CUST-0335,2022-02-27,Completed,In-Store,24.13,0.27,Europe,Germany
ORD-00170,CUST-0058,2022-10-06,REFUNDED,Mobile App,24.96,0.22,APAC,South Korea
ORD-00171,CUST-0419,2022-01-22,Cancelled,In-Store,19.91,0.35,Africa,Ghana
ORD-00172,CUST-0219,2021-08-18,Completed,Mobile App,29.49,0.33,Asia Pacific,Australia
ORD-00173,CUST-0435,2021-11-03,Pending,Website,33.28,0.17,Asia Pacific,India
ORD-00174,CUST-0143,2023-05-10,Completed,In-Store,0.65,0.08,Europe,Spain
ORD-00175,CUST-0358,2021-05-27,Refunded,Website,8.99,0.02,Asia Pacific,India
ORD-00176,CUST-0157,2024-01-10,Completed,Phone,42.56,0.02,Latam,Chile
ORD-00177,CUST-0024,2024-10-03,Cancelled,Partner Portal,0.81,0.17,Africa,Nigeria
ORD-00178,CUST-0058,2023-08-28,Completed,Phone,23.14,0.13,Asia Pacific ,South Korea
ORD-00179,CUST-0437,2020-06-25,Cancelled,,42.4,0.19,North America,Canada
ORD-00180,CUST-0414,2021-10-06,completed,Website,24.27,0.24,NA Region,Canada
ORD-00181,CUST-0467,2021-12-18,Cancelled,Mobile App,15.12,0.11,Middle East,Qatar
ORD-00182,CUST-0300,2023-02-21,Refunded,In-Store,10.87,0.15,Africa,Nigeria
ORD-00183,CUST-0380,2023-07-30,Completed,Phone,29.22,0.12,Asia Pacific,Singapore
ORD-00184,CUST-0270,2023-12-30,Completed,Mobile App,14.2,0.2,Middle East,Qatar
ORD-00185,CUST-0317,2020-12-13,Refunded,Mobile App,43.51,0.3,ME,Qatar
ORD-00186,CUST-0364,2024-11-25,Refunded,Website,28.21,0.29,African Region,Nigeria
ORD-00187,CUST-0048,04/01/2021,Completed,Marketplace,34,0.11,North America,Canada
ORD-00188,CUST-0398,2024-04-09,Completed,,$42.12,0.11,Latin America,Brazil
ORD-00189,CUST-0302,2020-07-03,Refunded,Mobile App,44.81,0.05,Asia Pacific,Australia
ORD-00190,CUST-0269,2022-08-29,Completed,Phone,16.08,0.28,Africa,Ghana
ORD-00191,CUST-0313,2024-07-20,Pending,Phone,18.36,0.25,Africa,Kenya
ORD-00192,CUST-0465,2020-03-28,Completed,Phone,43.09,0.33,Asia Pacific,India
ORD-00193,CUST-0143,2023-01-17,Completed,In-Store,2.92,0.17,Europe,Spain
ORD-00194,CUST-0085,2020-04-16,Completed,Marketplace,$25.88,0.18,Middle East,UAE
ORD-00195,CUST-0029,2021-12-02,Cancelled,Partner Portal,6.21,0.02,Middle East,Saudi Arabia
ORD-00196,CUST-0099,2021-06-09,Completed,Partner Portal,34.57,0.24,Latin America,Chile
ORD-00197,CUST-0259,2020-07-03,Completed,Mobile App,43.09,0.12,N. America,Mexico
ORD-00198,CUST-0210,2020-07-12,COMPLETED,Website,$41.89,0.19,Europe,Germany
ORD-00199,CUST-0358,2024-08-21,Completed,Phone,40.88,0.3,Asia Pacific,India
ORD-00200,CUST-0327,2020-08-22,Cancelled,Mobile App,15.3,0.31,Middle East,Saudi Arabia
ORD-00201,CUST-0207,2022-06-08,Completed,Website,30.96,0.33,Europe,United Kingdom
ORD-00202,CUST-0375,2022-08-30,Cancelled,Marketplace,16.4,0.21,North America,United States
ORD-00203,CUST-0086,2021-10-28,Cancelled,Website,9.15,0.04,EUROPE,Spain
ORD-00204,CUST-0097,2021-01-14,Refunded,Mobile App,18.44,0,Europe,Netherlands
ORD-00205,CUST-0061,2022-02-03,Completed,Partner Portal,10.42,0.29,Africa,Ghana
ORD-00206,CUST-0022,06/23/2021,Completed,Mobile App,25.75,0.25,North America,United States
ORD-00207,CUST-0281,11 April 2024,completed,Website,25.09,0.1,Latin America,Colombia
ORD-00208,CUST-0040,2022-08-15,Completed,Phone,11.66,0.31,Asia Pacific,Singapore
ORD-00209,CUST-0421,2024-12-17,Refunded,Marketplace,$7.42,0.08,N. America,Canada
ORD-00210,CUST-0405,2020-02-23,Completed,Partner Portal,16.91,0.3,Asia Pacific,Japan
ORD-00211,CUST-0383,2021-02-24,Completed,Marketplace,25.87,0.04,africa,Ghana
ORD-00212,CUST-0103,2021-07-04,Completed,In-Store,29.28,0.07,North America,Canada
ORD-00213,CUST-0306,2024-06-11,Completed,Marketplace,39.31,0.3,Europe,Spain
ORD-00214,CUST-0254,"November 20, 2024",Cancelled,Phone,31.15,0.04,Asia Pacific,Singapore
ORD-00215,CUST-0042,2021-08-12,Pending,Mobile App,18.02,0.1,Africa,Kenya
ORD-00216,CUST-0162,2022-06-03,Pending,Partner Portal,$8.63,0.19,Middle East,Qatar
ORD-00217,CUST-0166,2024-12-20,Completed,Partner Portal,28.1,0.05,Latin America,Argentina
ORD-00218,CUST-0285,2020-01-07,Pending,Phone,$33.71,0.07,Middle East ,UAE
ORD-00219,CUST-0146,2022-11-04,Completed,Phone,15.62,0.31,Africa,Kenya
ORD-00220,CUST-0219,2022-10-31,Completed,Mobile App,$12.35,0.3,Asia-Pacific,Australia
ORD-00221,CUST-0398,2023-04-03,PENDING,Phone,35.72,0.19,Latin America,Brazil
ORD-00222,CUST-0322,2024-07-05,Cancelled,Website,30.59,0.28,African Region,Ghana
ORD-00223,CUST-0283,2023-05-15,Pending,Phone,5.51,0.17,Middle East,Saudi Arabia
ORD-00224,CUST-0267,2023-06-15,Pending,Marketplace,35.42,0.25,Europe,Netherlands
ORD-00225,CUST-0009,2023-10-30,Completed,In-Store,32.93,0.12,Europe,United Kingdom
ORD-00226,CUST-0266,2023-09-12,Completed,Marketplace,34.03,0.02,Asia Pacific,Japan
ORD-00227,CUST-0409,21 February 2020,Completed,In-Store,$29.84,0.12,North America,United States
ORD-00228,CUST-0055,2020-09-08,Completed,Mobile App,$27.97,0.03,north america,Canada
ORD-00229,CUST-0444,2020-01-22,Cancelled,Partner Portal,38.87,1.22,Asia Pacific,Singapore
ORD-00230,CUST-0383,2020-09-19,Completed,Partner Portal,15.3,0.06,Africa,Ghana
ORD-00231,CUST-0109,2023-03-28,Cancelled,Marketplace,29.72,0.17,Latin America,Chile
ORD-00232,CUST-0462,2021-10-13,completed,Marketplace,30.23,0.25,Middle East,Saudi Arabia
ORD-00233,CUST-0249,"July 24, 2024",Completed,Mobile App,6.22,0.16,Africa,Kenya
ORD-00234,CUST-0254,2021-03-31,Completed,Partner Portal,33.02,0.11,Asia Pacific,Singapore
ORD-00235,CUST-0259,2024-12-30,Completed,Phone,$0.73,0.27,North America,Mexico
ORD-00236,CUST-0411,17/06/2024,Completed,Marketplace,31.41,0.3,Asia Pacific,Singapore
ORD-00237,CUST-0108,2023-04-11,Refunded,Website,32.85,0.3,North America,United States
ORD-00238,CUST-0034,2023-07-17,Refunded,Marketplace,21.51,0.26,Middle East,UAE
ORD-00239,CUST-0055,03/10/2023,Completed,Partner Portal,12.76,0.16,North America,Canada
ORD-00240,CUST-0248,2020-09-18,Completed,Website,$33.65,0.32,Europe,Netherlands
ORD-00241,CUST-0246,2020-02-22,Pending,In-Store,9.25,0.09,Asia Pacific,Singapore
ORD-00242,CUST-0083,2024-05-05,Completed,Mobile App,1.5,0.29,latin america,Argentina
ORD-00243,CUST-0315,09/09/2023,Completed,Partner Portal,28.75,0.35,africa,Nigeria
ORD-00244,CUST-0310,2022-04-23,Refunded,Partner Portal,17.19,0,Latin America,Chile
ORD-00245,CUST-0402,2020-03-18,Refunded,Phone,$15.23,0.32,Africa,Nigeria
ORD-00246,CUST-0112,2020-07-17,Completed,In-Store,25.88,0.28,Africa,Kenya
ORD-00247,CUST-0193,2023-10-20,Pending,Phone,23.6,0.34,North America,Canada
ORD-00248,CUST-0431,2021-03-28,Refunded,In-Store,0.3,0.07,Apac,Singapore
ORD-00249,CUST-0325,2023-04-11,Completed,,35.16,0.19,Latin America,Chile
ORD-00250,CUST-0157,2020-02-26,Cancelled,,2.97,1.31,Latin America,Chile
ORD-00251,CUST-0393,2023-08-29,cancelled,Marketplace,$2.15,0.31,Middle East,UAE
ORD-00252,CUST-0061,2022-07-08,Refunded,Marketplace,33.37,0.18,Africa,Ghana
ORD-00253,CUST-0188,18 June 2022,Completed,Mobile App,29.1,0.23,Africa ,South Africa
ORD-00254,CUST-0119,2020-09-05,completed,Phone,28.99,0.05,North America,Canada
ORD-00255,CUST-0326,2023-08-27,Completed,In-Store,28.44,0.03,Europe,Netherlands
ORD-00256,CUST-0469,"September 1, 2020",Completed,Marketplace,1.85,0.11,Africa,Nigeria
ORD-00257,CUST-0045,2021-02-19,Completed,,19.8,0.34,Latin America,Colombia
ORD-00258,CUST-0090,2024-06-27,Completed,Phone,17.8,0.28,Asia Pacific,India
ORD-00259,CUST-0134,2024-12-31,Completed,In-Store,13.57,0.25,North America,United States
ORD-00260,CUST-0076,2024-06-04,Cancelled,In-Store,44.24,0.04,Africa,Ghana
ORD-00261,CUST-0134,2023-11-01,Completed,Mobile App,$2.87,0.15,North America,United States
ORD-00262,CUST-0352,2023-08-16,Completed,Phone,41.18,0.31,Europe,France
ORD-00263,CUST-0139,2021-04-10,Completed,In-Store,11.44,0.18,Europe,Netherlands
ORD-00264,CUST-0324,2024-11-30,Completed,Partner Portal,$38.74,0.03,Europe ,United Kingdom
ORD-00265,CUST-0190,2022-07-30,Cancelled,Marketplace,40.16,0.27,Africa,South Africa
ORD-00266,CUST-0302,17 January 2024,Pending,Website,22.5,0.18,Asia Pacific,Australia
ORD-00267,CUST-0245,2022-07-09,Cancelled,In-Store,$34.69,0.03,Europe,Sweden
ORD-00268,CUST-0259,2022-01-13,Cancelled,Marketplace,3.68,0.29,North America,Mexico
ORD-00269,CUST-0331,2024-05-19,Cancelled,Website,29.65,0.27,Africa ,Kenya
ORD-00270,CUST-0186,2022-10-23,Completed,Mobile App,$21.68,0.29,Asia Pacific,Singapore
ORD-00271,CUST-0298,2024-04-24,Cancelled,Marketplace,28.39,0.19,Africa ,South Africa
ORD-00272,CUST-0370,2022-06-23,COMPLETED,,25.76,0.26,North America,United States
ORD-00273,CUST-0372,2021-02-25,Refunded,Marketplace,39.29,0.26,Latin America,Chile
ORD-00274,CUST-0432,2022-03-15,Cancelled,Mobile App,22.36,0.13,North America,United States
ORD-00275,CUST-0343,13 December 2022,Refunded,Marketplace,$14.43,0.15,Europe,France
ORD-00276,CUST-0057,2020-09-28,Pending,In-Store,35.46,0.16,africa,Ghana
ORD-00277,CUST-0022,2020-07-31,completed,Marketplace,6.25,0.27,North America,United States
ORD-00278,CUST-0395,2023-08-14,Completed,Website,37.73,0.16,middle east,Qatar
ORD-00279,CUST-0180,2024-01-11,Cancelled,Marketplace,3.01,0.1,North America,Mexico
ORD-00280,CUST-0463,2023-07-03,Completed,In-Store,21.39,0.1,Africa,South Africa
ORD-00281,CUST-0324,2020-01-30,Refunded,Mobile App,36.72,0.02,Europe,United Kingdom
ORD-00282,CUST-0395,2023-01-28,completed,Mobile App,42.54,0.34,Middle East,Qatar
ORD-00283,CUST-0337,03/03/2021,Refunded,Mobile App,42.55,0.18,Middle East,UAE
ORD-00284,CUST-0375,2024-01-21,Cancelled,Mobile App,$31.15,0.28,North America,United States
ORD-00285,CUST-0144,2020-06-26,Cancelled,Partner Portal,38.38,0.09,Asia Pacific,Japan
ORD-00286,CUST-0039,2021-11-14,Refunded,Phone,33.91,0.14,North America,Mexico
ORD-00287,CUST-0329,2024-11-11,Refunded,Mobile App,18.35,0.3,Latin America,Colombia
