return_id,order_id,return_date,return_reason,refund_amount_USD,return_status
RET-0155,ORD-01318,2020-03-05,Changed mind,486.2,Pending
RET-0156,ORD-00704,04/05/2020,Better price elsewhere,349.08,Rejected
RET-0157,ORD-01435,2020-06-28,Damaged in shipping,659.62,Processed
RET-0158,ORD-01691,2023-12-14,Changed mind,$237.80,Processed
RET-0159,ORD-00330,2023-01-07,Product not as described,328.54,Pending
RET-0160,ORD-03426,2023-09-06,Defective product,$646.25,Rejected
RET-0161,ORD-03469,2022-01-23,Duplicate order,252.29,Processed
RET-0162,ORD-04871,2024-05-03,Quality issues,432.65,Pending
RET-0163,ORD-03501,2023-03-12,Defective product,762.01,Rejected
RET-0164,ORD-00748,2023-02-19,Defective product,369.37,Pending
RET-0165,ORD-04903,2020-09-01,Quality issues,$286.98,Rejected
RET-0166,ORD-02711,2022-12-07,Duplicate order,480.12,Processed
RET-0167,ORD-00047,2020-04-17,Wrong item received,18.68,Rejected
RET-0168,ORD-02967,2021-03-05,Changed mind,752.35,Pending
RET-0169,ORD-00903,2022-03-21,Changed mind,605.39,Processed
RET-0170,ORD-04058,2020-08-12,,606.46,Pending
RET-0171,ORD-04446,2022-08-26,Product not as described,262.29,Processed
RET-0172,ORD-02420,2023-01-22,Damaged in shipping,795.06,Pending
RET-0173,ORD-04120,15/02/2023,Changed mind,103.77,Rejected
RET-0174,ORD-04223,2024-01-15,Wrong item received,487.91,Pending
RET-0175,ORD-00143,"June 26, 2020",Damaged in shipping,$760.16,Processed
RET-0176,ORD-04735,07/10/2022,Quality issues,342.56,Rejected
RET-0177,ORD-00728,2024-07-02,Quality issues,129.53,Pending
RET-0178,ORD-00329,2020-06-13,,$456.48,Processed
RET-0179,ORD-02670,2023-09-19,Better price elsewhere,290.19,Rejected
RET-0180,ORD-01455,2023-10-24,Better price elsewhere,45.03,Rejected
RET-0181,ORD-02377,2020-06-07,Duplicate order,$546.06,Processed
RET-0182,ORD-02022,2023-04-05,Duplicate order,545.68,Rejected
RET-0183,ORD-00931,2023-04-10,Better price elsewhere,$291.21,Processed
RET-0184,ORD-02673,2023-08-27,Changed mind,781.62,Rejected
RET-0185,ORD-00316,2021-10-25,,129.3,Pending
RET-0186,ORD-02366,2021-10-13,,294.65,Pending
RET-0187,ORD-00277,2021-04-03,Quality issues,334.65,Rejected
RET-0188,ORD-03647,2021-10-29,Defective product,19.74,Pending
RET-0189,ORD-04377,2021-08-15,,529.54,Pending
RET-0190,ORD-01555,25 March 2020,Damaged in shipping,213.22,Rejected
RET-0191,ORD-01406,3 February 2022,Better price elsewhere,403.88,Processed
RET-0192,ORD-04827,2023-06-28,,773.02,Rejected
RET-0193,ORD-02670,2023-05-03,Damaged in shipping,195.23,Rejected
RET-0194,ORD-01156,13 September 2022,Product not as described,326.17,Pending
RET-0195,ORD-01831,31/12/2022,,548.91,Processed
RET-0196,ORD-05189,2021-01-05,Quality issues,170.58,Rejected
RET-0197,ORD-00096,25 April 2020,Product not as described,571.17,Processed
RET-0198,ORD-02016,2023-06-18,Damaged in shipping,134.94,Rejected
RET-0199,ORD-02050,30/03/2022,,301.44,Processed
RET-0200,ORD-01148,05/16/2021,Product not as described,231.41,Rejected
RET-0201,ORD-00338,04/23/2020,Changed mind,$746.26,Pending
RET-0202,ORD-00490,2021-08-17,Changed mind,462.14,Pending
RET-0203,ORD-04443,2023-08-26,Product not as described,647.2,Pending
RET-0204,ORD-05014,2024-05-03,Wrong item received,528.21,Rejected
RET-0205,ORD-03881,2021-12-27,Better price elsewhere,402.75,Pending
RET-0206,ORD-00030,2024-11-07,Wrong item received,$444.62,Pending
RET-0207,ORD-01499,2022-02-27,Better price elsewhere,583.01,Rejected
RET-0208,ORD-05080,2023-04-18,Quality issues,256.41,Pending
RET-0209,ORD-02271,2021-09-23,Defective product,465.77,Processed
RET-0210,ORD-00808,2023-12-25,Quality issues,181.56,Rejected
RET-0211,ORD-03611,2024-04-23,,438.19,Rejected
RET-0212,ORD-03433,2024-08-13,Wrong item received,46.98,Processed
RET-0213,ORD-01756,09/01/2023,Damaged in shipping,291.48,Rejected
RET-0214,ORD-04381,2024-01-24,Quality issues,630.25,Processed
RET-0215,ORD-02490,2024-07-15,Damaged in shipping,195.59,Pending
RET-0216,ORD-04280,2020-05-21,Changed mind,671.72,Pending
RET-0217,ORD-04017,2024-02-29,Quality issues,280.93,Processed
RET-0218,ORD-04015,2024-02-20,Damaged in shipping,797.91,Processed
RET-0219,ORD-03897,2020-11-02,Duplicate order,$582.81,Pending
RET-0220,ORD-03367,2023-06-14,Duplicate order,712.78,Rejected
RET-0221,ORD-01020,2021-07-22,Damaged in shipping,$696.21,Rejected
RET-0222,ORD-02169,2020-09-20,Wrong item received,356.88,Pending
RET-0223,ORD-02387,11/02/2021,Changed mind,643.82,Pending
RET-0224,ORD-05071,17 December 2020,Damaged in shipping,767.49,Processed
RET-0225,ORD-01171,2021-04-01,Damaged in shipping,281.89,Pending
RET-0226,ORD-03463,2024-11-05,Defective product,232.95,Rejected
RET-0227,ORD-02941,2021-09-15,Better price elsewhere,35.19,Processed
RET-0228,ORD-02256,2021-07-14,Wrong item received,631.55,Rejected
RET-0229,ORD-00755,2024-03-15,Quality issues,565.32,Rejected
RET-0230,ORD-01436,2023-01-27,Defective product,77.2,Pending
RET-0231,ORD-02591,2024-08-19,Wrong item received,657.29,Rejected
RET-0232,ORD-05138,26 October 2022,Damaged in shipping,68.41,Pending
RET-0233,ORD-00584,2023-05-14,Changed mind,136.8,Pending
RET-0234,ORD-05094,"February 12, 2021",Quality issues,790.11,Processed
RET-0235,ORD-04312,2021-07-28,Quality issues,741.86,Pending
RET-0236,ORD-03540,2024-06-13,Duplicate order,451.06,Rejected
RET-0237,ORD-03474,2021-04-19,Wrong item received,736.36,Processed
RET-0238,ORD-04818,2021-08-14,Better price elsewhere,743.54,Rejected
RET-0239,ORD-01436,2020-03-19,Wrong item received,$191.95,Rejected
RET-0240,ORD-05034,2021-08-05,Quality issues,209.4,Pending
RET-0241,ORD-02603,13/08/2023,Quality issues,513.98,Rejected
RET-0242,ORD-04862,2022-04-24,Defective product,443.64,Pending
RET-0243,ORD-01859,06/27/2021,Defective product,216.68,Processed
RET-0244,ORD-00947,23 July 2020,Defective product,593.39,Pending
RET-0245,ORD-02238,2021-09-20,Changed mind,301.67,Pending
RET-0246,ORD-02254,2020-04-08,Wrong item received,162.94,Processed
RET-0247,ORD-03870,2020-05-19,Duplicate order,370.68,Processed
RET-0248,ORD-03564,13/06/2021,Better price elsewhere,658.09,Pending
RET-0249,ORD-04200,2023-03-06,,154.68,Processed
RET-0250,ORD-00408,2023-08-13,Defective product,$233.40,Processed
RET-0251,ORD-05143,2020-06-08,Duplicate order,369.06,Processed
RET-0252,ORD-03958,2020-10-25,Better price elsewhere,477.2,Rejected
RET-0253,ORD-03312,2023-11-24,,314.47,Pending
RET-0254,ORD-00740,2020-09-12,,202.54,Processed
RET-0255,ORD-01010,2023-11-29,Better price elsewhere,744.23,Rejected
RET-0256,ORD-02169,"July 12, 2020",Defective product,796.3,Rejected
RET-0257,ORD-02957,30 June 2020,Defective product,247.16,Processed
RET-0258,ORD-04477,2020-08-01,Changed mind,258.36,Rejected
RET-0259,ORD-00083,2023-04-02,Damaged in shipping,214.86,Processed
RET-0260,ORD-03492,2022-03-12,Changed mind,$769.19,Pending
RET-0261,ORD-01586,2024-11-10,Duplicate order,239.16,Rejected
RET-0262,ORD-03109,12/22/2020,Quality issues,712.71,Rejected
RET-0263,ORD-04989,21 June 2024,Wrong item received,20.29,Processed
RET-0264,ORD-05179,2022-10-11,Damaged in shipping,296.11,Pending
RET-0265,ORD-02254,2022-07-13,Defective product,72.59,Processed
RET-0266,ORD-01338,2021-03-08,Product not as described,381.85,Processed
RET-0267,ORD-04357,"July 10, 2020",Defective product,572.44,Processed
RET-0268,ORD-05193,12/14/2024,Duplicate order,646.29,Pending
RET-0269,ORD-02502,2021-03-17,Damaged in shipping,556.6,Processed
RET-0270,ORD-03970,2023-05-08,Duplicate order,72.02,Pending
RET-0271,ORD-00310,11/02/2022,Changed mind,539.79,Processed
RET-0272,ORD-04211,2024-01-04,Changed mind,331.49,Rejected
RET-0273,ORD-02918,"May 26, 2024",,$242.45,Pending
RET-0274,ORD-04936,2024-03-12,Defective product,580.17,Processed
RET-0275,ORD-01661,2022-11-17,Changed mind,624.64,Pending
RET-0276,ORD-04574,"September 17, 2021",Defective product,731.02,Pending
RET-0277,ORD-00174,2023-09-19,,470.83,Rejected
RET-0278,ORD-02280,2023-10-13,Damaged in shipping,121.98,Rejected
RET-0279,ORD-01213,2022-05-17,Better price elsewhere,647.29,Pending
RET-0280,ORD-03933,2022-09-26,Damaged in shipping,357.35,Processed
RET-0281,ORD-04926,2021-08-13,Better price elsewhere,762.79,Rejected
RET-0282,ORD-00396,2023-11-27,Product not as described,70.98,Processed
RET-0283,ORD-01788,"September 10, 2020",Better price elsewhere,369.36,Processed
RET-0284,ORD-03477,2020-08-01,Defective product,$439.27,Rejected
RET-0285,ORD-05175,2023-04-16,Changed mind,630.79,Pending
RET-0286,ORD-02167,2020-08-01,,$262.88,Rejected
RET-0287,ORD-04307,2022-09-20,Duplicate order,66.97,Processed
RET-0288,ORD-03047,20/04/2022,,19.48,Rejected
RET-0289,ORD-01179,2020-09-20,Duplicate order,241.28,Pending
RET-0290,ORD-04616,2022-10-27,Better price elsewhere,97.99,Processed
RET-0291,ORD-03514,2024-12-22,Changed mind,$521.78,Pending
RET-0292,ORD-02853,21 November 2022,Better price elsewhere,371.93,Pending
RET-0293,ORD-05167,2024-11-03,Product not as described,160.06,Pending
RET-0294,ORD-01584,2022-07-01,Defective product,771,Pending
RET-0295,ORD-02698,2021-08-29,Wrong item received,$340.18,Pending
RET-0296,ORD-01425,2023-10-15,Wrong item received,356.61,Pending
RET-0297,ORD-03652,2020-03-26,Defective product,591.89,Pending
RET-0298,ORD-00440,2023-08-16,Defective product,581.21,Pending
RET-0299,ORD-02221,26/03/2023,Damaged in shipping,798.6,Pending
RET-0300,ORD-00785,"January 1, 2023",Defective product,469.45,Processed
RET-0301,ORD-00168,2022-09-16,Duplicate order,$134.48,Pending
RET-0302,ORD-00954,2021-11-26,Duplicate order,337.15,Processed
RET-0303,ORD-04997,2024-05-03,Wrong item received,356.01,Rejected
RET-0304,ORD-02830,2020-12-27,Defective product,316.01,Pending
RET-0305,ORD-03502,2024-12-30,Wrong item received,30.89,Rejected
RET-0306,ORD-05184,2021-06-09,,$49.34,Pending
RET-0307,ORD-03779,2024-05-28,,359.89,Rejected
RET-0308,ORD-04587,10/28/2024,,$228.11,Processed
RET-0309,ORD-03242,2022-06-03,Duplicate order,443.25,Pending
RET-0310,ORD-03419,24 November 2024,Better price elsewhere,232.64,Rejected
RET-0311,ORD-01721,2020-09-03,Damaged in shipping,$255.03,Processed
RET-0312,ORD-03180,2020-04-05,Better price elsewhere,434.42,Rejected
RET-0313,ORD-03361,2024-01-06,Wrong item received,87.77,Processed
RET-0314,ORD-01324,09/08/2020,Product not as described,368.9,Rejected
RET-0315,ORD-01291,2023-11-11,,688.12,Pending
RET-0316,ORD-02932,2024-09-13,Quality issues,697.4,Rejected
RET-0317,ORD-04754,"November 8, 2022",Wrong item received,344.95,Rejected
RET-0318,ORD-02127,2021-02-05,Changed mind,$380.10,Processed
RET-0319,ORD-01953,2020-12-24,Product not as described,750.74,Rejected
RET-0320,ORD-00107,2021-03-29,Damaged in shipping,543.42,Rejected
RET-0321,ORD-04904,2022-03-04,Changed mind,603.64,Rejected
RET-0322,ORD-05070,2023-11-27,,157.62,Pending
RET-0323,ORD-03877,24/10/2022,Damaged in shipping,$196.30,Pending
RET-0324,ORD-03251,2024-07-27,Duplicate order,227.75,Processed
RET-0325,ORD-02782,2022-03-31,Duplicate order,130.79,Rejected
RET-0326,ORD-02803,2020-05-19,Changed mind,114.01,Rejected
RET-0327,ORD-01954,2022-01-09,Quality issues,$687.52,Rejected
RET-0328,ORD-00769,2022-11-07,Defective product,53.29,Rejected
RET-0329,ORD-04462,07/01/2024,Wrong item received,769.14,Rejected
RET-0330,ORD-04790,2022-09-11,Duplicate order,421.15,Rejected
RET-0331,ORD-04248,2021-12-30,Defective product,699.8,Pending
RET-0332,ORD-01114,2023-01-30,Duplicate order,245.37,Rejected
RET-0333,ORD-03021,2022-07-16,Duplicate order,497.58,Rejected
RET-0334,ORD-02870,2024-09-18,Better price elsewhere,$470.11,Rejected
RET-0335,ORD-00862,2021-07-17,,85.65,Processed
RET-0336,ORD-00240,2022-09-21,Better price elsewhere,708.25,Processed
RET-0337,ORD-03317,2020-03-12,Defective product,$716.93,Pending
RET-0338,ORD-02626,01/11/2024,Changed mind,346.86,Pending
RET-0339,ORD-04591,2020-04-22,Better price elsewhere,$200.66,Pending
RET-0340,ORD-02787,2024-08-24,Product not as described,441.44,Pending
RET-0341,ORD-00108,2023-05-28,Duplicate order,704.43,Processed
RET-0342,ORD-00180,2024-10-05,Damaged in shipping,26.89,Rejected
RET-0343,ORD-01286,"January 19, 2024",Product not as described,145.57,Rejected
RET-0344,ORD-03991,2022-02-06,Damaged in shipping,794.34,Pending
RET-0345,ORD-00645,2023-07-17,Quality issues,22.24,Pending
RET-0346,ORD-02432,12/10/2021,Duplicate order,64.6,Rejected
RET-0347,ORD-03120,27 January 2022,,229.24,Pending
RET-0348,ORD-02291,2023-12-27,Product not as described,199.88,Pending
RET-0349,ORD-02196,2022-11-19,Damaged in shipping,448.38,Rejected
RET-0350,ORD-00564,2020-05-05,Wrong item received,341.67,Rejected
RET-0351,ORD-01149,2022-04-07,Changed mind,546.56,Processed
RET-0352,ORD-00789,2020-03-07,Defective product,$332.78,Rejected
RET-0353,ORD-01574,15 March 2021,Defective product,$712.32,Processed
RET-0354,ORD-05062,2022-01-19,Better price elsewhere,733.24,Pending
RET-0355,ORD-01403,2023-05-25,Changed mind,$591.86,Rejected
RET-0356,ORD-03731,2023-01-20,Product not as described,10.74,Processed
RET-0357,ORD-04931,2021-01-17,Duplicate order,186.58,Rejected
RET-0358,ORD-01647,2023-08-27,Better price elsewhere,762,Processed
RET-0359,ORD-05191,2022-04-14,Better price elsewhere,518.64,Processed
RET-0360,ORD-04852,2020-11-05,Wrong item received,76.81,Processed
RET-0361,ORD-01687,"January 14, 2024",Damaged in shipping,678.34,Pending
RET-0362,ORD-01602,2020-11-02,Damaged in shipping,573.34,Pending
RET-0363,ORD-04644,2020-06-14,Defective product,$352.58,Processed
RET-0364,ORD-02367,2023-05-13,Damaged in shipping,798.49,Rejected
RET-0365,ORD-04276,2024-03-28,Product not as described,233.87,Pending
RET-0366,ORD-00228,2021-05-05,,323.48,Processed
RET-0367,ORD-05193,2020-08-25,Wrong item received,$408.86,Rejected
RET-0368,ORD-04907,2021-06-27,Better price elsewhere,654.55,Rejected
RET-0369,ORD-02844,2022-08-31,Duplicate order,290.45,Rejected
RET-0370,ORD-04394,12/23/2024,Product not as described,96.33,Processed
RET-0371,ORD-01868,2024-08-12,Product not as described,454.26,Processed
RET-0372,ORD-01497,2023-02-21,Wrong item received,462.5,Rejected
RET-0373,ORD-03716,2021-02-08,Changed mind,133.92,Processed
RET-0374,ORD-01355,21/01/2021,Defective product,189.8,Processed
RET-0375,ORD-03870,2023-09-25,Product not as described,450.39,Pending
RET-0376,ORD-00719,2020-10-22,Defective product,758.39,Pending
RET-0377,ORD-02193,2021-11-14,Better price elsewhere,$372.04,Rejected
RET-0378,ORD-01909,2023-01-05,Quality issues,496.86,Pending
RET-0379,ORD-01491,2023-11-04,Defective product,180.6,Rejected
RET-0380,ORD-00409,14/02/2021,Better price elsewhere,244.11,Rejected
RET-0381,ORD-04157,09/10/2023,Better price elsewhere,734.15,Rejected
RET-0382,ORD-01121,12/07/2022,Better price elsewhere,120.39,Rejected
RET-0383,ORD-03500,2023-03-02,,788.79,Rejected
RET-0384,ORD-03079,30 April 2022,Defective product,689.32,Rejected
RET-0385,ORD-03275,2021-06-28,Damaged in shipping,127.64,Rejected
RET-0386,ORD-02166,"October 20, 2024",Changed mind,144.18,Pending
RET-0387,ORD-02539,2024-10-25,Better price elsewhere,500.37,Rejected
RET-0388,ORD-04770,2023-03-13,Product not as described,139.01,Pending
RET-0389,ORD-00085,2023-10-15,Better price elsewhere,728.29,Rejected
RET-0390,ORD-03284,2022-10-10,Damaged in shipping,399.08,Pending
RET-0391,ORD-03839,2023-10-23,Better price elsewhere,722.7,Processed
RET-0392,ORD-04902,3 June 2022,Damaged in shipping,762.46,Processed
RET-0393,ORD-04430,2024-02-14,Wrong item received,$443.81,Processed
RET-0394,ORD-03135,2021-08-27,Product not as described,166.95,Rejected
RET-0395,ORD-03313,2021-07-23,Wrong item received,365.76,Pending
RET-0396,ORD-04562,2022-03-19,Better price elsewhere,477.9,Rejected
RET-0397,ORD-05065,2020-10-23,Damaged in shipping,562.93,Processed
RET-0398,ORD-03761,10/09/2021,Better price elsewhere,177.45,Pending
