subscription_id,customer_id,plan_name,monthly_fee_USD,subscription_start,subscription_end,derived_tenure_months,total_revenue_USD,subscription_status,cancellation_reason,payment_method
SUB-0020,CUST-0018,Enterprise,499,2023-05-05,2024-01-17,8,4192,Cancelled,Switched to competitor,Bank Transfer
SUB-0021,CUST-0019,Professional,79,2023-11-10,2024-05-13,6,482,Cancelled,Switched to competitor,PayPal
SUB-0022,CUST-0019,Starter,29,2021-08-10,2023-05-18,21,615,Cancelled,Found alternative,Credit Card
SUB-0023,CUST-0020,Enterprise,499,2021-05-02,2026-04-21,59,29740,Active,Unknown,Credit Card
SUB-0024,CUST-0021,Business,199,2019-05-13,2025-01-25,68,13632,Active,Unknown,Crypto
SUB-0025,CUST-0022,Enterprise,499,2023-11-16,2024-05-22,6,3094,Cancelled,Budget cuts,Credit Card
SUB-0026,CUST-0023,Starter,29,2022-12-27,2023-08-02,8,209,Cancelled,No longer needed,Credit Card
SUB-0027,CUST-0024,Business,199,2020-08-17,2022-01-25,17,3443,Cancelled,Found alternative,Bank Transfer
SUB-0028,CUST-0025,Starter,29,2022-12-24,2025-12-19,36,1038,Active,Unknown,Bank Transfer
SUB-0029,CUST-0026,Professional,79,2022-04-27,2022-10-21,6,458,Cancelled,No longer needed,Credit Card
SUB-0030,CUST-0027,Business,199,2023-05-12,2024-01-08,8,1572,Cancelled,Switched to competitor,Credit Card
SUB-0031,CUST-0028,Business,199,2020-01-31,2026-05-24,76,15064,Active,Unknown,Credit Card
SUB-0032,CUST-0029,Professional,79,2020-06-07,2024-10-11,52,4116,Active,Unknown,Crypto
SUB-0033,CUST-0030,Enterprise,499,2020-03-14,2022-08-09,29,14371,Cancelled,Company closure,PayPal
SUB-0034,CUST-0031,Enterprise,499,2022-06-11,2022-08-01,2,848,Cancelled,Found alternative,Bank Transfer
SUB-0035,CUST-0032,Professional,79,2021-06-08,2022-04-12,10,798,Cancelled,Found alternative,Crypto
SUB-0036,CUST-0033,Starter,29,2022-02-21,2026-05-24,51,1479,Active,Unknown,Bank Transfer
SUB-0037,CUST-0034,Business,199,2023-09-27,2024-02-08,5,876,Cancelled,Budget cuts,PayPal
SUB-0038,CUST-0035,Professional,79,2019-02-23,2024-07-30,65,5151,Active,Unknown,Credit Card
SUB-0039,CUST-0036,Business,199,2021-05-17,2023-11-08,30,5910,Cancelled,Found alternative,Crypto
SUB-0040,CUST-0037,Starter,29,2021-06-13,2023-05-06,23,658,Cancelled,Missing features,Credit Card
SUB-0041,CUST-0038,Business,199,2022-07-26,2024-12-27,29,5791,Active,Unknown,Credit Card
SUB-0042,CUST-0039,Business,199,2021-03-26,2025-01-01,46,8995,Active,Unknown,Crypto
SUB-0043,CUST-0040,Starter,29,2020-04-02,2026-01-04,69,2004,Active,Unknown,PayPal
SUB-0044,CUST-0041,Enterprise,499,2023-09-19,2025-01-13,16,7884,Active,Unknown,PayPal
SUB-0045,CUST-0042,Enterprise,499,2021-08-17,2023-09-14,25,12425,Cancelled,Company closure,Crypto
SUB-0046,CUST-0043,Enterprise,499,2021-10-21,2023-06-09,20,9780,Cancelled,Budget cuts,Bank Transfer
SUB-0047,CUST-0044,Starter,29,2019-03-10,2021-03-06,24,693,Cancelled,No longer needed,Bank Transfer
SUB-0048,CUST-0045,Professional,79,2019-05-11,2023-12-20,55,4369,Cancelled,Too expensive,Crypto
SUB-0049,CUST-0046,Starter,29,2021-01-04,2022-01-19,12,363,Cancelled,Too expensive,Bank Transfer
SUB-0050,CUST-0047,Enterprise,499,2020-03-11,2023-07-07,40,19860,Cancelled,Company closure,PayPal
SUB-0051,CUST-0048,Business,199,2020-09-29,2023-02-18,29,5691,Cancelled,Company closure,Bank Transfer
SUB-0052,CUST-0049,Professional,79,2022-02-28,2023-04-29,14,1106,Cancelled,Missing features,Crypto
SUB-0053,CUST-0049,Starter,29,2019-08-02,2021-06-15,22,650,Cancelled,No longer needed,Credit Card
SUB-0054,CUST-0050,Enterprise,499,2019-04-20,2020-04-25,12,6088,Cancelled,Budget cuts,Credit Card
SUB-0055,CUST-0051,Starter,29,2023-12-06,2024-06-22,6,189,Active,Unknown,Bank Transfer
SUB-0056,CUST-0052,Starter,29,2021-06-19,2023-08-22,26,757,Cancelled,Budget cuts,Bank Transfer
SUB-0057,CUST-0053,Business,199,2020-12-20,2021-03-28,3,637,Cancelled,Found alternative,Bank Transfer
SUB-0058,CUST-0054,Enterprise,499,2022-12-11,2024-01-24,13,6687,Cancelled,Company closure,Crypto
SUB-0059,CUST-0055,Enterprise,499,2022-01-10,2024-03-14,26,13024,Cancelled,Missing features,PayPal
SUB-0060,CUST-0056,Professional,79,2020-05-31,2022-12-08,31,2086,Cancelled,Poor support,Bank Transfer
SUB-0061,CUST-0057,Starter,29,2023-08-06,2023-12-31,4,197,Cancelled,Budget cuts,PayPal
SUB-0062,CUST-0058,Enterprise,499,2022-02-20,2022-06-29,4,2096,Cancelled,Poor support,Credit Card
SUB-0063,CUST-0059,Enterprise,499,2019-12-25,2023-02-10,38,18713,Cancelled,Poor support,Crypto
SUB-0064,CUST-0060,Starter,29,2023-11-04,2024-05-21,6,189,Cancelled,Company closure,Crypto
SUB-0065,CUST-0061,Enterprise,499,2022-06-11,2023-05-04,11,5339,Cancelled,Too expensive,Credit Card
SUB-0066,CUST-0062,Business,199,2020-08-26,2021-06-21,10,1950,Cancelled,Too expensive,Bank Transfer
SUB-0067,CUST-0063,Enterprise,499,2020-11-16,2022-09-18,22,10978,Cancelled,Company closure,Credit Card
SUB-0068,CUST-0064,Enterprise,499,2023-11-23,2024-04-20,5,2445,Cancelled,Found alternative,Credit Card
SUB-0069,CUST-0065,Professional,79,2023-07-31,2025-02-14,19,1462,Active,Unknown,Bank Transfer
SUB-0070,CUST-0066,Enterprise,499,2023-09-23,2024-02-27,5,2595,Cancelled,Missing features,PayPal
SUB-0071,CUST-0067,Professional,79,2021-03-31,2025-04-25,49,3855,Active,Unknown,Crypto
SUB-0072,CUST-0068,Professional,79,2023-05-21,2023-12-07,7,521,Cancelled,Poor support,Crypto
SUB-0073,CUST-0069,Enterprise,499,2023-11-10,2024-08-01,9,4341,Active,Unknown,Credit Card
SUB-0074,CUST-0070,Professional,79,2021-02-19,2023-11-09,33,2575,Cancelled,No longer needed,Credit Card
SUB-0075,CUST-0071,Business,199,2021-06-23,2024-04-12,34,6686,Cancelled,Budget cuts,Bank Transfer
SUB-0076,CUST-0072,Professional,79,2021-04-10,2024-05-15,37,2939,Cancelled,Company closure,Credit Card
SUB-0077,CUST-0073,Starter,29,2022-05-21,2023-07-19,14,403,Cancelled,Switched to competitor,PayPal
SUB-0078,CUST-0074,Business,199,2021-04-03,2023-06-20,26,5274,Cancelled,Missing features,Crypto
SUB-0079,CUST-0075,Starter,29,2022-11-20,2024-04-05,17,479,Cancelled,No longer needed,Bank Transfer
SUB-0080,CUST-0076,Business,199,2021-10-16,2022-05-25,7,1453,Cancelled,Found alternative,Crypto
SUB-0081,CUST-0077,Enterprise,499,2019-12-13,2022-08-05,32,15818,Cancelled,Poor support,Credit Card
SUB-0082,CUST-0078,Business,199,2022-06-06,2024-05-10,23,4597,Cancelled,No longer needed,Bank Transfer
SUB-0083,CUST-0079,Enterprise,499,2022-01-08,2023-04-21,15,7685,Cancelled,Found alternative,Crypto
SUB-0084,CUST-0080,Enterprise,499,2019-12-22,2022-12-29,36,18064,Cancelled,Found alternative,PayPal
SUB-0085,CUST-0081,Enterprise,499,2020-08-10,2022-02-18,18,9132,Cancelled,Missing features,Credit Card
SUB-0086,CUST-0082,Professional,79,2022-09-22,2023-03-15,6,450,Cancelled,Budget cuts,Credit Card
SUB-0087,CUST-0082,Professional,79,2022-01-04,2022-08-10,7,569,Cancelled,Poor support,Crypto
SUB-0088,CUST-0083,Enterprise,499,2022-07-12,2023-03-26,8,4192,Cancelled,Found alternative,Crypto
SUB-0089,CUST-0084,Starter,29,2019-12-10,2020-07-18,7,212,Cancelled,Company closure,Credit Card
SUB-0090,CUST-0085,Starter,29,2021-11-07,2023-07-16,20,699,Cancelled,Company closure,Crypto
SUB-0091,CUST-0086,Enterprise,499,2022-02-04,2024-03-08,25,12525,Cancelled,Poor support,Bank Transfer
SUB-0092,CUST-0087,Enterprise,499,2020-01-01,2024-04-09,51,25549,Cancelled,Found alternative,Credit Card
SUB-0093,CUST-0088,Business,199,2020-06-20,2021-01-29,7,1453,Cancelled,Found alternative,Credit Card
SUB-0094,CUST-0089,Business,199,2020-01-15,2022-04-29,27,5453,Cancelled,Switched to competitor,Bank Transfer
SUB-0095,CUST-0090,Professional,79,2020-08-25,2024-09-03,49,3816,Active,Unknown,PayPal
SUB-0096,CUST-0091,Starter,29,2023-02-10,2024-05-28,15,450,Cancelled,Found alternative,Credit Card
SUB-0097,CUST-0092,Business,199,2022-06-12,2023-08-11,14,2786,Cancelled,Missing features,PayPal
SUB-0098,CUST-0092,Professional,79,2019-10-15,2021-02-12,16,1264,Cancelled,Company closure,PayPal
SUB-0099,CUST-0093,Professional,79,2021-03-30,2024-12-24,45,3539,Active,Unknown,PayPal
SUB-0100,CUST-0094,Enterprise,499,2019-02-20,2021-03-13,25,12325,Cancelled,No longer needed,PayPal
SUB-0101,CUST-0095,Enterprise,499,2021-06-06,2024-02-24,32,16267,Cancelled,Poor support,Bank Transfer
SUB-0102,CUST-0096,Enterprise,499,2021-09-23,2021-11-08,2,749,Cancelled,Poor support,Crypto
SUB-0103,CUST-0097,Starter,29,2019-12-04,2021-02-03,14,406,Cancelled,Poor support,Credit Card
SUB-0104,CUST-0098,Business,199,2020-03-10,2023-08-01,41,8099,Cancelled,Found alternative,PayPal
SUB-0105,CUST-0099,Enterprise,499,2021-02-22,2024-07-27,41,20509,Active,Unknown,Credit Card
SUB-0106,CUST-0100,Business,199,2019-08-26,2025-07-25,71,14129,Active,Unknown,Bank Transfer
SUB-0107,CUST-0101,Enterprise,499,2022-11-16,2023-07-20,8,4042,Cancelled,Missing features,Bank Transfer
SUB-0108,CUST-0102,Business,199,2022-08-15,2025-04-13,32,6348,Active,Unknown,Bank Transfer
SUB-0109,CUST-0103,Enterprise,499,2020-11-01,2023-12-08,37,18563,Cancelled,Company closure,Credit Card
SUB-0110,CUST-0104,Business,199,2019-04-14,2022-10-27,42,8438,Cancelled,Too expensive,Crypto
SUB-0111,CUST-0105,Business,199,2023-02-24,2024-01-11,11,2090,Cancelled,Found alternative,PayPal
SUB-0112,CUST-0106,Business,199,2023-01-10,2023-07-12,6,1194,Cancelled,Poor support,Credit Card
SUB-0113,CUST-0107,Professional,79,2019-04-06,2024-02-13,58,4606,Cancelled,Switched to competitor,Crypto
SUB-0114,CUST-0107,Professional,79,2019-07-26,2020-12-22,17,1335,Cancelled,Found alternative,PayPal
SUB-0115,CUST-0108,Starter,29,2020-06-09,2021-10-22,16,476,Cancelled,Too expensive,Credit Card
SUB-0116,CUST-0109,Business,199,2022-06-21,2024-01-31,19,3841,Cancelled,Switched to competitor,Crypto
SUB-0117,CUST-0110,Enterprise,499,2020-09-28,2021-12-01,15,7036,Cancelled,Company closure,PayPal
SUB-0118,CUST-0111,Business,199,2019-07-02,2020-12-27,17,3562,Cancelled,Found alternative,PayPal
SUB-0119,CUST-0112,Enterprise,499,2022-10-30,2023-04-23,6,2844,Cancelled,Found alternative,Credit Card
SUB-0120,CUST-0113,Starter,29,2023-08-06,2023-09-16,1,38,Cancelled,No longer needed,Crypto
SUB-0121,CUST-0114,Enterprise,499,2021-08-15,2023-10-26,26,13124,Cancelled,Missing features,Credit Card
SUB-0122,CUST-0115,Business,199,2022-08-14,2022-10-13,2,398,Cancelled,Missing features,Bank Transfer
SUB-0123,CUST-0116,Starter,29,2022-06-18,2023-10-30,16,476,Cancelled,Company closure,PayPal
SUB-0124,CUST-0117,Professional,79,2023-10-16,2024-06-07,8,608,Cancelled,Poor support,Crypto
SUB-0125,CUST-0118,Business,199,2019-01-20,2020-12-31,23,4657,Cancelled,Found alternative,Crypto
SUB-0126,CUST-0119,Enterprise,499,2021-05-06,2023-11-18,30,15170,Cancelled,Company closure,PayPal
SUB-0127,CUST-0120,Enterprise,499,2023-02-13,2023-06-26,4,2196,Cancelled,Poor support,Crypto
SUB-0128,CUST-0121,Starter,29,2019-09-08,2022-04-14,31,905,Cancelled,Budget cuts,PayPal
SUB-0129,CUST-0122,Enterprise,499,2021-10-03,2023-11-17,25,12725,Cancelled,Budget cuts,Credit Card
SUB-0130,CUST-0123,Business,199,2019-03-16,2019-08-08,5,955,Cancelled,Poor support,Bank Transfer
SUB-0131,CUST-0124,Business,199,2021-09-07,2022-12-09,15,2985,Cancelled,Poor support,Crypto
SUB-0132,CUST-0125,Starter,29,2021-01-18,2024-01-07,36,1032,Cancelled,Company closure,PayPal
SUB-0133,CUST-0125,Enterprise,499,2019-07-21,2020-03-30,8,4142,Cancelled,Switched to competitor,Credit Card
SUB-0134,CUST-0126,Business,199,2023-06-18,2024-06-17,12,2388,Cancelled,Missing features,PayPal
SUB-0135,CUST-0127,Enterprise,499,2019-02-02,2022-07-18,41,20709,Cancelled,Too expensive,Crypto
SUB-0136,CUST-0128,Business,199,2023-05-23,2023-08-22,3,597,Cancelled,Poor support,PayPal
SUB-0137,CUST-0129,Starter,29,2023-08-18,2023-11-17,3,87,Cancelled,Budget cuts,Credit Card
SUB-0138,CUST-0130,Enterprise,499,2020-05-10,2024-03-31,46,23303,Cancelled,No longer needed,Crypto
SUB-0139,CUST-0131,Starter,29,2021-11-05,2024-01-30,26,777,Cancelled,Poor support,Crypto
SUB-0140,CUST-0132,Professional,79,2021-04-21,2022-09-29,17,1367,Cancelled,Poor support,Credit Card
SUB-0141,CUST-0133,Starter,29,2022-06-22,2022-10-21,4,116,Cancelled,Found alternative,Credit Card
SUB-0142,CUST-0134,Business,199,2020-12-25,2024-10-29,46,9174,Active,Unknown,PayPal
SUB-0143,CUST-0135,Starter,29,2022-03-27,2024-04-18,25,716,Cancelled,Company closure,Bank Transfer
SUB-0144,CUST-0136,Business,199,2020-07-23,2025-04-07,57,11244,Active,Unknown,Bank Transfer
SUB-0145,CUST-0137,Business,199,2019-11-20,2021-05-10,18,3502,Cancelled,Poor support,Crypto
SUB-0146,CUST-0138,Business,199,2019-10-03,2022-03-09,29,5811,Cancelled,Missing features,Bank Transfer
SUB-0147,CUST-0139,Professional,79,2023-11-06,2024-02-04,3,237,Cancelled,Switched to competitor,Bank Transfer
SUB-0148,CUST-0140,Professional,79,2019-02-16,2025-01-26,71,5633,Active,Unknown,PayPal
SUB-0149,CUST-0141,Enterprise,499,2020-03-09,2023-04-07,37,18413,Cancelled,Missing features,Bank Transfer
SUB-0150,CUST-0142,Enterprise,499,2022-06-02,2022-07-08,1,599,Cancelled,Budget cuts,Bank Transfer
SUB-0151,CUST-0143,Professional,79,2021-02-22,2021-04-01,2,95,Cancelled,Missing features,Credit Card
SUB-0152,CUST-0144,Enterprise,499,2019-04-23,2024-10-05,66,32635,Active,Unknown,Crypto
SUB-0153,CUST-0145,Professional,79,2021-12-23,2024-02-17,26,2038,Cancelled,Company closure,Credit Card
SUB-0154,CUST-0146,Starter,29,2020-02-21,2022-12-10,34,974,Cancelled,Budget cuts,Bank Transfer
SUB-0155,CUST-0147,Professional,79,2019-10-31,2020-01-08,3,711,Cancelled,Poor support,Credit Card
SUB-0156,CUST-0148,Enterprise,499,2022-03-10,2026-05-25,50,25200,Active,Unknown,Crypto
SUB-0157,CUST-0149,Enterprise,499,2020-06-10,2021-11-19,17,8633,Cancelled,Poor support,PayPal
SUB-0158,CUST-0150,Enterprise,499,2023-03-27,2023-07-11,4,1747,Cancelled,Switched to competitor,PayPal
SUB-0159,CUST-0151,Starter,29,2020-10-29,2023-11-02,37,1047,Cancelled,Budget cuts,PayPal
SUB-0160,CUST-0152,Professional,79,2020-02-25,2024-06-27,52,4108,Active,Unknown,Bank Transfer
SUB-0161,CUST-0153,Enterprise,499,2021-06-15,2023-08-18,26,13024,Cancelled,Switched to competitor,Bank Transfer
SUB-0162,CUST-0154,Enterprise,499,2019-08-11,2024-06-06,58,28892,Cancelled,Missing features,Credit Card
SUB-0163,CUST-0155,Starter,29,2021-05-27,2022-02-04,9,241,Cancelled,Missing features,Crypto
SUB-0164,CUST-0156,Professional,79,2022-09-11,2023-07-15,10,798,Cancelled,Company closure,PayPal
SUB-0165,CUST-0157,Professional,79,2019-03-22,2019-06-21,3,237,Cancelled,Poor support,Bank Transfer
SUB-0166,CUST-0158,Professional,79,2022-04-07,2023-08-20,16,1296,Cancelled,No longer needed,Crypto
SUB-0167,CUST-0159,Enterprise,499,2022-10-09,2022-11-18,1,649,Cancelled,Found alternative,Crypto
SUB-0168,CUST-0160,Professional,79,2020-04-21,2020-10-21,6,474,Cancelled,Missing features,Credit Card
SUB-0169,CUST-0161,Starter,29,2021-02-27,2021-05-26,3,84,Cancelled,Poor support,Bank Transfer
SUB-0170,CUST-0162,Professional,79,2023-03-04,2023-05-09,2,174,Cancelled,Switched to competitor,Crypto
SUB-0171,CUST-0163,Starter,29,2019-05-31,2022-12-07,43,1085,Cancelled,Budget cuts,Bank Transfer
SUB-0172,CUST-0164,Professional,79,2023-02-06,2023-04-17,2,182,Cancelled,Poor support,Crypto
SUB-0173,CUST-0165,Business,199,2020-04-02,2022-03-30,23,4756,Cancelled,Switched to competitor,Credit Card
SUB-0174,CUST-0166,Starter,29,2023-07-28,2024-06-04,11,296,Cancelled,Company closure,Crypto
SUB-0175,CUST-0167,Enterprise,499,2023-06-02,2024-02-07,8,4092,Cancelled,Too expensive,Credit Card
SUB-0176,CUST-0168,Business,199,2020-07-18,2024-06-12,47,9313,Active,Unknown,Crypto
SUB-0177,CUST-0169,Business,199,2021-07-08,2022-07-11,12,2408,Cancelled,Too expensive,Bank Transfer
SUB-0178,CUST-0170,Business,199,2019-04-01,2021-04-07,24,5393,Cancelled,Switched to competitor,Crypto
SUB-0179,CUST-0171,Starter,29,2023-09-03,2024-06-16,9,273,Active,Unknown,Bank Transfer
SUB-0180,CUST-0172,Enterprise,499,2023-03-23,2024-01-28,10,5090,Cancelled,Missing features,PayPal
SUB-0181,CUST-0173,Professional,79,2020-08-22,2022-06-20,22,1730,Cancelled,Too expensive,PayPal
SUB-0182,CUST-0174,Enterprise,499,2019-06-06,2019-12-24,6,3293,Cancelled,Budget cuts,Crypto
SUB-0183,CUST-0174,Starter,29,2023-11-11,2024-02-10,3,87,Cancelled,Too expensive,PayPal
SUB-0184,CUST-0175,Business,199,2020-10-24,2023-12-16,38,7502,Cancelled,No longer needed,Bank Transfer
SUB-0185,CUST-0176,Professional,79,2022-10-23,2023-05-03,7,498,Cancelled,Too expensive,Credit Card
SUB-0186,CUST-0177,Enterprise,499,2023-07-30,2024-01-29,6,2994,Cancelled,No longer needed,Bank Transfer
SUB-0187,CUST-0178,Starter,29,2019-08-06,2020-11-13,15,444,Cancelled,Poor support,Crypto
SUB-0188,CUST-0179,Starter,29,2023-11-25,2025-04-13,17,481,Active,Unknown,Crypto
SUB-0189,CUST-0180,Professional,79,2020-03-27,2024-05-18,50,3926,Cancelled,Company closure,PayPal
SUB-0190,CUST-0181,Professional,79,2022-03-18,2024-06-04,27,2101,Active,Unknown,Credit Card
SUB-0191,CUST-0182,Enterprise,499,2019-05-05,2022-06-29,37,18862,Cancelled,Missing features,Bank Transfer
SUB-0192,CUST-0183,Professional,79,2022-01-16,2024-08-18,31,2449,Active,Unknown,PayPal
SUB-0193,CUST-0184,Professional,79,2020-04-10,2024-11-13,55,4353,Active,Unknown,Bank Transfer
SUB-0194,CUST-0185,Professional,79,2023-07-09,2023-08-20,1,111,Cancelled,Missing features,Credit Card
SUB-0195,CUST-0186,Enterprise,499,2022-03-26,2023-06-21,15,7385,Cancelled,Company closure,PayPal
SUB-0196,CUST-0187,Business,199,2020-01-24,2025-01-22,60,11940,Active,Unknown,Crypto
SUB-0197,CUST-0188,Professional,79,2022-04-18,2026-10-29,54,4298,Active,Unknown,Credit Card
SUB-0198,CUST-0189,Enterprise,499,2021-02-15,2025-03-18,49,24451,Active,Unknown,Crypto
SUB-0199,CUST-0190,Professional,79,2019-05-08,2021-01-03,20,1572,Cancelled,Budget cuts,Crypto
SUB-0200,CUST-0191,Enterprise,499,2019-05-01,2023-01-11,44,26946,Cancelled,No longer needed,Crypto
SUB-0201,CUST-0192,Enterprise,499,2023-07-06,2023-10-30,3,1896,Cancelled,Found alternative,Credit Card
SUB-0202,CUST-0193,Enterprise,499,2022-07-02,2023-02-17,7,3792,Cancelled,Found alternative,PayPal
SUB-0203,CUST-0194,Enterprise,499,2021-06-02,2023-01-07,19,9581,Cancelled,Found alternative,Bank Transfer
SUB-0204,CUST-0195,Enterprise,499,2022-11-24,2023-10-20,11,5389,Cancelled,Poor support,PayPal
SUB-0205,CUST-0196,Business,199,2023-09-24,2024-06-05,9,1672,Cancelled,Switched to competitor,Credit Card
SUB-0206,CUST-0197,Business,199,2022-05-27,2025-06-23,37,7343,Active,Unknown,Crypto
SUB-0207,CUST-0198,Professional,79,2021-10-21,2022-07-23,9,711,Cancelled,Switched to competitor,Bank Transfer
SUB-0208,CUST-0199,Business,199,2020-01-11,2024-01-18,48,9592,Cancelled,Company closure,Credit Card
SUB-0209,CUST-0200,Business,199,2020-12-27,2025-02-16,50,9890,Active,Unknown,Crypto
SUB-0210,CUST-0201,Starter,29,2019-12-11,2024-04-09,52,1505,Cancelled,Poor support,Bank Transfer
SUB-0211,CUST-0202,Starter,29,2023-05-12,2023-10-09,5,116,Cancelled,No longer needed,Bank Transfer
SUB-0212,CUST-0203,Professional,79,2023-08-28,2024-03-13,7,514,Cancelled,Company closure,Bank Transfer
SUB-0213,CUST-0204,Enterprise,499,2023-12-13,2024-01-17,1,549,Cancelled,Company closure,Credit Card
SUB-0214,CUST-0205,Business,199,2022-11-01,2023-03-29,4,975,Cancelled,Missing features,Bank Transfer
SUB-0215,CUST-0206,Professional,79,2020-07-31,2024-01-01,42,3239,Cancelled,Poor support,Bank Transfer
SUB-0216,CUST-0207,Enterprise,499,2022-09-24,2025-01-17,28,13872,Active,Unknown,Crypto
SUB-0217,CUST-0208,Starter,29,2021-04-27,2025-02-02,46,1311,Active,Unknown,Credit Card
SUB-0218,CUST-0209,Starter,29,2021-12-20,2024-01-13,25,719,Cancelled,Missing features,Bank Transfer
SUB-0219,CUST-0210,Business,199,2020-12-28,2025-12-23,60,11900,Active,Unknown,Crypto
SUB-0220,CUST-0211,Professional,79,2020-09-17,2023-10-19,37,2923,Cancelled,Poor support,Bank Transfer
SUB-0221,CUST-0212,Professional,79,2023-07-13,2023-11-07,4,300,Cancelled,Missing features,Bank Transfer
SUB-0222,CUST-0213,Enterprise,499,2020-03-01,2026-08-15,77,38673,Active,Unknown,Crypto
SUB-0223,CUST-0214,Enterprise,499,2020-05-05,2024-07-26,50,25299,Active,Unknown,Crypto
SUB-0224,CUST-0215,Enterprise,499,2023-02-22,2023-04-05,2,699,Cancelled,Found alternative,Bank Transfer
SUB-0225,CUST-0216,Enterprise,499,2022-11-28,2023-11-25,12,5938,Cancelled,No longer needed,Credit Card
SUB-0226,CUST-0217,Enterprise,499,2022-07-21,2024-04-13,21,10379,Cancelled,Company closure,Credit Card
SUB-0227,CUST-0218,Professional,79,2019-11-29,2022-04-08,29,2236,Cancelled,No longer needed,Credit Card
SUB-0228,CUST-0219,Business,199,2020-06-03,2022-11-15,29,5851,Cancelled,Found alternative,Crypto
SUB-0229,CUST-0220,Starter,29,2022-01-25,2023-03-18,14,397,Cancelled,No longer needed,PayPal
SUB-0230,CUST-0221,Starter,29,2020-06-15,2023-11-14,41,1189,Cancelled,Missing features,Bank Transfer
SUB-0231,CUST-0222,Starter,29,2022-03-03,2023-01-16,10,305,Cancelled,Poor support,Crypto
SUB-0232,CUST-0223,Starter,29,2019-10-08,2025-02-06,64,1856,Active,Unknown,Crypto
SUB-0233,CUST-0224,Enterprise,499,2023-07-02,2023-08-12,1,3044,Cancelled,Missing features,Crypto
SUB-0234,CUST-0225,Enterprise,499,2023-10-27,2024-01-08,3,1198,Cancelled,Poor support,PayPal
SUB-0235,CUST-0225,Professional,79,2019-01-13,2022-04-29,39,3121,Cancelled,Found alternative,PayPal
SUB-0236,CUST-0226,Business,199,2022-11-02,2022-12-26,1,358,Cancelled,Too expensive,Credit Card
SUB-0237,CUST-0227,Enterprise,499,2023-03-30,2023-05-26,2,948,Cancelled,Switched to competitor,Bank Transfer
SUB-0238,CUST-0228,Starter,29,2022-05-20,2022-09-26,4,122,Cancelled,Found alternative,Credit Card
SUB-0239,CUST-0229,Professional,79,2019-04-17,2022-06-01,38,2963,Cancelled,Found alternative,Crypto
SUB-0240,CUST-0230,Starter,29,2023-05-08,2024-09-30,16,487,Active,Unknown,PayPal
SUB-0241,CUST-0231,Professional,79,2023-06-16,2024-02-28,8,664,Cancelled,Too expensive,Bank Transfer
SUB-0242,CUST-0232,Professional,79,2022-05-27,2023-01-28,8,640,Cancelled,Found alternative,Crypto
SUB-0243,CUST-0233,Business,199,2020-05-18,2024-04-18,47,9353,Cancelled,Poor support,PayPal
SUB-0244,CUST-0234,Enterprise,499,2019-03-16,2021-02-14,23,11477,Cancelled,Missing features,Bank Transfer
SUB-0245,CUST-0235,Professional,79,2019-04-07,2025-05-12,73,5783,Active,Unknown,Credit Card
SUB-0246,CUST-0236,Enterprise,499,2023-05-19,2023-07-10,2,848,Cancelled,Too expensive,PayPal
