item_id,order_id,product_id,product_name,category,quantity,quantity_flag,unit_price_USD,discount_pct,discount_pct_flag,line_total_USD
ITEM-000030,ORD-03853,PROD-0169,Portable Charger Pro,Electronics,18,Valid entry,410.99,26,Acceptable,5474.39
ITEM-000031,ORD-03853,PROD-0047,Gym Bag,Sports,17,Valid entry,247.22,18,Acceptable,3446.25
ITEM-000032,ORD-04730,PROD-0051,Moisturiser SPF50,Beauty,19,Valid entry,1404.40,21,Acceptable,NULL
ITEM-000033,ORD-04730,PROD-0195,Robot Vacuum Pro,Home and Garden,4,Valid entry,1006.15,19,Acceptable,3259.93
ITEM-000034,ORD-04704,PROD-0101,Yoga Mat Pro,Sports,14,Valid entry,1956.47,17,Acceptable,22734.18
ITEM-000035,ORD-04704,PROD-0060,Makeup Brush Set,Beauty,-1,Entry Error - Review,2450.90,2,Acceptable,4803.76
ITEM-000036,ORD-04704,PROD-0167,Makeup Brush Set Pro,Beauty,8,Valid entry,NULL,4,Acceptable,20164.84
ITEM-000037,ORD-04704,PROD-0145,Premium Coffee Beans Pro,Food and Beverage,11,Valid entry,464.46,33,Acceptable,3423.07
ITEM-000038,ORD-03600,PROD-0078,Dark Chocolate Box,Food and Beverage,13,Valid entry,538.02,6,Acceptable,6574.60
ITEM-000039,ORD-03600,PROD-0182,Coffee Maker Pro,Home and Garden,20,Valid entry,1789.99,13,Acceptable,31145.83
ITEM-000040,ORD-03200,PROD-0036,Cookware Set,Home and Garden,18,Valid entry,265.41,7,Acceptable,4442.96
ITEM-000041,ORD-03200,PROD-0033,Robot Vacuum,Home and Garden,11,Valid entry,1014.56,16,Acceptable,NULL
ITEM-000042,ORD-01409,PROD-0191,Garden Hose Pro,Home and Garden,3,Valid entry,338.86,6,Acceptable,955.59
ITEM-000043,ORD-01409,PROD-0003,Bluetooth Speaker,Electronics,15,Valid entry,117.98,16,Acceptable,1486.55
ITEM-000044,ORD-03057,PROD-0022,Casual T-Shirt,Apparel,17,Valid entry,263.25,3,Acceptable,4340.99
ITEM-000045,ORD-03057,PROD-0012,CRM Platform,Software,3,Valid entry,558.51,18,Acceptable,1373.93
ITEM-000046,ORD-03057,PROD-0150,Mechanical Keyboard Pro,Electronics,4,Valid entry,1592.88,11,Acceptable,5670.65
ITEM-000047,ORD-03057,PROD-0067,Design Thinking,Books,17,Valid entry,866.02,7,Acceptable,13691.78
ITEM-000048,ORD-03965,PROD-0098,Moisturiser SPF50 Pro,Beauty,19,Valid entry,1270.72,30,Acceptable,16900.58
ITEM-000049,ORD-03965,PROD-0060,Makeup Brush Set,Beauty,11,Valid entry,2450.90,16,Acceptable,22646.32
ITEM-000050,ORD-03965,PROD-0127,Desk Lamp Pro,Home and Garden,8,Valid entry,50.58,39,Acceptable,246.83
ITEM-000051,ORD-03965,PROD-0058,Nail Polish Set,Beauty,18,Valid entry,372.61,5,Acceptable,6371.63
ITEM-000052,ORD-02751,PROD-0028,Backpack,Apparrel,13,Valid entry,621.89,17,Acceptable,6710.19
ITEM-000053,ORD-02751,PROD-0058,Nail Polish Set,Beauty,20,Valid entry,372.61,9,Acceptable,6781.50
ITEM-000054,ORD-02751,PROD-0091,Wall Art Pro,Home and Garden,7,Valid entry,1457.61,21,Acceptable,8060.58
ITEM-000055,ORD-01940,PROD-0137,Air Purifier Pro,Home and Garden,2,Valid entry,2331.88,3,Acceptable,4523.85
ITEM-000056,ORD-01940,PROD-0119,Baseball Cap Pro,Apparel,18,Valid entry,1471.39,10,Acceptable,23836.52
ITEM-000057,ORD-01940,PROD-0084,SQL Deep Dive Pro,Books,2,Valid entry,3859.71,136,Review Recommended,5249.21
ITEM-000058,ORD-01940,PROD-0163,Smart Thermostat Pro,Home and Garden,20,Valid entry,820.19,1,Acceptable,16239.76
ITEM-000059,ORD-00891,PROD-0179,Growth Hacking Pro,Books,19,Valid entry,1274.57,16,Acceptable,20342.14
ITEM-000060,ORD-00891,PROD-0191,Garden Hose Pro,Home and Garden,16,Valid entry,338.86,35,Acceptable,3524.14
ITEM-000061,ORD-01084,PROD-0101,Yoga Mat Pro,Sports,15,Valid entry,1956.47,24,Acceptable,22303.76
ITEM-000062,ORD-00024,PROD-0048,Fitness Tracker,Sports,18,Valid entry,1613.68,9,Acceptable,26432.08
ITEM-000063,ORD-00024,PROD-0162,Mechanical Keyboard Pro,Electronics,5,Valid entry,1226.74,14,Acceptable,5274.98
ITEM-000064,ORD-00024,PROD-0054,Electric Toothbrush,Beauty,17,Valid entry,1315.46,29,Acceptable,15877.60
ITEM-000065,ORD-04986,PROD-0040,Storage Ottoman,Home and Garden,13,Valid entry,2043.74,10,Acceptable,23911.76
ITEM-000066,ORD-04986,PROD-0039,Desk Lamp,Home and Garden,19,Valid entry,37.13,34,Acceptable,465.61
ITEM-000067,ORD-04986,PROD-0036,Cookware Set,Home and Garden,16,Valid entry,265.41,39,Acceptable,2590.40
ITEM-000068,ORD-00786,PROD-0111,Product Management v2,Books,20,Valid entry,327.73,37,Acceptable,4129.40
ITEM-000069,ORD-00786,PROD-0150,Mechanical Keyboard Pro,Electronics,1,Valid entry,1592.88,115,Review Recommended,1369.88
ITEM-000070,ORD-00786,PROD-0132,Business Jacket Pro,Apparel,12,Valid entry,1511.13,10,Acceptable,16320.20
ITEM-000071,ORD-02129,PROD-0131,Design Thinking Pro,Books,19,Valid entry,880.31,16,Acceptable,14049.75
ITEM-000072,ORD-02541,PROD-0081,Webcam HD Pro,Electronics,6,Valid entry,846.49,33,Acceptable,3402.89
ITEM-000073,ORD-02541,PROD-0119,Baseball Cap Pro,Apparel,15,Valid entry,1471.39,13,Acceptable,19201.64
ITEM-000074,ORD-00695,PROD-0093,Financial Freedom Pro,Books,6,Valid entry,1358.05,20,Acceptable,6518.64
ITEM-000075,ORD-00695,PROD-0129,Baseball Cap Pro,Apparel,3,Valid entry,1239.92,21,Acceptable,2938.61
ITEM-000076,ORD-04177,PROD-0027,Dress Shoes,Apparel,8,Valid entry,632.94,5,Acceptable,4810.34
ITEM-000077,ORD-03458,PROD-0025,Sports Leggings,Apparel,6,Valid entry,1270.62,9,Acceptable,6937.59
ITEM-000078,ORD-03458,PROD-0109,Financial Freedom Pro,Books,11,Valid entry,1601.89,34,Acceptable,11629.72
ITEM-000079,ORD-03458,PROD-0096,Robot Vacuum Pro,Home and Garden,20,Valid entry,1308.53,30,Acceptable,NULL
ITEM-000080,ORD-03458,PROD-0175,Moisturiser SPF50 Pro,Beauty,20,Valid entry,1344.19,37,Acceptable,NULL
ITEM-000081,ORD-02698,PROD-0032,Air Purifier,Home and Garden,7,Valid entry,2282.93,28,Acceptable,11505.97
ITEM-000082,ORD-02698,PROD-0072,Protein Bars 12pk,Food and Beverage,9,Valid entry,1658.51,22,Acceptable,11642.74
ITEM-000083,ORD-02698,PROD-0095,Bed Sheets Pro,Home and Garden,14,Valid entry,1260.77,22,Acceptable,13767.61
ITEM-000084,ORD-02698,PROD-0130,Storage Ottoman Pro,Home and Garden,18,Valid entry,1867.26,18,Acceptable,27560.76
ITEM-000085,ORD-02390,PROD-0174,Gym Bag Pro,Sports,-7,Entry Error - Review,335.66,27,Acceptable,4900.64
ITEM-000086,ORD-04569,PROD-0145,Premium Coffee Beans Pro,Food and Beverage,11,Valid entry,464.46,19,Acceptable,4138.34
ITEM-000087,ORD-04569,PROD-0017,Design Software,Software,7,Valid entry,819.73,3,Acceptable,5565.97
ITEM-000088,ORD-03852,PROD-0003,Bluetooth Speaker,Electronics,13,Valid entry,117.98,20,Acceptable,1226.99
ITEM-000089,ORD-03852,PROD-0168,Security Suite Pro,Software,5,Valid entry,1329.27,3,Acceptable,6446.96
ITEM-000090,ORD-03852,PROD-0112,Nuts & Seeds Mix Pro,Food and Beverage,5,Valid entry,1330.62,7,Acceptable,6187.38
ITEM-000091,ORD-03852,PROD-0171,HR Management System Pro,Software,18,Valid entry,1930.86,24,Acceptable,26414.16
ITEM-000092,ORD-02248,PROD-0170,Vitamin C Serum Pro,Beauty,16,Valid entry,862.09,38,Acceptable,NULL
ITEM-000093,ORD-02248,PROD-0091,Wall Art Pro,Home and Garden,16,Valid entry,1457.61,37,Acceptable,14692.71
ITEM-000094,ORD-02248,PROD-0169,Portable Charger Pro,Electronics,15,Valid entry,410.99,25,Acceptable,4623.64
ITEM-000095,ORD-02248,PROD-0069,Growth Hacking,Books,11,Valid entry,910.45,7,Acceptable,9313.90
ITEM-000096,ORD-02015,PROD-0130,Storage Ottoman Pro,Home and Garden,9,Valid entry,NULL,19,Acceptable,13612.33
ITEM-000097,ORD-02015,PROD-0043,Protein Powder,Sports,6,Valid entry,345.71,40,Acceptable,1244.56
ITEM-000098,ORD-03416,PROD-0153,Analytics Tool Pro,Software,13,Valid entry,2914.31,5,Acceptable,35991.73
ITEM-000099,ORD-00732,PROD-0019,Security Suite,Software,3,Valid entry,1657.49,18,Acceptable,4077.43
ITEM-000100,ORD-01075,PROD-0199,Makeup Brush Set Pro,Beauty,20,Valid entry,3414.28,10,Acceptable,61457.04
ITEM-000101,ORD-00674,PROD-0101,Yoga Mat Pro,Sports,7,Valid entry,1956.47,30,Acceptable,9586.70
ITEM-000102,ORD-00674,PROD-0051,Moisturiser SPF50,Beauty,13,Valid entry,1404.40,7,Acceptable,16979.20
ITEM-000103,ORD-00674,PROD-0142,Cycling Helmet Pro,Sports,13,Valid entry,1066.85,35,Acceptable,9014.88
ITEM-000104,ORD-04236,PROD-0107,Dress Shoes Pro,Apparel,18,Valid entry,821.85,25,Acceptable,11094.98
ITEM-000105,ORD-00605,PROD-0150,Mechanical Keyboard Pro,Electronics,2,Valid entry,1592.88,26,Acceptable,2357.46
ITEM-000106,ORD-00605,PROD-0157,Analytics Tool Pro,Software,9,Valid entry,1897.69,31,Acceptable,11784.65
ITEM-000107,ORD-03953,PROD-0134,Nuts & Seeds Mix Pro,Food and Beverage,16,Valid entry,1261.60,3,Acceptable,NULL
ITEM-000108,ORD-01212,PROD-0195,Robot Vacuum Pro,Home and Garden,10,Valid entry,1006.15,18,Acceptable,8250.43
ITEM-000109,ORD-01212,PROD-0018,Cloud Storage,Software,10,Valid entry,1471.32,0,Acceptable,14713.20
ITEM-000110,ORD-01212,PROD-0184,Smart Watch Pro,Electronics,7,Valid entry,984.86,0,Acceptable,6894.02
ITEM-000111,ORD-04543,PROD-0037,Bed Sheets,Home and Garden,2,Valid entry,1097.50,3,Acceptable,2129.15
ITEM-000112,ORD-04543,PROD-0037,Bed Sheets,Home and Garden,9,Valid entry,1097.50,30,Acceptable,6914.25
ITEM-000113,ORD-00178,PROD-0070,AI Fundamentals,Books,16,Valid entry,198.30,23,Acceptable,2443.06
ITEM-000114,ORD-00178,PROD-0198,Vitamin C Serum Pro,Beauty,3,Valid entry,826.67,2,Acceptable,2430.41
ITEM-000115,ORD-00178,PROD-0094,Growth Hacking Pro,Books,8,Valid entry,1026.12,31,Acceptable,5664.18
ITEM-000116,ORD-00057,PROD-0017,Design Software,Software,1,Valid entry,819.73,1,Acceptable,811.53
ITEM-000117,ORD-00057,PROD-0042,Resistance Bands,Sports,18,Valid entry,1478.09,16,Acceptable,NULL
ITEM-000118,ORD-00057,PROD-0048,Fitness Tracker,Sports,15,Valid entry,1613.68,13,Acceptable,21058.52
ITEM-000119,ORD-02391,PROD-0020,Video Conferencing,Software,20,Valid entry,1857.53,3,Acceptable,36036.08
ITEM-000120,ORD-03708,PROD-0061,Data Analytics Guide,Books,11,Valid entry,706.17,2,Acceptable,7612.51
ITEM-000121,ORD-03708,PROD-0109,Financial Freedom Pro,Books,3,Valid entry,1601.89,4,Acceptable,4613.44
ITEM-000122,ORD-03708,PROD-0118,Foam Roller Pro,Sports,18,Valid entry,4306.63,19,Acceptable,62790.67
ITEM-000123,ORD-02891,PROD-0176,Video Conferencing Pro,Software,11,Valid entry,2262.72,109,Review Recommended,17422.94
ITEM-000124,ORD-00312,PROD-0163,Smart Thermostat Pro,Home and Garden,8,Valid entry,820.19,20,Acceptable,NULL
ITEM-000125,ORD-00312,PROD-0029,Baseball Cap,Apparel,2,Valid entry,1309.55,21,Acceptable,NULL
ITEM-000126,ORD-00312,PROD-0038,Wall Art,Home and Garden,10,Valid entry,1162.29,30,Acceptable,8136.03
ITEM-000127,ORD-02451,PROD-0099,Premium Coffee Beans Pro,Food and Beverage,12,Valid entry,424.25,35,Acceptable,3309.15
ITEM-000128,ORD-02451,PROD-0015,Email Marketing Tool,Software,9,Valid entry,997.69,19,Acceptable,7273.16
ITEM-000129,ORD-02451,PROD-0078,Dark Chocolate Box,Food and Beverage,2,Valid entry,538.02,30,Acceptable,753.23
ITEM-000130,ORD-02451,PROD-0114,Moisturiser SPF50 Pro,Beauty,10,Valid entry,1899.07,20,Acceptable,15192.56
ITEM-000131,ORD-00323,PROD-0158,Wall Art Pro,Home and Garden,3,Valid entry,1235.81,5,Acceptable,3522.06
ITEM-000132,ORD-00323,PROD-0027,Dress Shoes,Apparel,20,Valid entry,632.94,25,Acceptable,9494.10
ITEM-000133,ORD-00323,PROD-0081,Webcam HD Pro,Electronics,6,Valid entry,846.49,33,Acceptable,3402.89
ITEM-000134,ORD-00323,PROD-0167,Makeup Brush Set Pro,Beauty,2,Valid entry,NULL,25,Acceptable,3938.45
ITEM-000135,ORD-02704,PROD-0064,Leadership Principles,Books,18,Valid entry,806.00,8,Acceptable,13347.36
ITEM-000136,ORD-03511,PROD-0012,CRM Platform,Software,6,Valid entry,558.51,23,Acceptable,2580.32
ITEM-000137,ORD-02963,PROD-0024,Winter Coat,Apparel,1,Valid entry,1531.64,34,Acceptable,1010.88
ITEM-000138,ORD-02963,PROD-0031,Coffee Maker,Home and Garden,11,Valid entry,1966.81,24,Acceptable,16442.53
ITEM-000139,ORD-02963,PROD-0098,Moisturiser SPF50 Pro,Beauty,5,Valid entry,1270.72,5,Acceptable,6035.92
ITEM-000140,ORD-00453,PROD-0064,Leadership Principles,Books,15,Valid entry,806.00,31,Acceptable,8342.10
ITEM-000141,ORD-00453,PROD-0097,Hot Sauce Bundle Pro,F&B,1,Valid entry,1311.29,19,Acceptable,1062.14
ITEM-000142,ORD-00453,PROD-0144,Protein Bars 12pk v2,Food and Beverage,17,Valid entry,1597.60,11,Acceptable,24171.69
ITEM-000143,ORD-03847,PROD-0046,Water Bottle,Sports,13,Valid entry,1267.26,16,Acceptable,13838.48
ITEM-000144,ORD-03847,PROD-0081,Webcam HD Pro,Electronics,8,Valid entry,846.49,17,Acceptable,NULL
ITEM-000145,ORD-03847,PROD-0159,USB-C Hub Pro,Electronics,11,Valid entry,2734.41,33,Acceptable,20152.60
ITEM-000146,ORD-02099,PROD-0039,Desk Lamp,Home and Garden,5,Valid entry,37.13,36,Acceptable,118.82
ITEM-000147,ORD-02099,PROD-0187,SQL Deep Dive Pro,Books,2,Valid entry,3875.59,2,Acceptable,NULL
ITEM-000148,ORD-01968,PROD-0051,Moisturiser SPF50,Beauty,15,Valid entry,1404.40,14,Acceptable,18116.76
ITEM-000149,ORD-01262,PROD-0060,Makeup Brush Set,Beauty,20,Valid entry,2450.90,2,Acceptable,48037.64
ITEM-000150,ORD-01815,PROD-0007,Gaming Mouse,Electronics,11,Valid entry,NULL,15,Acceptable,13292.99
ITEM-000151,ORD-02839,PROD-0049,Tennis Racket,Sports,14,Valid entry,64.18,35,Acceptable,584.04
ITEM-000152,ORD-02839,PROD-0159,USB-C Hub Pro,Electronics,11,Valid entry,2734.41,36,Acceptable,19250.25
ITEM-000153,ORD-01573,PROD-0032,Air Purifier,Home and Garden,13,Valid entry,NULL,12,Acceptable,26116.72
ITEM-000154,ORD-01573,PROD-0051,Moisturiser SPF50,Beauty,20,Valid entry,1404.40,125,Review Recommended,23032.16
ITEM-000155,ORD-01573,PROD-0117,Running Shoes Pro,Apparel,19,Valid entry,493.75,0,Acceptable,9381.25
ITEM-000156,ORD-01573,PROD-0141,Design Thinking Pro,Books,19,Valid entry,1078.56,39,Acceptable,12500.51
ITEM-000157,ORD-03377,PROD-0200,Data Analytics Guide Pro,Books,3,Valid entry,672.78,15,Acceptable,NULL
ITEM-000158,ORD-03377,PROD-0191,Garden Hose Pro,Home and Garden,5,Valid entry,338.86,15,Acceptable,1440.16
ITEM-000159,ORD-02567,PROD-0122,Video Conferencing Pro,Software,10,Valid entry,2447.65,4,Acceptable,23497.44
ITEM-000160,ORD-02567,PROD-0140,Bed Sheets Pro,Home and Garden,7,Valid entry,1071.89,26,Acceptable,NULL
ITEM-000161,ORD-03012,PROD-0128,Leadership Principles Pro,Books,19,Valid entry,934.40,5,Acceptable,16865.92
ITEM-000162,ORD-02296,PROD-0181,Cloud Storage Pro,Software,19,Valid entry,NULL,24,Acceptable,24427.86
ITEM-000163,ORD-02296,PROD-0112,Nuts & Seeds Mix Pro,Food and Beverage,8,Valid entry,1330.62,33,Acceptable,NULL
ITEM-000164,ORD-02296,PROD-0175,Moisturiser SPF50 Pro,Beauty,2,Valid entry,1344.19,8,Acceptable,NULL
ITEM-000165,ORD-00928,PROD-0143,Smoothie Mix Pro,Food and Beverage,1,Valid entry,841.22,10,Acceptable,757.10
ITEM-000166,ORD-01974,PROD-0140,Bed Sheets Pro,Home and Garden,15,Valid entry,1071.89,23,Acceptable,12380.33
ITEM-000167,ORD-01105,PROD-0185,Green Tea Collection Pro,Food and Beverage,11,Valid entry,653.88,9,Acceptable,6545.34
ITEM-000168,ORD-01105,PROD-0200,Data Analytics Guide Pro,Books,20,Valid entry,672.78,1,Acceptable,13321.04
ITEM-000169,ORD-01105,PROD-0061,Data Analytics Guide,Books,15,Valid entry,706.17,15,Acceptable,9003.67
ITEM-000170,ORD-04899,PROD-0088,Leadership Principles Pro,Books,14,Valid entry,805.36,1,Acceptable,11162.29
ITEM-000171,ORD-04899,PROD-0103,Analytics Tool Pro,Software,5,Valid entry,2266.75,39,Acceptable,6913.59
ITEM-000172,ORD-04899,PROD-0005,Webcam HD,Electronics,2,Valid entry,695.37,20,Acceptable,1112.59
ITEM-000173,ORD-00587,PROD-0166,Product Management v2,Books,16,Valid entry,557.83,2,Acceptable,8746.77
ITEM-000174,ORD-04492,PROD-0122,Video Conferencing Pro,Software,14,Valid entry,2447.65,39,Acceptable,20902.93
ITEM-000175,ORD-01153,PROD-0103,Analytics Tool Pro,Software,15,Valid entry,2266.75,7,Acceptable,31621.16
ITEM-000176,ORD-04422,PROD-0011,Project Management Suite,Software,17,Valid entry,947.94,30,Acceptable,11280.49
ITEM-000177,ORD-04360,PROD-0150,Mechanical Keyboard Pro,Electronics,15,Valid entry,1592.88,6,Acceptable,22459.61
ITEM-000178,ORD-04360,PROD-0157,Analytics Tool Pro,Software,6,Valid entry,1897.69,23,Acceptable,8767.33
ITEM-000179,ORD-04360,PROD-0080,Herbal Tea Set,Food and Beverage,11,Valid entry,1313.91,1,Acceptable,14308.48
ITEM-000180,ORD-02617,PROD-0173,Wireless Headphones Pro,Electronics,17,Valid entry,581.83,38,Acceptable,6132.49
ITEM-000181,ORD-02617,PROD-0186,Security Suite Pro,Software,10,Valid entry,2016.16,19,Acceptable,16330.90
ITEM-000182,ORD-03456,PROD-0055,Perfume 50ml,Beauty,16,Valid entry,1469.34,3,Acceptable,NULL
ITEM-000183,ORD-03456,PROD-0169,Portable Charger Pro,Electronics,16,Valid entry,410.99,16,Acceptable,5523.71
ITEM-000184,ORD-03456,PROD-0020,Video Conferencing,Software,11,Valid entry,1857.53,12,Acceptable,17980.89
ITEM-000185,ORD-00585,PROD-0046,Water Bottle,Sports,13,Valid entry,1267.26,22,Acceptable,12850.02
ITEM-000186,ORD-00585,PROD-0180,Sunglasses Pro,Apparel,6,Valid entry,683.34,15,Acceptable,3485.03
ITEM-000187,ORD-00585,PROD-0022,Casual T-Shirt,Apparel,10,Valid entry,263.25,31,Acceptable,1816.42
ITEM-000188,ORD-00124,PROD-0024,Winter Coat,Apparel,4,Valid entry,1531.64,26,Acceptable,4533.65
ITEM-000189,ORD-00124,PROD-0159,USB-C Hub Pro,Electronics,12,Valid entry,NULL,6,Acceptable,30844.14
ITEM-000190,ORD-01404,PROD-0158,Wall Art Pro,Home and Garden,18,Valid entry,1235.81,8,Acceptable,20465.01
ITEM-000191,ORD-01404,PROD-0099,Premium Coffee Beans Pro,Food and Beverage,4,Valid entry,424.25,2,Acceptable,1663.06
ITEM-000192,ORD-01404,PROD-0061,Data Analytics Guide,Books,12,Valid entry,706.17,35,Acceptable,5508.13
ITEM-000193,ORD-03198,PROD-0178,Gym Bag Pro,Sports,5,Valid entry,229.12,38,Acceptable,710.27
ITEM-000194,ORD-00107,PROD-0051,Moisturiser SPF50,Beauty,11,Valid entry,1404.40,8,Acceptable,14212.53
ITEM-000195,ORD-00107,PROD-0190,Foam Roller Pro,Sports,15,Valid entry,2998.27,33,Acceptable,30132.61
ITEM-000196,ORD-00107,PROD-0109,Financial Freedom Pro,Books,1,Valid entry,1601.89,34,Acceptable,1057.25
ITEM-000197,ORD-00107,PROD-0055,Perfume 50ml,Beauty,11,Valid entry,1469.34,24,Acceptable,12283.68
ITEM-000198,ORD-01870,PROD-0154,Dress Shoes Pro,Apparel,11,Valid entry,559.43,4,Acceptable,5907.58
ITEM-000199,ORD-01870,PROD-0023,Business Jacket,Apparel,19,Valid entry,1140.19,19,Acceptable,17547.52
ITEM-000200,ORD-00332,PROD-0196,Jump Rope Pro,Sports,7,Valid entry,148.45,24,Acceptable,789.75
ITEM-000201,ORD-00332,PROD-0077,Nuts & Seeds Mix,Food and Beverage,7,Valid entry,1002.34,1,Acceptable,6946.22
ITEM-000202,ORD-00332,PROD-0043,Protein Powder,Sports,9,Valid entry,345.71,16,Acceptable,2613.57
ITEM-000203,ORD-00332,PROD-0154,Dress Shoes Pro,Apparel,17,Valid entry,559.43,17,Acceptable,7893.56
ITEM-000204,ORD-00467,PROD-0036,Cookware Set,Home and Garden,18,Valid entry,265.41,31,Acceptable,3296.39
ITEM-000205,ORD-03520,PROD-0160,AI Fundamentals Pro,Books,5,Valid entry,225.00,5,Acceptable,1068.75
ITEM-000206,ORD-04979,PROD-0020,Video Conferencing,Software,5,Valid entry,1857.53,26,Acceptable,6872.86
ITEM-000207,ORD-02938,PROD-0057,Face Mask Kit,Beauty,14,Valid entry,1233.52,19,Acceptable,13988.12
ITEM-000208,ORD-04704,PROD-0037,Bed Sheets,Home and Garden,18,Valid entry,1097.50,4,Acceptable,18964.80
ITEM-000209,ORD-04704,PROD-0081,Webcam HD Pro,Electronics,3,Valid entry,846.49,32,Acceptable,1726.84
ITEM-000210,ORD-04704,PROD-0132,Business Jacket Pro,Apparel,6,Valid entry,1511.13,3,Acceptable,8794.78
ITEM-000211,ORD-01076,PROD-0021,Running Shoes,Apparel,8,Valid entry,467.63,9,Acceptable,3404.35
ITEM-000212,ORD-01076,PROD-0038,Wall Art,Home and Garden,16,Valid entry,1162.29,23,Acceptable,14319.41
ITEM-000213,ORD-01076,PROD-0067,Design Thinking,Books,-7,Entry Error - Review,866.02,12,Acceptable,8383.07
ITEM-000214,ORD-01076,PROD-0131,Design Thinking Pro,Books,8,Valid entry,880.31,1,Acceptable,6972.06
ITEM-000215,ORD-03150,PROD-0200,Data Analytics Guide Pro,Books,7,Valid entry,672.78,27,Acceptable,NULL
ITEM-000216,ORD-03150,PROD-0049,Tennis Racket,Sports,10,Valid entry,64.18,8,Acceptable,590.46
ITEM-000217,ORD-03150,PROD-0127,Desk Lamp Pro,Home and Garden,16,Valid entry,50.58,142,Review Recommended,582.68
ITEM-000218,ORD-00060,PROD-0010,Portable Charger,Electronics,-6,Entry Error - Review,334.02,19,Acceptable,3517.23
ITEM-000219,ORD-00060,PROD-0017,Design Software,Software,7,Valid entry,819.73,12,Acceptable,5049.54
ITEM-000220,ORD-01229,PROD-0175,Moisturiser SPF50 Pro,Beauty,10,Valid entry,1344.19,10,Acceptable,12097.71
ITEM-000221,ORD-01229,PROD-0122,Video Conferencing Pro,Software,2,Valid entry,2447.65,18,Acceptable,4014.15
