order_id,customer_id,order_date,order_status,sales_channel,shipping_cost_USD,discount_pct,discount_pct_flag,region,country
ORD-00109,CUST-0455,2024-12-13,Completed,Partner Portal,0.63,22,Acceptable,Asia Pacific,Australia
ORD-00110,CUST-0034,2021-02-02,Pending,Marketplace,27.13,15,Acceptable,Middle East,UAE
ORD-00111,CUST-0163,2021-09-22,Cancelled,Website,8.28,4,Acceptable,Asia Pacific,Singapore
ORD-00112,CUST-0136,2022-12-13,Refunded,Phone,36.56,16,Acceptable,Europe,Sweden
ORD-00113,CUST-0416,2023-06-30,Completed,Partner Portal,24.71,23,Acceptable,Middle East,Saudi Arabia
ORD-00114,CUST-0275,2021-07-28,Refunded,In-Store,20.68,17,Acceptable,Africa,South Africa
ORD-00115,CUST-0078,2023-08-10,Refunded,Mobile App,4.58,0,Acceptable,Europe,United Kingdom
ORD-00116,CUST-0466,2023-04-11,Refunded,Phone,34.09,17,Acceptable,Europe,Spain
ORD-00117,CUST-0348,2024-09-08,Refunded,In-Store,18.53,9,Acceptable,Middle East,UAE
ORD-00118,CUST-0447,2023-07-09,Refunded,Partner Portal,29.24,15,Acceptable,Middle East,UAE
ORD-00119,CUST-0222,2024-06-25,Refunded,Marketplace,35.72,15,Acceptable,Asia Pacific,India
ORD-00120,CUST-0216,2021-04-09,Pending,Mobile App,1.65,12,Acceptable,Africa,Kenya
ORD-00121,CUST-0174,2024-03-21,Cancelled,In-Store,28.47,11,Acceptable,Europe,Spain
ORD-00122,CUST-0261,2021-01-21,Completed,Marketplace,32.19,139,Review Recommended,Africa,Ghana
ORD-00123,CUST-0455,2023-12-09,Refunded,Website,3.59,4,Acceptable,Asia Pacific,Australia
ORD-00124,CUST-0405,2020-05-26,Completed,Website,28.52,8,Acceptable,Asia Pacific,Japan
ORD-00125,CUST-0019,2021-04-13,Pending,Unknown,11.31,116,Review Recommended,Asia Pacific,India
ORD-00126,CUST-0113,2020-11-08,Completed,Mobile App,16.23,27,Acceptable,North America,United States
ORD-00127,CUST-0224,2022-12-22,Refunded,In-Store,25.63,28,Acceptable,Europe,Germany
ORD-00128,CUST-0480,2020-03-23,Cancelled,Marketplace,11.58,11,Acceptable,North America,Canada
ORD-00129,CUST-0239,2020-06-13,Pending,Partner Portal,40.66,33,Acceptable,Africa,Kenya
ORD-00130,CUST-0214,2022-03-18,Completed,Website,13.44,21,Acceptable,Middle East,UAE
ORD-00131,CUST-0204,2023-08-29,Pending,Marketplace,25.73,34,Acceptable,Africa,South Africa
ORD-00132,CUST-0050,2023-09-30,Pending,Mobile App,23.06,13,Acceptable,Latin America,Chile
ORD-00133,CUST-0263,2023-09-28,Cancelled,In-Store,5.84,149,Review Recommended,Asia Pacific,Singapore
ORD-00134,CUST-0149,2024-12-30,Completed,Mobile App,0.83,8,Acceptable,Europe,Germany
ORD-00135,CUST-0293,2023-03-25,Refunded,Marketplace,39.72,126,Review Recommended,Europe,Spain
ORD-00136,CUST-0341,2023-02-21,Pending,Mobile App,29.53,15,Acceptable,Middle East,UAE
ORD-00137,CUST-0379,2020-06-09,Refunded,In-Store,9.22,10,Acceptable,Europe,United Kingdom
ORD-00138,CUST-0450,2022-10-03,Completed,Website,43.21,10,Acceptable,Europe,France
ORD-00139,CUST-0162,2022-07-25,Completed,Partner Portal,25.27,25,Acceptable,Middle East,Qatar
ORD-00140,CUST-0038,2024-07-11,Pending,In-Store,3.39,33,Acceptable,Africa,South Africa
ORD-00141,CUST-0420,2024-02-03,Completed,Unknown,17.02,17,Acceptable,Europe,France
ORD-00142,CUST-0174,2021-05-27,Completed,In-Store,11.20,12,Acceptable,Europe,Spain
ORD-00143,CUST-0122,2022-05-10,Completed,Partner Portal,33.63,15,Acceptable,Africa,Nigeria
ORD-00144,CUST-0064,2020-04-23,Completed,Mobile App,23.87,0,Acceptable,North America,Mexico
ORD-00145,CUST-0393,2023-05-19,Cancelled,Partner Portal,16.63,34,Acceptable,Middle East,UAE
ORD-00146,CUST-0211,2022-06-20,Completed,Marketplace,37.31,17,Acceptable,Middle East,UAE
ORD-00147,CUST-0016,2024-02-02,Completed,Marketplace,3.07,8,Acceptable,North America,Mexico
ORD-00148,CUST-0124,2024-06-04,Completed,Phone,28.11,22,Acceptable,Latin America,Argentina
ORD-00149,CUST-0373,2023-01-18,Completed,In-Store,28.09,20,Acceptable,Europe,France
ORD-00150,CUST-0416,2024-07-08,Completed,Partner Portal,19.57,34,Acceptable,Middle East,Saudi Arabia
ORD-00151,CUST-0255,2022-05-09,Refunded,Partner Portal,25.88,16,Acceptable,Africa,Nigeria
ORD-00152,CUST-0075,2020-06-17,Completed,Mobile App,18.84,19,Acceptable,Africa,South Africa
ORD-00153,CUST-0480,2021-10-30,Cancelled,Phone,21.83,10,Acceptable,North America,Canada
ORD-00154,CUST-0067,2020-08-30,Completed,Partner Portal,13.69,15,Acceptable,Africa,Ghana
ORD-00155,CUST-0199,2022-11-17,Completed,Mobile App,15.10,8,Acceptable,Europe,United Kingdom
ORD-00156,CUST-0132,2024-12-06,Completed,Website,4.04,33,Acceptable,Africa,South Africa
ORD-00157,CUST-0058,2020-07-11,Completed,Marketplace,15.31,31,Acceptable,Asia Pacific,South Korea
ORD-00158,CUST-0479,2020-02-29,Completed,Website,9.08,4,Acceptable,Latin America,Argentina
ORD-00159,CUST-0259,2022-03-25,Completed,Marketplace,12.13,13,Acceptable,North America,Mexico
ORD-00160,CUST-0218,2024-04-12,Pending,In-Store,0.74,11,Acceptable,Africa,South Africa
ORD-00161,CUST-0230,2024-11-29,Completed,In-Store,30.28,28,Acceptable,Latin America,Colombia
ORD-00162,CUST-0446,2023-10-17,Refunded,Partner Portal,6.11,6,Acceptable,North America,Mexico
ORD-00163,CUST-0454,2024-04-30,Cancelled,Partner Portal,39.84,32,Acceptable,Europe,Germany
ORD-00164,CUST-0265,2022-09-13,Completed,In-Store,31.26,34,Acceptable,North America,United States
ORD-00165,CUST-0037,2024-11-01,Completed,Website,29.25,127,Review Recommended,North America,Mexico
ORD-00166,CUST-0012,2023-03-13,Refunded,Mobile App,24.24,13,Acceptable,Europe,Netherlands
ORD-00167,CUST-0004,2024-12-29,Refunded,Phone,10.45,6,Acceptable,Latin America,Colombia
ORD-00168,CUST-0153,2022-06-30,Completed,Marketplace,21.80,9,Acceptable,NA Region,United States
ORD-00169,CUST-0335,2022-02-27,Completed,In-Store,24.13,27,Acceptable,Europe,Germany
ORD-00170,CUST-0058,2022-10-06,Refunded,Mobile App,24.96,22,Acceptable,Asia Pacific,South Korea
ORD-00171,CUST-0419,2022-01-22,Cancelled,In-Store,19.91,35,Acceptable,Africa,Ghana
ORD-00172,CUST-0219,2021-08-18,Completed,Mobile App,29.49,33,Acceptable,Asia Pacific,Australia
ORD-00173,CUST-0435,2021-11-03,Pending,Website,33.28,17,Acceptable,Asia Pacific,India
ORD-00174,CUST-0143,2023-05-10,Completed,In-Store,0.65,8,Acceptable,Europe,Spain
ORD-00175,CUST-0358,2021-05-27,Refunded,Website,8.99,2,Acceptable,Asia Pacific,India
ORD-00176,CUST-0157,2024-01-10,Completed,Phone,42.56,2,Acceptable,Latin America,Chile
ORD-00177,CUST-0024,2024-10-03,Cancelled,Partner Portal,0.81,17,Acceptable,Africa,Nigeria
ORD-00178,CUST-0058,2023-08-28,Completed,Phone,23.14,13,Acceptable,Asia Pacific,South Korea
ORD-00179,CUST-0437,2020-06-25,Cancelled,Unknown,42.40,19,Acceptable,North America,Canada
ORD-00180,CUST-0414,2021-10-06,Completed,Website,24.27,24,Acceptable,NA Region,Canada
ORD-00181,CUST-0467,2021-12-18,Cancelled,Mobile App,15.12,11,Acceptable,Middle East,Qatar
ORD-00182,CUST-0300,2023-02-21,Refunded,In-Store,10.87,15,Acceptable,Africa,Nigeria
ORD-00183,CUST-0380,2023-07-30,Completed,Phone,29.22,12,Acceptable,Asia Pacific,Singapore
ORD-00184,CUST-0270,2023-12-30,Completed,Mobile App,14.20,20,Acceptable,Middle East,Qatar
ORD-00185,CUST-0317,2020-12-13,Refunded,Mobile App,43.51,30,Acceptable,Middle East,Qatar
ORD-00186,CUST-0364,2024-11-25,Refunded,Website,28.21,29,Acceptable,Africa,Nigeria
ORD-00187,CUST-0048,2021-04-01,Completed,Marketplace,34.00,11,Acceptable,North America,Canada
ORD-00188,CUST-0398,2024-04-09,Completed,Unknown,42.12,11,Acceptable,Latin America,Brazil
ORD-00189,CUST-0302,2020-07-03,Refunded,Mobile App,44.81,5,Acceptable,Asia Pacific,Australia
ORD-00190,CUST-0269,2022-08-29,Completed,Phone,16.08,28,Acceptable,Africa,Ghana
ORD-00191,CUST-0313,2024-07-20,Pending,Phone,18.36,25,Acceptable,Africa,Kenya
ORD-00192,CUST-0465,2020-03-28,Completed,Phone,43.09,33,Acceptable,Asia Pacific,India
ORD-00193,CUST-0143,2023-01-17,Completed,In-Store,2.92,17,Acceptable,Europe,Spain
ORD-00194,CUST-0085,2020-04-16,Completed,Marketplace,25.88,18,Acceptable,Middle East,UAE
ORD-00195,CUST-0029,2021-12-02,Cancelled,Partner Portal,6.21,2,Acceptable,Middle East,Saudi Arabia
ORD-00196,CUST-0099,2021-06-09,Completed,Partner Portal,34.57,24,Acceptable,Latin America,Chile
ORD-00197,CUST-0259,2020-07-03,Completed,Mobile App,43.09,12,Acceptable,North America,Mexico
ORD-00198,CUST-0210,2020-07-12,Completed,Website,41.89,19,Acceptable,Europe,Germany
ORD-00199,CUST-0358,2024-08-21,Completed,Phone,40.88,30,Acceptable,Asia Pacific,India
ORD-00200,CUST-0327,2020-08-22,Cancelled,Mobile App,15.30,31,Acceptable,Middle East,Saudi Arabia
ORD-00201,CUST-0207,2022-06-08,Completed,Website,30.96,33,Acceptable,Europe,United Kingdom
ORD-00202,CUST-0375,2022-08-30,Cancelled,Marketplace,16.40,21,Acceptable,North America,United States
ORD-00203,CUST-0086,2021-10-28,Cancelled,Website,9.15,4,Acceptable,Europe,Spain
ORD-00204,CUST-0097,2021-01-14,Refunded,Mobile App,18.44,0,Acceptable,Europe,Netherlands
ORD-00205,CUST-0061,2022-02-03,Completed,Partner Portal,10.42,29,Acceptable,Africa,Ghana
ORD-00206,CUST-0022,2021-06-23,Completed,Mobile App,25.75,25,Acceptable,North America,United States
ORD-00207,CUST-0281,2024-04-11,Completed,Website,25.09,10,Acceptable,Latin America,Colombia
ORD-00208,CUST-0040,2022-08-15,Completed,Phone,11.66,31,Acceptable,Asia Pacific,Singapore
ORD-00209,CUST-0421,2024-12-17,Refunded,Marketplace,7.42,8,Acceptable,North America,Canada
ORD-00210,CUST-0405,2020-02-23,Completed,Partner Portal,16.91,30,Acceptable,Asia Pacific,Japan
ORD-00211,CUST-0383,2021-02-24,Completed,Marketplace,25.87,4,Acceptable,Africa,Ghana
ORD-00212,CUST-0103,2021-07-04,Completed,In-Store,29.28,7,Acceptable,North America,Canada
ORD-00213,CUST-0306,2024-06-11,Completed,Marketplace,39.31,30,Acceptable,Europe,Spain
ORD-00214,CUST-0254,2024-11-20,Cancelled,Phone,31.15,4,Acceptable,Asia Pacific,Singapore
ORD-00215,CUST-0042,2021-08-12,Pending,Mobile App,18.02,10,Acceptable,Africa,Kenya
ORD-00216,CUST-0162,2022-06-03,Pending,Partner Portal,8.63,19,Acceptable,Middle East,Qatar
ORD-00217,CUST-0166,2024-12-20,Completed,Partner Portal,28.10,5,Acceptable,Latin America,Argentina
ORD-00218,CUST-0285,2020-01-07,Pending,Phone,33.71,7,Acceptable,Middle East,UAE
ORD-00219,CUST-0146,2022-11-04,Completed,Phone,15.62,31,Acceptable,Africa,Kenya
ORD-00220,CUST-0219,2022-10-31,Completed,Mobile App,12.35,30,Acceptable,Asia Pacific,Australia
ORD-00221,CUST-0398,2023-04-03,Pending,Phone,35.72,19,Acceptable,Latin America,Brazil
ORD-00222,CUST-0322,2024-07-05,Cancelled,Website,30.59,28,Acceptable,Africa,Ghana
ORD-00223,CUST-0283,2023-05-15,Pending,Phone,5.51,17,Acceptable,Middle East,Saudi Arabia
ORD-00224,CUST-0267,2023-06-15,Pending,Marketplace,35.42,25,Acceptable,Europe,Netherlands
ORD-00225,CUST-0009,2023-10-30,Completed,In-Store,32.93,12,Acceptable,Europe,United Kingdom
ORD-00226,CUST-0266,2023-09-12,Completed,Marketplace,34.03,2,Acceptable,Asia Pacific,Japan
ORD-00227,CUST-0409,2020-02-21,Completed,In-Store,29.84,12,Acceptable,North America,United States
ORD-00228,CUST-0055,2020-09-08,Completed,Mobile App,27.97,3,Acceptable,North America,Canada
ORD-00229,CUST-0444,2020-01-22,Cancelled,Partner Portal,38.87,122,Review Recommended,Asia Pacific,Singapore
ORD-00230,CUST-0383,2020-09-19,Completed,Partner Portal,15.30,6,Acceptable,Africa,Ghana
ORD-00231,CUST-0109,2023-03-28,Cancelled,Marketplace,29.72,17,Acceptable,Latin America,Chile
ORD-00232,CUST-0462,2021-10-13,Completed,Marketplace,30.23,25,Acceptable,Middle East,Saudi Arabia
ORD-00233,CUST-0249,2024-07-24,Completed,Mobile App,6.22,16,Acceptable,Africa,Kenya
ORD-00234,CUST-0254,2021-03-31,Completed,Partner Portal,33.02,11,Acceptable,Asia Pacific,Singapore
ORD-00235,CUST-0259,2024-12-30,Completed,Phone,0.73,27,Acceptable,North America,Mexico
ORD-00236,CUST-0411,2024-06-17,Completed,Marketplace,31.41,30,Acceptable,Asia Pacific,Singapore
ORD-00237,CUST-0108,2023-04-11,Refunded,Website,32.85,30,Acceptable,North America,United States
ORD-00238,CUST-0034,2023-07-17,Refunded,Marketplace,21.51,26,Acceptable,Middle East,UAE
ORD-00239,CUST-0055,2023-03-10,Completed,Partner Portal,12.76,16,Acceptable,North America,Canada
ORD-00240,CUST-0248,2020-09-18,Completed,Website,33.65,32,Acceptable,Europe,Netherlands
ORD-00241,CUST-0246,2020-02-22,Pending,In-Store,9.25,9,Acceptable,Asia Pacific,Singapore
ORD-00242,CUST-0083,2024-05-05,Completed,Mobile App,1.50,29,Acceptable,Latin America,Argentina
ORD-00243,CUST-0315,2023-09-09,Completed,Partner Portal,28.75,35,Acceptable,Africa,Nigeria
ORD-00244,CUST-0310,2022-04-23,Refunded,Partner Portal,17.19,0,Acceptable,Latin America,Chile
ORD-00245,CUST-0402,2020-03-18,Refunded,Phone,15.23,32,Acceptable,Africa,Nigeria
ORD-00246,CUST-0112,2020-07-17,Completed,In-Store,25.88,28,Acceptable,Africa,Kenya
ORD-00247,CUST-0193,2023-10-20,Pending,Phone,23.60,34,Acceptable,North America,Canada
ORD-00248,CUST-0431,2021-03-28,Refunded,In-Store,0.30,7,Acceptable,Asia Pacific,Singapore
ORD-00249,CUST-0325,2023-04-11,Completed,Unknown,35.16,19,Acceptable,Latin America,Chile
ORD-00250,CUST-0157,2020-02-26,Cancelled,Unknown,2.97,131,Review Recommended,Latin America,Chile
ORD-00251,CUST-0393,2023-08-29,Cancelled,Marketplace,2.15,31,Acceptable,Middle East,UAE
ORD-00252,CUST-0061,2022-07-08,Refunded,Marketplace,33.37,18,Acceptable,Africa,Ghana
ORD-00253,CUST-0188,2022-06-18,Completed,Mobile App,29.10,23,Acceptable,Africa,South Africa
ORD-00254,CUST-0119,2020-09-05,Completed,Phone,28.99,5,Acceptable,North America,Canada
ORD-00255,CUST-0326,2023-08-27,Completed,In-Store,28.44,3,Acceptable,Europe,Netherlands
ORD-00256,CUST-0469,2020-09-01,Completed,Marketplace,1.85,11,Acceptable,Africa,Nigeria
ORD-00257,CUST-0045,2021-02-19,Completed,Unknown,19.80,34,Acceptable,Latin America,Colombia
ORD-00258,CUST-0090,2024-06-27,Completed,Phone,17.80,28,Acceptable,Asia Pacific,India
ORD-00259,CUST-0134,2024-12-31,Completed,In-Store,13.57,25,Acceptable,North America,United States
ORD-00260,CUST-0076,2024-06-04,Cancelled,In-Store,44.24,4,Acceptable,Africa,Ghana
ORD-00261,CUST-0134,2023-11-01,Completed,Mobile App,2.87,15,Acceptable,North America,United States
ORD-00262,CUST-0352,2023-08-16,Completed,Phone,41.18,31,Acceptable,Europe,France
ORD-00263,CUST-0139,2021-04-10,Completed,In-Store,11.44,18,Acceptable,Europe,Netherlands
ORD-00264,CUST-0324,2024-11-30,Completed,Partner Portal,38.74,3,Acceptable,Europe,United Kingdom
ORD-00265,CUST-0190,2022-07-30,Cancelled,Marketplace,40.16,27,Acceptable,Africa,South Africa
