return_id,order_id,order_id_flag,return_date,return_reason,refund_amount_USD,return_status
RET-0410,ORD-00595,Valid FK,2020-03-12,Quality issues,670.45,Rejected
RET-0577,ORD-00625,Valid FK,2020-12-01,Changed mind,304.10,Pending
RET-0661,ORD-00628,Valid FK,2020-09-11,Product not as described,62.62,Pending
RET-0591,ORD-00638,Valid FK,2022-11-02,Wrong item received,790.27,Rejected
RET-0345,ORD-00645,Valid FK,2023-07-17,Quality issues,22.24,Pending
RET-0146,ORD-00645,Valid FK,2024-06-16,Defective product,346.74,Rejected
RET-0022,ORD-00653,Valid FK,2023-11-25,Unknown,147.88,Rejected
RET-0573,ORD-00655,Valid FK,2020-11-10,Wrong item received,165.70,Rejected
RET-0645,ORD-00667,Valid FK,2024-02-29,Product not as described,255.15,Pending
RET-0050,ORD-00686,Valid FK,2021-02-26,Duplicate order,70.34,Rejected
RET-0400,ORD-00686,Valid FK,2021-07-17,Defective product,537.02,Rejected
RET-0059,ORD-00693,Valid FK,2021-04-17,Product not as described,727.14,Processed
RET-0751,ORD-00696,Valid FK,2022-01-16,Better price elsewhere,300.23,Processed
RET-0156,ORD-00704,Valid FK,2020-04-05,Better price elsewhere,349.08,Rejected
RET-0455,ORD-00707,Valid FK,2020-11-21,Duplicate order,25.13,Pending
RET-0098,ORD-00712,Valid FK,2024-05-19,Duplicate order,350.29,Processed
RET-0376,ORD-00719,Valid FK,2020-10-22,Defective product,758.39,Pending
RET-0399,ORD-00725,Valid FK,2021-08-19,Wrong item received,43.26,Pending
RET-0177,ORD-00728,Valid FK,2024-07-02,Quality issues,129.53,Pending
RET-0254,ORD-00740,Valid FK,2020-09-12,Unknown,202.54,Processed
RET-0674,ORD-00747,Valid FK,2022-04-13,Better price elsewhere,546.30,Pending
RET-0164,ORD-00748,Valid FK,2023-02-19,Defective product,369.37,Pending
RET-0632,ORD-00751,Valid FK,2024-06-05,Better price elsewhere,733.53,Processed
RET-0229,ORD-00755,Valid FK,2024-03-15,Quality issues,565.32,Rejected
RET-0403,ORD-00755,Valid FK,2024-06-18,Duplicate order,613.49,Processed
RET-0079,ORD-00768,Valid FK,2020-03-04,Quality issues,363.14,Processed
RET-0796,ORD-00768,Valid FK,2022-12-22,Product not as described,181.40,Processed
RET-0100,ORD-00769,Valid FK,2024-08-26,Unknown,16.97,Pending
RET-0328,ORD-00769,Valid FK,2022-11-07,Defective product,53.29,Rejected
RET-0510,ORD-00769,Valid FK,2022-04-29,Damaged in shipping,468.54,Pending
RET-0063,ORD-00777,Valid FK,2021-04-14,Damaged in shipping,378.38,Processed
RET-0702,ORD-00778,Valid FK,2024-06-08,Quality issues,609.45,Pending
RET-0766,ORD-00783,Valid FK,2021-09-07,Damaged in shipping,736.88,Pending
RET-0300,ORD-00785,Valid FK,2023-01-01,Defective product,469.45,Processed
RET-0046,ORD-00788,Valid FK,2021-03-09,Unknown,50.85,Processed
RET-0352,ORD-00789,Valid FK,2020-03-07,Defective product,332.78,Rejected
RET-0582,ORD-00800,Valid FK,2020-07-21,Better price elsewhere,487.54,Pending
RET-0691,ORD-00804,Valid FK,2023-12-09,Changed mind,648.69,Rejected
RET-0425,ORD-00804,Valid FK,2020-12-19,Duplicate order,402.69,Pending
RET-0445,ORD-00808,Valid FK,2023-04-02,Damaged in shipping,96.94,Pending
RET-0210,ORD-00808,Valid FK,2023-12-25,Quality issues,181.56,Rejected
RET-0426,ORD-00824,Valid FK,2023-06-29,Wrong item received,523.79,Pending
RET-0561,ORD-00860,Valid FK,2020-11-20,Unknown,201.35,Rejected
RET-0640,ORD-00860,Valid FK,2020-07-06,Better price elsewhere,432.96,Rejected
RET-0335,ORD-00862,Valid FK,2021-07-17,Unknown,85.65,Processed
RET-0086,ORD-00867,Valid FK,2021-05-04,Defective product,343.27,Rejected
RET-0117,ORD-00884,Valid FK,2022-08-02,Product not as described,671.52,Rejected
RET-0777,ORD-00899,Valid FK,2022-05-14,Better price elsewhere,438.78,Processed
RET-0169,ORD-00903,Valid FK,2022-03-21,Changed mind,605.39,Processed
RET-0667,ORD-00919,Valid FK,2023-11-07,Better price elsewhere,668.29,Rejected
RET-0183,ORD-00931,Valid FK,2023-04-10,Better price elsewhere,291.21,Processed
RET-0687,ORD-00932,Valid FK,2023-05-03,Wrong item received,388.92,Pending
RET-0471,ORD-00942,Valid FK,2021-09-19,Unknown,169.67,Rejected
RET-0649,ORD-00944,Valid FK,2024-08-23,Wrong item received,798.14,Rejected
RET-0244,ORD-00947,Valid FK,2020-07-23,Defective product,593.39,Pending
RET-0451,ORD-00948,Valid FK,2024-09-17,Wrong item received,650.31,Pending
RET-0302,ORD-00954,Valid FK,2021-11-26,Duplicate order,337.15,Processed
RET-0469,ORD-00958,Valid FK,2020-07-07,Duplicate order,713.75,Pending
RET-0055,ORD-00987,Valid FK,2021-04-26,Product not as described,584.76,Pending
RET-0529,ORD-00992,Valid FK,2024-02-28,Quality issues,302.14,Rejected
RET-0406,ORD-01000,Valid FK,2021-12-16,Changed mind,466.36,Pending
RET-0074,ORD-01000,Valid FK,2023-12-18,Duplicate order,164.25,Pending
RET-0255,ORD-01010,Valid FK,2023-11-29,Better price elsewhere,744.23,Rejected
RET-0014,ORD-01013,Valid FK,2024-10-25,Damaged in shipping,286.01,Pending
RET-0422,ORD-01013,Valid FK,2020-12-16,Changed mind,418.84,Processed
RET-0221,ORD-01020,Valid FK,2021-07-22,Damaged in shipping,696.21,Rejected
RET-0553,ORD-01026,Valid FK,2021-12-14,Defective product,462.96,Rejected
RET-0589,ORD-01027,Valid FK,2022-01-29,Defective product,241.62,Rejected
RET-0700,ORD-01031,Valid FK,2024-06-03,Wrong item received,551.20,Pending
RET-0012,ORD-01032,Valid FK,2024-06-21,Product not as described,654.95,Rejected
RET-0053,ORD-01069,Valid FK,2022-08-28,Product not as described,379.04,Processed
RET-0409,ORD-01076,Valid FK,2021-10-01,Changed mind,158.15,Processed
RET-0478,ORD-01088,Valid FK,2020-06-08,Better price elsewhere,624.88,Pending
RET-0134,ORD-01088,Valid FK,2020-10-30,Better price elsewhere,503.20,Pending
RET-0121,ORD-01094,Valid FK,2020-05-05,Damaged in shipping,149.50,Processed
RET-0332,ORD-01114,Valid FK,2023-01-30,Duplicate order,245.37,Rejected
RET-0535,ORD-01115,Valid FK,2021-03-22,Damaged in shipping,661.36,Rejected
RET-0382,ORD-01121,Valid FK,2022-12-07,Better price elsewhere,120.39,Rejected
RET-0077,ORD-01122,Valid FK,2021-02-08,Better price elsewhere,152.56,Pending
RET-0794,ORD-01136,Valid FK,2023-03-08,Changed mind,324.22,Rejected
RET-0200,ORD-01148,Valid FK,2021-05-16,Product not as described,231.41,Rejected
RET-0351,ORD-01149,Valid FK,2022-04-07,Changed mind,546.56,Processed
RET-0194,ORD-01156,Valid FK,2022-09-13,Product not as described,326.17,Pending
RET-0484,ORD-01167,Valid FK,2020-05-20,Better price elsewhere,373.87,Processed
RET-0482,ORD-01168,Valid FK,2022-03-10,Wrong item received,300.78,Pending
RET-0225,ORD-01171,Valid FK,2021-04-01,Damaged in shipping,281.89,Pending
RET-0289,ORD-01179,Valid FK,2020-09-20,Duplicate order,241.28,Pending
RET-0717,ORD-01195,Valid FK,2020-04-15,Duplicate order,29.96,Pending
RET-0279,ORD-01213,Valid FK,2022-05-17,Better price elsewhere,647.29,Pending
RET-0571,ORD-01225,Valid FK,2023-02-20,Wrong item received,208.02,Rejected
RET-0473,ORD-01233,Valid FK,2024-05-24,Better price elsewhere,425.10,Pending
RET-0689,ORD-01241,Valid FK,2021-11-06,Unknown,448.55,Processed
RET-0064,ORD-01251,Valid FK,2023-08-20,Wrong item received,407.17,Processed
RET-0132,ORD-01257,Valid FK,2021-10-29,Quality issues,94.43,Pending
RET-0154,ORD-01257,Valid FK,2021-01-14,Defective product,63.96,Pending
RET-0049,ORD-01268,Valid FK,2022-12-16,Changed mind,173.50,Pending
RET-0343,ORD-01286,Valid FK,2024-01-19,Product not as described,145.57,Rejected
RET-0315,ORD-01291,Valid FK,2023-11-11,Unknown,688.12,Pending
RET-0148,ORD-01296,Valid FK,2022-04-22,Defective product,63.97,Processed
RET-0428,ORD-01317,Valid FK,2023-08-21,Better price elsewhere,285.25,Pending
RET-0155,ORD-01318,Valid FK,2020-03-05,Changed mind,486.20,Pending
RET-0031,ORD-01318,Valid FK,2023-02-18,Wrong item received,762.73,Pending
RET-0749,ORD-01321,Valid FK,2021-04-01,Damaged in shipping,545.57,Pending
RET-0314,ORD-01324,Valid FK,2020-09-08,Product not as described,368.90,Rejected
RET-0519,ORD-01325,Valid FK,2021-06-15,Changed mind,258.01,Processed
RET-0693,ORD-01331,Valid FK,2020-11-10,Product not as described,384.77,Processed
RET-0698,ORD-01331,Valid FK,2021-10-12,Wrong item received,491.13,Rejected
RET-0083,ORD-01332,Valid FK,2023-11-26,Damaged in shipping,395.44,Rejected
RET-0266,ORD-01338,Valid FK,2021-03-08,Product not as described,381.85,Processed
RET-0696,ORD-01345,Valid FK,2023-07-17,Product not as described,311.62,Pending
RET-0374,ORD-01355,Valid FK,2021-01-21,Defective product,189.80,Processed
RET-0746,ORD-01374,Valid FK,2020-06-23,Unknown,254.21,Processed
RET-0114,ORD-01379,Valid FK,2022-01-24,Unknown,554.31,Processed
RET-0005,ORD-01381,Valid FK,2023-10-12,Better price elsewhere,544.77,Rejected
RET-0692,ORD-01385,Valid FK,2020-12-22,Better price elsewhere,598.93,Rejected
RET-0624,ORD-01385,Valid FK,2020-09-01,Product not as described,227.05,Rejected
RET-0102,ORD-01390,Valid FK,2020-05-13,Quality issues,579.00,Rejected
RET-0355,ORD-01403,Valid FK,2023-05-25,Changed mind,591.86,Rejected
RET-0191,ORD-01406,Valid FK,2022-02-03,Better price elsewhere,403.88,Processed
RET-0296,ORD-01425,Valid FK,2023-10-15,Wrong item received,356.61,Pending
RET-0112,ORD-01431,Valid FK,2023-12-15,Defective product,85.49,Processed
RET-0157,ORD-01435,Valid FK,2020-06-28,Damaged in shipping,659.62,Processed
RET-0230,ORD-01436,Valid FK,2023-01-27,Defective product,77.20,Pending
RET-0239,ORD-01436,Valid FK,2020-03-19,Wrong item received,191.95,Rejected
RET-0442,ORD-01439,Valid FK,2023-09-05,Defective product,153.42,Pending
RET-0180,ORD-01455,Valid FK,2023-10-24,Better price elsewhere,45.03,Rejected
RET-0503,ORD-01476,Valid FK,2022-12-21,Better price elsewhere,229.59,Processed
RET-0706,ORD-01480,Valid FK,2020-09-26,Wrong item received,87.24,Rejected
RET-0440,ORD-01490,Valid FK,2020-09-20,Wrong item received,663.35,Processed
RET-0379,ORD-01491,Valid FK,2023-11-04,Defective product,180.60,Rejected
RET-0372,ORD-01497,Valid FK,2023-02-21,Wrong item received,462.50,Rejected
RET-0207,ORD-01499,Valid FK,2022-02-27,Better price elsewhere,583.01,Rejected
RET-0623,ORD-01519,Valid FK,2024-11-25,Unknown,557.59,Pending
RET-0744,ORD-01523,Valid FK,2021-07-04,Duplicate order,178.36,Pending
RET-0006,ORD-01532,Valid FK,2022-10-06,Changed mind,203.44,Rejected
RET-0401,ORD-01550,Valid FK,2022-10-16,Defective product,40.84,Pending
RET-0190,ORD-01555,Valid FK,2020-03-25,Damaged in shipping,213.22,Rejected
RET-0116,ORD-01571,Valid FK,2020-11-02,Duplicate order,370.93,Pending
RET-0353,ORD-01574,Valid FK,2021-03-15,Defective product,712.32,Processed
RET-0782,ORD-01575,Valid FK,2024-10-24,Unknown,763.35,Pending
RET-0597,ORD-01583,Valid FK,2023-12-25,Damaged in shipping,721.82,Processed
RET-0294,ORD-01584,Valid FK,2022-07-01,Defective product,771.00,Pending
RET-0261,ORD-01586,Valid FK,2024-11-10,Duplicate order,239.16,Rejected
RET-0057,ORD-01595,Valid FK,2022-11-20,Duplicate order,678.03,Rejected
RET-0549,ORD-01598,Valid FK,2022-06-11,Wrong item received,187.60,Pending
RET-0787,ORD-01598,Valid FK,2023-05-22,Quality issues,793.97,Pending
RET-0362,ORD-01602,Valid FK,2020-11-02,Damaged in shipping,573.34,Pending
RET-0465,ORD-01603,Valid FK,2023-02-28,Better price elsewhere,404.71,Pending
RET-0723,ORD-01607,Valid FK,2022-11-23,Quality issues,592.17,Pending
RET-0644,ORD-01617,Valid FK,2022-11-19,Quality issues,195.60,Pending
RET-0694,ORD-01620,Valid FK,2024-02-04,Defective product,470.99,Pending
RET-0434,ORD-01620,Valid FK,2020-09-15,Damaged in shipping,23.42,Pending
RET-0795,ORD-01628,Valid FK,2021-07-08,Unknown,239.85,Rejected
RET-0358,ORD-01647,Valid FK,2023-08-27,Better price elsewhere,762.00,Processed
RET-0090,ORD-01651,Valid FK,2021-06-16,Damaged in shipping,274.17,Rejected
RET-0457,ORD-01659,Valid FK,2021-03-04,Unknown,513.81,Rejected
RET-0731,ORD-01659,Valid FK,2021-03-14,Changed mind,258.03,Pending
RET-0618,ORD-01659,Valid FK,2024-12-10,Damaged in shipping,321.16,Pending
RET-0275,ORD-01661,Valid FK,2022-11-17,Changed mind,624.64,Pending
RET-0498,ORD-01665,Valid FK,2024-07-09,Damaged in shipping,698.90,Pending
RET-0361,ORD-01687,Valid FK,2024-01-14,Damaged in shipping,678.34,Pending
RET-0464,ORD-01689,Valid FK,2023-04-05,Product not as described,316.26,Pending
RET-0158,ORD-01691,Valid FK,2023-12-14,Changed mind,237.80,Processed
RET-0028,ORD-01691,Valid FK,2020-04-17,Wrong item received,313.72,Pending
RET-0633,ORD-01704,Valid FK,2022-12-08,Better price elsewhere,471.36,Pending
RET-0699,ORD-01704,Valid FK,2023-04-30,Changed mind,67.91,Rejected
RET-0511,ORD-01707,Valid FK,2023-10-06,Damaged in shipping,637.50,Processed
RET-0765,ORD-01713,Valid FK,2023-11-09,Quality issues,271.62,Rejected
RET-0311,ORD-01721,Valid FK,2020-09-03,Damaged in shipping,255.03,Processed
RET-0066,ORD-01721,Valid FK,2020-07-07,Duplicate order,44.97,Pending
RET-0213,ORD-01756,Valid FK,2023-09-01,Damaged in shipping,291.48,Rejected
RET-0283,ORD-01788,Valid FK,2020-09-10,Better price elsewhere,369.36,Processed
RET-0097,ORD-01804,Valid FK,2020-04-30,Damaged in shipping,72.86,Pending
RET-0546,ORD-01806,Valid FK,2024-08-12,Damaged in shipping,39.74,Pending
RET-0431,ORD-01806,Valid FK,2023-10-10,Defective product,630.54,Processed
RET-0684,ORD-01807,Valid FK,2023-04-23,Quality issues,352.05,Processed
RET-0742,ORD-01831,Valid FK,2024-02-07,Better price elsewhere,717.69,Pending
RET-0195,ORD-01831,Valid FK,2022-12-31,Unknown,548.91,Processed
RET-0627,ORD-01833,Valid FK,2021-04-04,Unknown,332.12,Processed
RET-0019,ORD-01853,Valid FK,2021-04-30,Changed mind,507.06,Pending
RET-0243,ORD-01859,Valid FK,2021-06-27,Defective product,216.68,Processed
RET-0678,ORD-01859,Valid FK,2020-03-02,Defective product,400.79,Processed
RET-0652,ORD-01859,Valid FK,2022-01-03,Duplicate order,57.90,Rejected
RET-0371,ORD-01868,Valid FK,2024-08-12,Product not as described,454.26,Processed
RET-0785,ORD-01875,Valid FK,2023-01-12,Changed mind,420.11,Rejected
RET-0607,ORD-01888,Valid FK,2022-07-23,Duplicate order,621.14,Pending
RET-0418,ORD-01900,Valid FK,2024-11-13,Better price elsewhere,773.85,Rejected
RET-0378,ORD-01909,Valid FK,2023-01-05,Quality issues,496.86,Pending
RET-0670,ORD-01938,Valid FK,2022-04-03,Duplicate order,390.93,Processed
RET-0108,ORD-01950,Valid FK,2021-07-17,Wrong item received,55.50,Processed
RET-0319,ORD-01953,Valid FK,2020-12-24,Product not as described,750.74,Rejected
RET-0327,ORD-01954,Valid FK,2022-01-09,Quality issues,687.52,Rejected
RET-0734,ORD-01965,Valid FK,2024-02-14,Duplicate order,787.87,Rejected
RET-0411,ORD-01974,Valid FK,2022-10-11,Wrong item received,553.85,Rejected
RET-0747,ORD-01975,Valid FK,2024-07-06,Quality issues,231.47,Pending
RET-0584,ORD-01983,Valid FK,2022-05-17,Damaged in shipping,213.00,Rejected
RET-0045,ORD-01999,Valid FK,2022-08-14,Wrong item received,140.74,Processed
RET-0198,ORD-02016,Valid FK,2023-06-18,Damaged in shipping,134.94,Rejected
RET-0182,ORD-02022,Valid FK,2023-04-05,Duplicate order,545.68,Rejected
RET-0660,ORD-02043,Valid FK,2024-11-11,Wrong item received,684.03,Processed
RET-0150,ORD-02045,Valid FK,2023-08-20,Unknown,636.22,Processed
RET-0199,ORD-02050,Valid FK,2022-03-30,Unknown,301.44,Processed
RET-0058,ORD-02053,Valid FK,2021-06-02,Duplicate order,322.61,Pending
RET-0474,ORD-02059,Valid FK,2022-11-29,Damaged in shipping,258.89,Pending
RET-0052,ORD-02084,Valid FK,2021-07-14,Better price elsewhere,798.50,Pending
RET-0145,ORD-02105,Valid FK,2020-05-27,Wrong item received,358.68,Pending
RET-0536,ORD-02113,Valid FK,2024-01-16,Quality issues,134.03,Pending
RET-0710,ORD-02126,Valid FK,2024-12-25,Better price elsewhere,20.46,Processed
RET-0318,ORD-02127,Valid FK,2021-02-05,Changed mind,380.10,Processed
RET-0712,ORD-02145,Valid FK,2020-10-17,Product not as described,384.66,Processed
RET-0496,ORD-02160,Valid FK,2024-01-25,Product not as described,190.36,Rejected
RET-0386,ORD-02166,Valid FK,2024-10-20,Changed mind,144.18,Pending
RET-0286,ORD-02167,Valid FK,2020-08-01,Unknown,262.88,Rejected
RET-0647,ORD-02167,Valid FK,2020-11-15,Better price elsewhere,707.79,Rejected
RET-0636,ORD-02167,Valid FK,2020-12-20,Damaged in shipping,166.65,Rejected
RET-0222,ORD-02169,Valid FK,2020-09-20,Wrong item received,356.88,Pending
RET-0256,ORD-02169,Valid FK,2020-07-12,Defective product,796.30,Rejected
RET-0110,ORD-02174,Valid FK,2023-04-18,Damaged in shipping,201.25,Rejected
RET-0036,ORD-02178,Valid FK,2023-04-06,Wrong item received,739.19,Rejected
RET-0027,ORD-02189,Valid FK,2020-07-06,Quality issues,677.46,Rejected
RET-0080,ORD-02189,Valid FK,2020-09-11,Product not as described,713.22,Pending
RET-0377,ORD-02193,Valid FK,2021-11-14,Better price elsewhere,372.04,Rejected
RET-0349,ORD-02196,Valid FK,2022-11-19,Damaged in shipping,448.38,Rejected
RET-0128,ORD-02196,Valid FK,2021-11-22,Duplicate order,574.32,Rejected
RET-0659,ORD-02211,Valid FK,2021-07-01,Product not as described,290.56,Rejected
RET-0404,ORD-02213,Valid FK,2021-02-22,Product not as described,199.10,Pending
RET-0441,ORD-02219,Valid FK,2022-02-20,Duplicate order,559.07,Rejected
RET-0299,ORD-02221,Valid FK,2023-03-26,Damaged in shipping,798.60,Pending
RET-0082,ORD-02221,Valid FK,2020-07-01,Product not as described,721.35,Pending
RET-0642,ORD-02227,Valid FK,2021-03-12,Damaged in shipping,545.34,Rejected
RET-0715,ORD-02227,Valid FK,2021-04-03,Quality issues,120.30,Processed
RET-0245,ORD-02238,Valid FK,2021-09-20,Changed mind,301.67,Pending
RET-0565,ORD-02242,Valid FK,2024-03-24,Product not as described,452.80,Processed
RET-0265,ORD-02254,Valid FK,2022-07-13,Defective product,72.59,Processed
RET-0246,ORD-02254,Valid FK,2020-04-08,Wrong item received,162.94,Processed
RET-0228,ORD-02256,Valid FK,2021-07-14,Wrong item received,631.55,Rejected
RET-0209,ORD-02271,Valid FK,2021-09-23,Defective product,465.77,Processed
RET-0558,ORD-02271,Valid FK,2021-11-25,Quality issues,40.48,Pending
RET-0641,ORD-02272,Valid FK,2023-07-13,Changed mind,786.56,Processed
RET-0278,ORD-02280,Valid FK,2023-10-13,Damaged in shipping,121.98,Rejected
RET-0793,ORD-02288,Valid FK,2020-03-09,Damaged in shipping,663.82,Pending
RET-0504,ORD-02291,Valid FK,2024-12-24,Better price elsewhere,623.46,Processed
RET-0348,ORD-02291,Valid FK,2023-12-27,Product not as described,199.88,Pending
RET-0492,ORD-02292,Valid FK,2021-07-24,Damaged in shipping,239.25,Processed
RET-0056,ORD-02293,Valid FK,2024-05-12,Quality issues,11.24,Rejected
RET-0720,ORD-02296,Valid FK,2023-07-04,Product not as described,783.27,Pending
RET-0095,ORD-02335,Valid FK,2022-04-30,Changed mind,619.23,Processed
RET-0563,ORD-02347,Valid FK,2024-10-11,Changed mind,459.15,Rejected
RET-0186,ORD-02366,Valid FK,2021-10-13,Unknown,294.65,Pending
RET-0364,ORD-02367,Valid FK,2023-05-13,Damaged in shipping,798.49,Rejected
RET-0789,ORD-02370,Valid FK,2024-09-20,Better price elsewhere,297.43,Processed
RET-0076,ORD-02373,Valid FK,2021-12-21,Unknown,462.12,Rejected
RET-0181,ORD-02377,Valid FK,2020-06-07,Duplicate order,546.06,Processed
RET-0039,ORD-02381,Valid FK,2022-05-03,Product not as described,684.26,Rejected
RET-0111,ORD-02384,Valid FK,2022-11-12,Better price elsewhere,95.89,Rejected
